"Country","FullName","Apparatus","SimulationResults","mean"
"ALG","NEMOUR KAYLIA","BB","13.2665, 12.874, 13.22725, 12.874, 13.5805, 13.30575, 13.38425, 13.30575, 13.14875, 12.56, 12.99175, 13.345, 13.659, 13.30575, 13.30575, 12.9525, 12.7955, 13.188, 13.2665, 13.46275, 13.14875, 12.91325, 13.188, 13.2665, 13.46275, 13.2665, 13.502, 13.4235, 13.61975, 13.38425, 13.345, 13.1095, 12.99175, 12.874, 13.46275, 13.07025, 13.07025, 13.38425, 13.659, 13.2665, 13.22725, 13.502, 13.22725, 13.4235, 13.502, 12.75625, 13.46275, 13.5805, 13.345, 13.816, 13.1095, 13.659, 13.4235, 13.46275, 13.38425, 13.659, 13.502, 13.2665, 13.031, 13.14875, 13.188, 13.22725, 13.1095, 13.2665, 13.345, 13.30575, 13.4235, 13.1095, 13.1095, 13.2665, 13.345, 13.30575, 13.54125, 12.67775, 13.38425, 13.502, 12.99175, 13.659, 13.345, 13.38425, 13.2665, 13.07025, 13.30575, 13.1095, 12.99175, 13.1095, 13.38425, 13.4235, 13.4235, 13.38425, 13.4235, 13.54125, 13.2665, 13.69825, 13.22725, 13.659, 13.659, 12.83475, 13.502, 13.188",13.2865175
"AUS","BROWN ROMI","BB","11.89275, 12.56, 12.3245, 11.34325, 12.246, 11.2255, 12.36375, 12.36375, 12.56, 12.403, 12.246, 12.9525, 11.2255, 11.304, 11.304, 11.3825, 12.6385, 12.75625, 12.67775, 12.0105, 11.50025, 12.3245, 12.56, 11.461, 12.246, 11.02925, 12.36375, 12.56, 12.1675, 12.3245, 10.99, 12.59925, 12.12825, 12.246, 12.91325, 12.3245, 12.4815, 12.44225, 11.461, 11.0685, 12.1675, 12.36375, 12.99175, 10.9115, 12.0105, 12.59925, 12.28525, 11.2255, 11.147, 12.36375, 12.59925, 12.59925, 11.0685, 12.403, 12.56, 12.089, 12.874, 12.7955, 12.04975, 11.34325, 12.28525, 13.2665, 11.18625, 11.932, 11.18625, 11.5395, 11.89275, 12.12825, 12.12825, 12.56, 11.42175, 11.3825, 12.59925, 12.4815, 12.9525, 12.52075, 12.1675, 12.56, 12.67775, 11.26475, 12.3245, 10.99, 12.36375, 12.67775, 10.9115, 10.9115, 12.20675, 12.59925, 12.1675, 12.7955, 12.04975, 12.3245, 12.089, 12.403, 13.30575, 12.874, 12.99175, 12.4815, 12.75625, 10.71525",12.114905
"AUS","BURROWS ANNABELLE","BB","11.775, 10.63675, 11.42175, 11.42175, 11.18625, 11.42175, 11.5395, 11.34325, 11.02925, 11.57875, 11.26475, 11.147, 11.304, 11.26475, 11.461, 11.02925, 11.2255, 11.73575, 11.147, 11.461, 11.0685, 11.02925, 11.618, 11.304, 11.42175, 11.304, 11.5395, 11.34325, 11.65725, 11.8535, 11.57875, 11.42175, 11.618, 11.304, 11.57875, 11.50025, 11.81425, 11.461, 11.618, 11.65725, 11.26475, 11.65725, 11.775, 11.18625, 10.99, 11.461, 11.6965, 11.18625, 10.95075, 11.42175, 11.618, 11.461, 11.304, 11.26475, 11.0685, 11.81425, 11.304, 11.775, 11.26475, 11.10775, 11.26475, 11.34325, 11.65725, 11.147, 11.3825, 11.304, 11.10775, 11.2255, 11.0685, 11.0685, 11.18625, 11.10775, 11.461, 11.26475, 11.304, 11.57875, 11.6965, 11.2255, 11.5395, 11.5395, 11.65725, 11.5395, 11.02925, 11.10775, 11.3825, 11.775, 11.461, 11.5395, 11.3825, 11.8535, 11.304, 11.02925, 11.57875, 11.6965, 11.50025, 11.26475, 11.2255, 11.34325, 11.73575, 11.73575",11.392705
"AUS","GODWIN GEORGIA","BB","12.36375, 12.874, 12.44225, 13.30575, 12.99175, 13.659, 12.7955, 13.2665, 13.77675, 13.38425, 13.5805, 13.61975, 13.46275, 14.09075, 13.502, 12.874, 12.28525, 14.01225, 13.30575, 12.9525, 13.816, 12.36375, 12.4815, 12.20675, 13.188, 12.246, 13.46275, 12.56, 12.6385, 13.46275, 12.12825, 13.8945, 12.99175, 13.69825, 12.1675, 11.73575, 12.36375, 12.28525, 13.8945, 13.46275, 13.816, 13.031, 13.1095, 13.07025, 12.75625, 13.031, 12.403, 13.93375, 13.93375, 12.44225, 12.874, 13.30575, 13.93375, 13.07025, 13.659, 13.345, 14.01225, 12.089, 13.54125, 12.99175, 12.44225, 13.22725, 12.403, 14.16925, 12.91325, 12.75625, 13.77675, 12.28525, 13.7375, 12.59925, 12.56, 13.61975, 13.502, 12.91325, 12.874, 12.4815, 12.83475, 13.7375, 13.031, 12.36375, 13.2665, 13.38425, 12.91325, 13.46275, 14.09075, 13.22725, 14.2085, 13.77675, 13.5805, 12.3245, 13.22725, 13.5805, 14.16925, 13.85525, 12.91325, 14.0515, 12.52075, 13.816, 12.44225, 13.659",13.146395
"AUS","MCDONALD KATE","BB","12.20675, 11.6965, 11.461, 11.775, 11.50025, 11.775, 12.36375, 12.04975, 11.89275, 11.81425, 11.6965, 11.932, 11.461, 11.73575, 11.89275, 11.6965, 11.73575, 11.3825, 11.89275, 11.57875, 11.932, 12.1675, 11.932, 12.0105, 11.775, 11.57875, 11.50025, 11.6965, 12.403, 12.44225, 12.089, 11.65725, 11.775, 12.3245, 11.932, 11.3825, 11.3825, 11.932, 12.12825, 12.6385, 12.20675, 12.1675, 11.6965, 11.81425, 11.932, 12.246, 11.50025, 11.65725, 12.04975, 12.36375, 11.775, 11.42175, 11.3825, 11.97125, 11.618, 11.42175, 11.304, 12.0105, 11.65725, 11.147, 11.932, 11.932, 11.304, 11.42175, 11.97125, 12.089, 11.89275, 12.04975, 11.8535, 12.52075, 11.8535, 11.81425, 11.461, 12.20675, 11.73575, 11.6965, 11.97125, 12.04975, 12.04975, 11.5395, 11.57875, 11.5395, 11.89275, 12.04975, 11.50025, 11.73575, 12.0105, 11.6965, 11.65725, 12.0105, 12.04975, 11.6965, 11.73575, 11.618, 11.932, 11.775, 11.775, 11.89275, 12.12825, 11.34325",11.82524
"AUS","NA KATE","BB","13.61975, 10.71525, 13.4235, 10.9115, 10.7545, 10.87225, 12.9525, 13.502, 13.188, 13.345, 13.188, 13.46275, 10.99, 12.7955, 12.7955, 13.77675, 12.83475, 10.7545, 14.24775, 12.717, 13.502, 13.188, 13.031, 12.67775, 12.874, 12.717, 10.63675, 11.147, 13.659, 12.91325, 13.2665, 10.5975, 10.87225, 12.9525, 12.874, 13.188, 10.2835, 13.5805, 12.717, 13.1095, 13.38425, 10.63675, 12.52075, 12.99175, 12.99175, 12.9525, 13.659, 12.9525, 10.676, 11.0685, 10.833, 10.71525, 13.345, 10.5975, 12.874, 13.502, 12.4815, 12.91325, 12.75625, 13.1095, 10.99, 12.717, 12.99175, 13.30575, 10.71525, 13.54125, 12.9525, 12.75625, 12.9525, 12.7955, 13.61975, 12.91325, 10.362, 12.9525, 13.46275, 13.031, 13.4235, 13.85525, 13.031, 10.9115, 13.61975, 12.52075, 13.22725, 13.2665, 10.40125, 12.56, 13.659, 10.79375, 12.7955, 10.71525, 12.59925, 10.676, 10.87225, 12.6385, 12.83475, 12.91325, 10.833, 12.59925, 13.031, 10.519",12.4395025
"AUS","PASS RUBY","BB","12.91325, 12.44225, 10.99, 13.345, 10.71525, 12.56, 12.83475, 12.4815, 12.99175, 12.28525, 11.932, 12.12825, 10.95075, 12.75625, 12.52075, 12.246, 12.36375, 12.44225, 12.403, 12.52075, 10.79375, 12.36375, 12.403, 10.87225, 13.2665, 12.1675, 10.833, 12.91325, 10.99, 11.932, 12.83475, 10.5975, 12.20675, 12.83475, 12.20675, 12.28525, 12.3245, 10.87225, 12.59925, 10.99, 11.34325, 11.932, 12.246, 13.07025, 13.30575, 10.99, 13.14875, 12.36375, 13.1095, 12.403, 10.9115, 13.07025, 11.18625, 12.28525, 12.717, 12.874, 12.12825, 12.089, 10.833, 13.345, 12.403, 12.28525, 12.67775, 13.2665, 12.56, 10.99, 10.99, 12.4815, 10.7545, 12.56, 11.18625, 12.6385, 12.91325, 11.304, 12.99175, 12.28525, 12.44225, 12.7955, 13.30575, 12.56, 11.02925, 12.28525, 12.28525, 12.67775, 12.44225, 12.91325, 11.26475, 12.9525, 12.7955, 11.02925, 11.97125, 11.10775, 11.97125, 10.833, 12.9525, 12.44225, 12.0105, 10.87225, 13.188, 13.345",12.17221
"AUS","ROSS EMMA","BB","10.87225, 10.4405, 12.67775, 10.676, 12.67775, 12.12825, 12.20675, 11.8535, 11.932, 12.246, 11.89275, 11.147, 10.55825, 11.73575, 10.79375, 12.3245, 10.5975, 12.04975, 12.1675, 10.833, 12.44225, 10.362, 12.3245, 12.04975, 11.97125, 11.97125, 10.63675, 12.1675, 10.1265, 10.71525, 10.71525, 12.0105, 12.1675, 11.81425, 12.36375, 11.73575, 12.403, 12.28525, 10.79375, 12.12825, 10.87225, 11.57875, 12.403, 12.0105, 10.55825, 11.775, 11.3825, 10.519, 10.32275, 10.55825, 12.0105, 10.519, 11.97125, 12.12825, 10.40125, 11.65725, 11.81425, 12.6385, 10.4405, 10.833, 10.24425, 11.73575, 10.55825, 10.5975, 10.7545, 10.519, 12.089, 10.2835, 10.95075, 10.5975, 10.676, 12.3245, 11.932, 12.20675, 12.1675, 12.04975, 12.44225, 10.40125, 10.63675, 10.87225, 10.5975, 12.403, 10.5975, 10.1265, 12.44225, 11.8535, 10.63675, 10.9115, 12.59925, 12.28525, 10.47975, 10.71525, 12.1675, 10.55825, 10.7545, 11.618, 10.7545, 12.36375, 12.20675, 12.089",11.43588
"AUS","SCOTT BREANNA","BB","12.089, 13.4235, 11.775, 11.618, 12.7955, 12.9525, 12.246, 12.44225, 9.69475, 13.5805, 13.4235, 11.97125, 12.874, 12.12825, 12.089, 12.0105, 13.502, 12.7955, 9.734, 12.56, 11.8535, 9.8125, 12.3245, 9.577, 12.717, 12.20675, 11.65725, 12.04975, 12.089, 13.5805, 12.3245, 9.38075, 12.4815, 9.38075, 12.36375, 12.6385, 12.28525, 9.42, 11.97125, 12.6385, 12.0105, 11.65725, 9.93025, 13.61975, 12.56, 13.93375, 12.089, 12.717, 12.403, 12.04975, 9.77325, 12.36375, 12.28525, 12.3245, 12.36375, 13.69825, 13.345, 12.6385, 12.4815, 13.816, 13.77675, 9.93025, 9.8125, 12.12825, 12.59925, 12.28525, 12.04975, 12.20675, 11.97125, 12.36375, 12.1675, 12.12825, 12.52075, 9.8125, 9.891, 12.91325, 12.12825, 12.12825, 9.69475, 12.6385, 9.6555, 11.932, 13.502, 12.1675, 12.56, 13.38425, 13.38425, 9.6555, 12.403, 12.246, 12.52075, 13.54125, 12.36375, 12.56, 12.7955, 13.22725, 12.4815, 12.874, 12.1675, 12.75625",12.09842
"AUS","WHITEHEAD EMILY","BB","12.36375, 12.089, 12.04975, 12.12825, 11.932, 12.28525, 12.1675, 12.246, 12.1675, 12.36375, 11.89275, 12.56, 12.403, 12.52075, 11.8535, 12.3245, 12.12825, 11.8535, 12.56, 12.3245, 11.97125, 12.089, 12.7955, 11.8535, 11.6965, 11.6965, 11.26475, 11.73575, 12.56, 12.04975, 11.932, 11.775, 11.618, 12.04975, 12.75625, 12.04975, 12.1675, 11.3825, 12.36375, 11.97125, 12.36375, 11.97125, 12.56, 12.0105, 12.28525, 12.089, 12.1675, 12.717, 12.59925, 11.932, 12.0105, 12.59925, 12.246, 12.12825, 12.20675, 12.4815, 11.81425, 11.50025, 12.4815, 11.5395, 11.932, 11.50025, 12.0105, 12.52075, 11.73575, 12.12825, 12.04975, 12.089, 12.67775, 12.36375, 12.0105, 12.246, 12.0105, 12.28525, 12.0105, 12.089, 12.20675, 12.44225, 11.81425, 11.65725, 12.0105, 12.04975, 12.56, 11.73575, 12.12825, 12.67775, 12.67775, 11.775, 12.6385, 11.65725, 12.874, 12.28525, 12.28525, 12.3245, 11.89275, 11.57875, 11.304, 12.403, 12.1675, 11.89275",12.1239325
