"","Country","FullName","AllAroundScore"
"1","CHN","ZHANG BOHENG",86.05542875
"2","JPN","KAYA KAZUMA",85.306421
"3","CHN","SHI CONG",84.81505025
"4","JPN","TANIGAWA WATARU",84.761003
"5","USA","MALONE BRODY",84.48205325
"6","USA","GUIMARAES VITALIY",83.8211225
"7","GBR","FRASER JOE",83.37873575
"8","BRA","SOUZA CAIO",83.1873135
"9","TUR","ASIL ADEM",82.973715
"10","UKR","KOVTUN ILLIA",82.949223
"11","GBR","JARMAN JAKE",82.2404465
"12","ARM","DAVTYAN ARTUR",82.109587
"13","SUI","SEIFERT NOE",81.52370225
"14","ISR","DOLGOPYAT ARTEM",81.365093
"15","GER","DAUSER LUKAS",81.3588915
"16","ITA","BARTOLINI NICOLA",81.20962375
"17","KAZ","KARIMI MILAD",81.169
"18","ITA","CASALI LORENZO",81.08582925
"19","NED","SCHMIDT CASIMIR",80.93978
"20","ESP","PLATA JOEL",80.88424125
"21","KOR","RYU SUNGHYUN",80.739291
"22","HUN","MESZAROS KRISZTOFER",80.6974505
"23","CAN","COURNOYER RENE",80.665972
"24","UKR","PAKHNIUK PETRO",80.63029375
"25","SUI","LANGENEGGER FLORIAN",80.34000075
"26","GER","TREBING GLENN",80.0944135
"27","ROU","MUNTEAN ANDREI",79.978469
"28","ESP","ABAD NESTOR",79.93352775
"29","CAN","DOLCI FELIX",79.6394275
"30","TUR","ONDER AHMET",79.26470775
"31","BEL","KEYBUS LUKA",79.19115325
"32","BEL","KUAVITA NOAH",79.16320725
"33","BRA","GUIMARAES YURI",78.5779505
"34","KOR","KIM JAEHO",78.3934755
"35","NED","DE MARTIJN",78.16806275
