"","Country","FullName","avg_result_allAround"
"1","USA","BILES SIMONE",2.962
"2","BRA","ANDRADE REBECA",1.15
"3","USA","JONES SHILESE",0.595
"4","USA","MCCLAIN KONNOR",0.503
"5","FRA","DE MELANIE",0.325
"6","USA","CHILES JORDAN",0.108
"7","USA","BLAKELY SKYE",0.091
"8","GBR","GADIROVA JESSICA",0.081
"9","BRA","SARAIVA FLAVIA",0.038
"10","USA","CAREY JADE",0.037
"11","ITA","D ALICE",0.036
"12","USA","WONG LEANNE",0.032
"13","ITA","D ASIA",0.019
"14","GBR","KINSELLA ALICE",0.016
"15","HUN","KOVACS ZSOFIA",0.013
"16","CHN","OU YUSHAN",0.01
"17","ITA","MAGGIO MARTINA",0.01
"18","CAN","BLACK ELLIE",0.006
"19","CHN","QIU QIYUAN",0.005
"20","CHN","ZHANG JIN",0.005
"21","ITA","ESPOSITO MANILA",0.005
"22","AUS","GODWIN GEORGIA",0.002
"23","GBR","ACHAMPONG ONDINE",0.002
"24","JPN","MIYATA SHOKO",0.002
"25","ALG","NEMOUR KAYLIA",0.001
"26","USA","ROBERSON JOSCELYN",0.001
