"","Country","FullName","AllAroundScore"
"1","CHN","ZHANG BOHENG",86.095346
"2","JPN","KAYA KAZUMA",85.30127925
"3","CHN","SHI CONG",84.84315325
"4","JPN","TANIGAWA WATARU",84.70044025
"5","USA","MALONE BRODY",84.48456525
"6","USA","GUIMARAES VITALIY",83.8311705
"7","GBR","FRASER JOE",83.53942525
"8","BRA","SOUZA CAIO",83.1472
"9","UKR","KOVTUN ILLIA",83.00381975
"10","TUR","ASIL ADEM",82.9811725
"11","GBR","JARMAN JAKE",82.267215
"12","ARM","DAVTYAN ARTUR",82.210381
"13","SUI","SEIFERT NOE",81.53539875
"14","GER","DAUSER LUKAS",81.39464825
"15","ISR","DOLGOPYAT ARTEM",81.34338775
"16","ITA","BARTOLINI NICOLA",81.2370595
"17","KAZ","KARIMI MILAD",81.1613855
"18","ITA","CASALI LORENZO",81.087674
"19","NED","SCHMIDT CASIMIR",81.02726825
"20","ESP","PLATA JOEL",80.952026
"21","HUN","MESZAROS KRISZTOFER",80.87348675
"22","KOR","RYU SUNGHYUN",80.75016325
"23","CAN","COURNOYER RENE",80.70392675
"24","UKR","PAKHNIUK PETRO",80.65046825
"25","SUI","LANGENEGGER FLORIAN",80.3867475
"26","GER","TREBING GLENN",80.06843
"27","ROU","MUNTEAN ANDREI",79.9907935
"28","ESP","ABAD NESTOR",79.9163755
"29","CAN","DOLCI FELIX",79.7472865
"30","TUR","ONDER AHMET",79.32240525
"31","BEL","KEYBUS LUKA",79.1698405
"32","BEL","KUAVITA NOAH",79.063787
"33","BRA","GUIMARAES YURI",78.672543
"34","KOR","KIM JAEHO",78.31988175
"35","NED","DE MARTIJN",78.166375
