"","Country","FullName","mean","avg_result","Apparatus"
"1","USA","JUDA PAUL",14.2982255,0.264,"FX"
"2","USA","MALONE BRODY",13.71971975,0.206,"FX"
"3","USA","MOLDAUER YUL",14.05255975,0.152,"FX"
"4","USA","WHITTENBURG DONNELL",13.6692835,0.135,"FX"
"5","USA","MCCOOL CONNOR",14.00585225,0.124,"FX"
"6","USA","RICHARD FRED",13.89375425,0.097,"FX"
"7","USA","YOUNG KHOI",13.98018275,0.096,"FX"
"8","USA","CORMIER MATT",12.74608425,0.092,"FX"
"9","USA","WISKUS SHANE",13.73526275,0.091,"FX"
"10","USA","HONG ASHER",13.8922235,0.073,"FX"
"11","USA","GUIMARAES VITALIY",14.229381,0.035,"FX"
"12","USA","BURKHART TAYLOR",13.8347615,0.025,"FX"
"13","USA","WALKER COLT",13.3019035,0.024,"FX"
"14","USA","ALFONSO JAVIER",13.76014725,0.018,"FX"
"15","USA","HALE DALLAS",13.085322,0.008,"FX"
"16","USA","KARNES JOSHUA",13.20056,0.007,"FX"
"17","USA","LASIC IAN",13.61876875,0.007,"FX"
"18","USA","LOOS RILEY",13.71391075,0.007,"FX"
"19","USA","FREEMAN JACK",13.46043425,0.004,"FX"
"20","USA","BOCK CAMERON",13.6611195,0.002,"FX"
