"","Country","FullName","meanFX"
"1","ARM","DAVTYAN ARTUR",13.2667355
"2","BEL","CUYLE GLEN",12.69973
"3","BEL","GENTGES MAXIME",13.06330275
"4","BEL","KEYBUS LUKA",13.6295625
"5","BEL","KUAVITA NOAH",13.34315525
"6","BEL","VAN LUKA",13.27862825
"7","BRA","BITENCOURT LUCAS",12.23277275
"8","BRA","GUIMARAES YURI",13.6257945
"9","BRA","MARIANO ARTHUR",13.8426115
"10","BRA","SOUZA CAIO",13.70810175
"11","CAN","BLAQUIERE FELIX",12.8228965
"12","CAN","CLAY ZACHARY",12.946534
"13","CAN","COURNOYER RENE",13.22179425
"14","CAN","DOLCI FELIX",13.721643
"15","CAN","EMARD WILLIAM",13.84649725
"16","CAN","KAJI CHRIS",12.76201975
"17","CAN","RAMPERSAD JAYSON",10.43394525
"18","CAN","SAUVE LEANDRE",13.2153965
"19","CAN","ZAKUTNEY SAM",13.27486025
"20","CHN","LAN XINGYU",13.454115
"21","CHN","LIN CHAOPAN",13.29550575
"22","CHN","LIU YANG",13.02099125
"23","CHN","SHI CONG",13.8344475
"24","CHN","SU WEIDE",13.81023025
"25","CHN","SUN WEI",13.3813455
"26","CHN","YANG JIAXING",13.94736975
"27","CHN","YIN DEHANG",13.49191275
"28","CHN","ZHANG BOHENG",14.31153125
"29","ESP","ABAD NESTOR",13.13552275
"30","ESP","DIALLO THIERNO",13.2648515
"31","ESP","JIMENEZ PAU",13.60793575
"32","ESP","MIR NICOLAU",13.668891
"33","ESP","PLATA JOEL",13.6898505
"34","ESP","WILLIAMS JOSHUA",13.2469535
"35","GBR","BAPTISTE RAEKWON",11.1048455
"36","GBR","BARBER EMIL",13.7334965
"37","GBR","BEVAN BRINN",13.23396175
"38","GBR","CEMLYN JOE",12.76500275
"39","GBR","EDWARDS JACOB",13.32447225
"40","GBR","FRASER JOE",13.5856025
"41","GBR","HALL JAMES",13.74625275
"42","GBR","HEPWORTH HARRY",13.7316125
"43","GBR","JARMAN JAKE",14.1746665
"44","GBR","JOHNSON JAKE",10.68043525
"45","GBR","JONES THOMAS",12.33348825
"46","GBR","KARNEJENKO PAVEL",12.9191375
"47","GBR","LEWIS JAMIE",12.8492725
"48","GBR","LYNN CAMERON",12.70620625
"49","GBR","MONTGOMERY EAMON",13.68109775
"50","GBR","MOSTOWFI SAM",13.431507
"51","GBR","NATHAN JOSHUA",13.4716205
"52","GBR","PRINT OWEN",12.33623575
"53","GBR","REGINI GIARNNI",14.12054075
"54","GBR","ROBINSON REMELL",9.87887175
"55","GBR","SKINNER HAYDEN",13.01687
"56","GBR","TOBIN ADAM",12.7995035
"57","GBR","TULLOCH COURTNEY",13.32431525
"58","GBR","WEIR DAVID",13.172457
"59","GBR","WHITEHOUSE LUKE",13.77121575
"60","GER","BRENDEL PASCAL",13.25021125
"61","GER","DAUSER LUKAS",13.43947475
"62","GER","DUNKEL NILS",13.0565125
"63","GER","HOERR CARLO",13.09007125
"64","GER","HOSSEINI MILAN",14.00498875
"65","GER","KOCHAN LUCAS",13.2716025
"66","GER","KUNZ ALEXANDER",13.09933425
"67","GER","SCHULTZE TOM",12.928636
"68","GER","SISSAKIS DARIO",13.0461505
"69","GER","TREBING GLENN",13.28804825
"70","HUN","MESZAROS KRISZTOFER",13.6998985
"71","ISR","DOLGOPYAT ARTEM",14.192172
"72","ITA","ABBADINI YUMIN",13.7272165
"73","ITA","BARTOLINI NICOLA",14.20320125
"74","ITA","BONICELLI LORENZO",13.6490305
"75","ITA","CASALI LORENZO",13.8052455
"76","ITA","GARZA LUCA",13.71650125
"77","ITA","GRASSO THOMAS",9.70695675
"78","ITA","LEVANTESI MATTEO",13.380953
"79","ITA","LODADIO MARCO",13.46153325
"80","ITA","MACCHIATI MARIO",13.307791
"81","ITA","MARESCA SALVATORE",11.9961345
"82","ITA","MOZZATO NICOLO",14.34638525
"83","ITA","ROSA EDOARDO",12.636459
"84","ITA","VANNUCCHI NICCOLO",12.74930275
"85","JPN","CHIBA KENTA",13.3846425
"86","JPN","DOI RYOSUKE",14.54067275
"87","JPN","HASEGAWA TSUYOSHI",13.602166
"88","JPN","HASHIMOTO DAIKI",14.3238165
"89","JPN","HIDAKA DAIKI",12.9772275
"90","JPN","KAWAKAMI SHOHEI",13.7269025
"91","JPN","KAYA KAZUMA",13.82059225
"92","JPN","KIICHI KANETA",13.69883875
"93","JPN","KITAZONO TAKERU",12.6220935
"94","JPN","KOGA HIRAMATSU",14.4558535
"95","JPN","MAEDA KOKI",14.30407375
"96","JPN","MATSUMI KAZUKI",13.45399725
"97","JPN","MINAMI KAZUKI",14.28664675
"98","JPN","RYOTA TSUMURA",13.89995575
"99","JPN","SUGINO TAKAAKI",13.6733655
"100","JPN","TACHIBANA SHIGA",14.15013525
"101","JPN","TANIGAWA KAKERU",14.31812525
"102","JPN","TANIGAWA WATARU",14.1671305
"103","KAZ","KARIMI MILAD",13.8815475
"104","KOR","KIM HANSOL",13.94658475
"105","KOR","KIM JAEHO",13.51946625
"106","KOR","LEE JUNGHYO",13.9140465
"107","KOR","RYU SUNGHYUN",14.16245975
"108","KOR","SUNGHYUN RYU",13.98512825
"109","KOR","YUN JINSEONG",13.2496225
"110","NED","DE MARTIJN",13.52967125
"111","NED","GRUENBERG JERMAIN",12.453554
"112","NED","SCHMIDT CASIMIR",13.496976
"113","ROU","MUNTEAN ANDREI",13.24126225
"114","SUI","FREY ANDRIN",13.38319025
"115","SUI","LANGENEGGER FLORIAN",13.58367925
"116","SUI","RAUBAL IAN",13.30092225
"117","SUI","SEIFERT NOE",13.66288575
"118","SUI","SERHANI SAMIR",13.1314015
"119","SUI","SERHANI TAHA",13.15679625
"120","TUR","ARICAN FERHAT",14.1784345
"121","TUR","ASIL ADEM",13.9361835
"122","TUR","COLAK IBRAHIM",13.221598
"123","TUR","DEMIR SERCAN",12.9847635
"124","TUR","GUNDOGDU YUNUS",12.39793675
"125","TUR","KOSAK MEHMET",13.06903325
"126","TUR","OENDER AHMET",13.24856275
"127","TUR","ONDER AHMET",13.7903305
"128","UKR","CHEPURNYI NAZAR",12.55140425
"129","UKR","KOVTUN ILLIA",13.64844175
"130","UKR","PAKHNIUK PETRO",13.23372625
"131","UKR","RADIVILOV IGOR",12.94202025
"132","UKR","STELMAKH RADOMYR",13.2805515
"133","UKR","VASHCHENKO ROMAN",11.9614375
"134","USA","ALFONSO JAVIER",13.76014725
"135","USA","BLIXT LANDEN",13.19400525
"136","USA","BOCK CAMERON",13.6611195
"137","USA","BURKHART TAYLOR",13.8347615
"138","USA","CORMIER MATT",12.74608425
