"","Country","FullName","mean","avg_result","Apparatus"
"1","USA","MALONE BRODY",14.37260425,0.669,"HB"
"2","USA","RICHARD FRED",13.7284725,0.194,"HB"
"3","USA","PHILLIPS CURRAN",13.3990865,0.033,"HB"
"4","USA","JUDA PAUL",13.897954,0.012,"HB"
"5","USA","WISKUS SHANE",13.22085225,0.011,"HB"
"6","USA","CORMIER MATT",12.80456675,0.003,"HB"
"7","USA","BOCK CAMERON",13.23349075,0.001,"HB"
"8","USA","JAROH MICHAEL",13.3020605,0.001,"HB"
"9","USA","PETROSYAN VAHE",12.738352,0.001,"HB"
"10","USA","ALFONSO JAVIER",11.52690075,0,"HB"
