"","Country","FullName","mean","avg_result","Apparatus"
"1","USA","PHILLIPS CURRAN",14.6280825,0.585,"PB"
"2","USA","WALKER COLT",14.69531775,0.375,"PB"
"3","USA","SUN BLAKE",14.1465635,0.308,"PB"
"4","USA","MOLDAUER YUL",14.4707685,0.169,"PB"
"5","USA","CHOU J.R.",14.639465,0.126,"PB"
"6","USA","BOCK CAMERON",14.05051875,0.087,"PB"
"7","USA","MALONE BRODY",14.47002275,0.069,"PB"
"8","USA","HONG ASHER",14.58164975,0.039,"PB"
"9","USA","WISKUS SHANE",14.31137425,0.038,"PB"
"10","USA","HALE DALLAS",13.951805,0.021,"PB"
"11","USA","RICHARD FRED",14.11983425,0.016,"PB"
"12","USA","BURKHART TAYLOR",13.65291625,0.002,"PB"
"13","USA","LASIC IAN",13.754927,0.001,"PB"
"14","USA","YOUNG KHOI",13.9923895,0.001,"PB"
