"","Country","FullName","mean","avg_result","Apparatus"
"1","USA","NEDOROSCIK STEPHEN",14.36522525,0.698,"PH"
"2","USA","YOUNG KHOI",13.936105,0.388,"PH"
"3","USA","SKIRKEY IAN",13.53131975,0.137,"PH"
"4","USA","YOCKERS IGNACIO",12.592656,0.09,"PH"
"5","USA","GUIMARAES VITALIY",14.34285275,0.085,"PH"
"6","USA","MALONE BRODY",13.62968025,0.035,"PH"
"7","USA","HOOPES PATRICK",13.316269,0.034,"PH"
"8","USA","JUDA PAUL",13.40587675,0.013,"PH"
"9","USA","HONG ASHER",13.08755925,0.007,"PH"
"10","USA","RICHARD FRED",13.099452,0.006,"PH"
"11","USA","MOLDAUER YUL",13.32062575,0.004,"PH"
"12","USA","DANG BRANDON",13.52872925,0.002,"PH"
