"","Country","FullName","mean","avg_result","Apparatus"
"1","USA","YOUNG KHOI",14.63612875,0.329,"VT"
"2","USA","HONG ASHER",14.4216275,0.296,"VT"
"3","USA","HALE DALLAS",14.68578,0.189,"VT"
"4","USA","WHITTENBURG DONNELL",14.2504975,0.119,"VT"
"5","USA","PHILLIPS CURRAN",14.4516145,0.102,"VT"
"6","USA","LOOS RILEY",14.26749275,0.074,"VT"
"7","USA","JUDA PAUL",14.435208,0.072,"VT"
"8","USA","BURKHART TAYLOR",14.2842525,0.057,"VT"
"9","USA","WALKER COLT",14.24731825,0.043,"VT"
"10","USA","BRIONES BRANDON",14.45063325,0.037,"VT"
"11","USA","BLIXT LANDEN",13.96668075,0.029,"VT"
"12","USA","KARNES JOSHUA",13.901251,0.028,"VT"
"13","USA","MALONE BRODY",14.440232,0.026,"VT"
"14","USA","MOLDAUER YUL",14.22891,0.025,"VT"
"15","USA","GUIMARAES VITALIY",14.4128355,0.022,"VT"
"16","USA","RICHARD FRED",14.07336225,0.021,"VT"
"17","USA","WISKUS SHANE",14.21937225,0.019,"VT"
"18","USA","NELSON KAMERON",14.23727025,0.018,"VT"
"19","USA","LOPEZ JOSE",13.3485325,0.004,"VT"
"20","USA","VAN COLIN",14.23193225,0.004,"VT"
"21","USA","LASIC IAN",13.64538025,0.001,"VT"
