"","Country","FullName","AllAroundScore"
"1","USA","BILES SIMONE",58.600564
"2","BRA","ANDRADE REBECA",56.2217785
"3","USA","MCCLAIN KONNOR",55.6495135
"4","FRA","DE MELANIE",55.13498525
"5","GBR","GADIROVA JESSICA",54.52339175
"6","ITA","D ALICE",54.30398425
"7","CHN","OU YUSHAN",54.1869015
"8","CAN","BLACK ELLIE",54.1137395
"9","ITA","D ASIA",53.8572015
"10","BRA","SARAIVA FLAVIA",53.82379975
"11","ALG","NEMOUR KAYLIA",53.77583625
"12","CHN","ZHANG JIN",53.7212395
"13","GBR","KINSELLA ALICE",53.46882275
"14","HUN","KOVACS ZSOFIA",53.2902745
"15","JPN","MIYATA SHOKO",53.04029125
"16","AUS","GODWIN GEORGIA",52.9662265
"17","NED","VISSER NAOMI",52.60756
"18","JPN","SAKAGUCHI AYAKA",52.529374
"19","NED","THORSDOTTIR EYTHORA",52.5201895
"20","KOR","LEE YUNSEO",52.3859545
"21","KOR","YEO SEOJEONG",52.1617585
"22","FRA","HEDUIT CAROLANN",52.10857475
"23","GER","SCHAEFER PAULINE",51.70324
"24","ROU","BARBOSU ANA",51.50820675
"25","CAN","TURNER SYDNEY",51.32655775
"26","MEX","MORENO ALEXA",51.178232
"27","GER","VOSS SARAH",51.0203685
"28","PHI","FINNEGAN ALEAH",50.9154925
"29","MEX","ESCALERA NATALIA",50.643333
"30","ESP","PETISCO ALBA",50.61785975
"31","AUS","BROWN ROMI",50.49830425
"32","POR","MARTINS FILIPA",50.467964
"33","HUN","CZIFRA BETTINA",50.12652825
"34","ROU","GHIGOARTA AMALIA",49.88989
"35","UKR","LASHCHEVSKA ANNA",49.7252755
"36","SUI","BICKEL LENA",49.02917675
"37","RSA","ROOSKRANTZ CAITLIN",48.99903275
"38","CZE","ARTAMONOVA SONA",48.756821
"39","PAN","HERON HILLARY",48.70454
"40","ISR","RAZ LIHIE",48.183143
"41","SLO","HRIBAR LUCIJA",48.070103
