"","Simulation","Member1","Member2","Member3","Member4","Member5","Score","Rank","Weight"
"data","sim1","BILES SIMONE","MCCLAIN KONNOR","WONG LEANNE","CAREY JADE","JONES SHILESE","171.915","1","3"
"data.1","sim2","BILES SIMONE","BLAKELY SKYE","MCCLAIN KONNOR","MILLER ZOE","WONG LEANNE","172.11125","1","3"
"data.2","sim3","BILES SIMONE","BLAKELY SKYE","MCCLAIN KONNOR","JONES SHILESE","SUMANASEKERA TIANA","172.6215","1","3"
"data.3","sim4","BILES SIMONE","SUMANASEKERA TIANA","BLAKELY SKYE","JONES SHILESE","ROBERSON JOSCELYN","173.60275","1","3"
"data.4","sim5","BILES SIMONE","MCCLAIN KONNOR","WONG LEANNE","CAREY JADE","JONES SHILESE","174.15225","1","3"
"data.5","sim6","BILES SIMONE","MCCLAIN KONNOR","CAREY JADE","JONES SHILESE","MATTHEWS NOLA","172.1505","1","3"
"data.6","sim7","BILES SIMONE","MCCLAIN KONNOR","LINCOLN KALIYA","JONES SHILESE","MILLER ZOE","173.91675","1","3"
"data.7","sim8","BILES SIMONE","MCCLAIN KONNOR","SULLIVAN ASHLEE","BLAKELY SKYE","CHILES JORDAN","172.9355","1","3"
"data.8","sim9","BILES SIMONE","JONES SHILESE","MCCLAIN KONNOR","ROSEN KATELYN","CAREY JADE","174.113","1","3"
"data.9","sim10","BILES SIMONE","JONES SHILESE","MCCLAIN KONNOR","CAREY JADE","MILLER ZOE","175.48675","1","3"
"data.10","sim11","BILES SIMONE","CHILES JORDAN","MCCLAIN KONNOR","JONES SHILESE","MILLER ZOE","172.18975","1","3"
"data.11","sim12","BILES SIMONE","MCCLAIN KONNOR","CAREY JADE","JONES SHILESE","ZEISS LEXI","173.642","1","3"
"data.12","sim13","BILES SIMONE","MCCLAIN KONNOR","WONG LEANNE","JONES SHILESE","MILLER ZOE","172.229","1","3"
"data.13","sim14","BILES SIMONE","BLAKELY SKYE","MCCLAIN KONNOR","JONES SHILESE","MILLER ZOE","173.2495","1","3"
"data.14","sim15","BILES SIMONE","SUMANASEKERA TIANA","CHILES JORDAN","WONG LEANNE","JONES SHILESE","171.287","1","3"
"data.15","sim16","BILES SIMONE","BLAKELY SKYE","CAREY JADE","CHILES JORDAN","MILLER ZOE","174.78025","1","3"
"data.16","sim17","BILES SIMONE","MCCLAIN KONNOR","SUMANASEKERA TIANA","JONES SHILESE","MATTHEWS NOLA","172.58225","1","3"
"data.17","sim18","BILES SIMONE","MCCLAIN KONNOR","SUMANASEKERA TIANA","JONES SHILESE","BLAKELY SKYE","173.0925","1","3"
"data.18","sim19","BILES SIMONE","MCCLAIN KONNOR","JONES SHILESE","MILLER ZOE","CAREY JADE","173.44575","1","3"
"data.19","sim20","BILES SIMONE","MCCLAIN KONNOR","JONES SHILESE","MILLER ZOE","CAREY JADE","173.36725","1","3"
"data.20","sim21","BILES SIMONE","MCCLAIN KONNOR","BLAKELY SKYE","MILLER ZOE","CAREY JADE","173.799","1","3"
"data.21","sim22","BILES SIMONE","MCCLAIN KONNOR","WONG LEANNE","LINCOLN KALIYA","JONES SHILESE","174.46625","1","3"
"data.22","sim23","BILES SIMONE","MCCLAIN KONNOR","CAREY JADE","JONES SHILESE","BOOTH CHARLOTTE","174.62325","1","3"
"data.23","sim24","BILES SIMONE","MCCLAIN KONNOR","CAREY JADE","MATTHEWS NOLA","JONES SHILESE","172.857","1","3"
"data.24","sim25","BILES SIMONE","MCCLAIN KONNOR","WONG LEANNE","MILLER ZOE","CHILES JORDAN","172.18975","1","3"
"data.25","sim26","BILES SIMONE","JONES SHILESE","SUMANASEKERA TIANA","LINCOLN KALIYA","MATTHEWS NOLA","172.34675","1","3"
"data.26","sim27","BILES SIMONE","MCCLAIN KONNOR","CAREY JADE","JONES SHILESE","MILLER ZOE","173.99525","1","3"
"data.27","sim28","BILES SIMONE","JONES SHILESE","MCCLAIN KONNOR","CAREY JADE","MILLER ZOE","173.642","1","3"
"data.28","sim29","BILES SIMONE","BLAKELY SKYE","MCCLAIN KONNOR","CAREY JADE","ROBERSON JOSCELYN","172.97475","1","3"
"data.29","sim30","BILES SIMONE","MCCLAIN KONNOR","BLAKELY SKYE","JONES SHILESE","MILLER ZOE","173.28875","1","3"
"data.30","sim31","BLAKELY SKYE","MCCLAIN KONNOR","BILES SIMONE","CHILES JORDAN","JONES SHILESE","174.9765","1","3"
"data.31","sim32","BILES SIMONE","MCCLAIN KONNOR","CHILES JORDAN","LINCOLN KALIYA","MILLER ZOE","173.956","1","3"
"data.32","sim33","BILES SIMONE","MCCLAIN KONNOR","LINCOLN KALIYA","JONES SHILESE","CHILES JORDAN","173.799","1","3"
"data.33","sim34","BILES SIMONE","JONES SHILESE","MCCLAIN KONNOR","CHILES JORDAN","LINCOLN KALIYA","172.1505","1","3"
"data.34","sim35","BILES SIMONE","MCCLAIN KONNOR","SUMANASEKERA TIANA","BLAKELY SKYE","MILLER ZOE","175.48675","1","3"
"data.35","sim36","BILES SIMONE","JONES SHILESE","MCCLAIN KONNOR","LEW MYLI","MILLER ZOE","172.11125","1","3"
"data.36","sim37","BILES SIMONE","MCCLAIN KONNOR","LINCOLN KALIYA","JONES SHILESE","CAREY JADE","174.5055","1","3"
"data.37","sim38","BILES SIMONE","MCCLAIN KONNOR","SUMANASEKERA TIANA","JONES SHILESE","MILLER ZOE","172.857","1","3"
"data.38","sim39","BILES SIMONE","ROBERSON JOSCELYN","CAREY JADE","BLAKELY SKYE","JONES SHILESE","172.7785","1","3"
"data.39","sim40","BILES SIMONE","BLAKELY SKYE","CHILES JORDAN","CAREY JADE","JONES SHILESE","171.40475","1","3"
"data.40","sim41","BILES SIMONE","MCCLAIN KONNOR","ROBERSON JOSCELYN","JONES SHILESE","WONG LEANNE","172.03275","1","3"
"data.41","sim42","BILES SIMONE","MCCLAIN KONNOR","JONES SHILESE","LINCOLN KALIYA","MILLER ZOE","173.52425","1","3"
"data.42","sim43","BILES SIMONE","MCCLAIN KONNOR","ROBERSON JOSCELYN","CAREY JADE","CHILES JORDAN","174.46625","1","3"
"data.43","sim44","BILES SIMONE","MCCLAIN KONNOR","CAREY JADE","JONES SHILESE","MILLER ZOE","173.68125","1","3"
"data.44","sim45","BILES SIMONE","MCCLAIN KONNOR","CAREY JADE","WONG LEANNE","CHILES JORDAN","172.072","1","3"
"data.45","sim46","MCCLAIN KONNOR","BILES SIMONE","JONES SHILESE","MILLER ZOE","WONG LEANNE","173.014","1","3"
"data.46","sim47","BILES SIMONE","MCCLAIN KONNOR","WONG LEANNE","CHILES JORDAN","ROBERSON JOSCELYN","171.758","1","3"
"data.47","sim48","BILES SIMONE","BLAKELY SKYE","MCCLAIN KONNOR","MILLER ZOE","CAREY JADE","173.28875","1","3"
"data.48","sim49","BILES SIMONE","MCCLAIN KONNOR","LINCOLN KALIYA","BLAKELY SKYE","CAREY JADE","173.21025","1","3"
"data.49","sim50","BILES SIMONE","MCCLAIN KONNOR","SULLIVAN ASHLEE","JONES SHILESE","BLAKELY SKYE","174.3485","1","3"
"data.50","sim51","BILES SIMONE","BLAKELY SKYE","WONG LEANNE","CAREY JADE","JONES SHILESE","174.78025","1","3"
"data.51","sim52","BILES SIMONE","CAREY JADE","MCCLAIN KONNOR","LINCOLN KALIYA","MILLER ZOE","172.229","1","3"
"data.52","sim53","BILES SIMONE","MCCLAIN KONNOR","CAREY JADE","JONES SHILESE","MILLER ZOE","173.75975","1","3"
"data.53","sim54","BILES SIMONE","MCCLAIN KONNOR","SUMANASEKERA TIANA","JONES SHILESE","MILLER ZOE","172.229","1","3"
"data.54","sim55","BILES SIMONE","CHILES JORDAN","BLAKELY SKYE","JONES SHILESE","CAREY JADE","172.97475","1","3"
"data.55","sim56","BILES SIMONE","MCCLAIN KONNOR","SUMANASEKERA TIANA","CHILES JORDAN","ROBERSON JOSCELYN","173.52425","1","3"
"data.56","sim57","BILES SIMONE","MCCLAIN KONNOR","CAREY JADE","JONES SHILESE","CHILES JORDAN","172.81775","1","3"
"data.57","sim58","BILES SIMONE","JONES SHILESE","MCCLAIN KONNOR","CHILES JORDAN","CAREY JADE","173.0925","1","3"
"data.58","sim59","BILES SIMONE","MCCLAIN KONNOR","SUMANASEKERA TIANA","CHILES JORDAN","FATTA ADDISON","173.52425","1","3"
"data.59","sim60","BILES SIMONE","MCCLAIN KONNOR","JONES SHILESE","MILLER ZOE","ROBERSON JOSCELYN","173.44575","1","3"
"data.60","sim61","BILES SIMONE","CAREY JADE","MCCLAIN KONNOR","LINCOLN KALIYA","JONES SHILESE","172.11125","1","3"
"data.61","sim62","BILES SIMONE","BLAKELY SKYE","MCCLAIN KONNOR","CHILES JORDAN","JONES SHILESE","173.99525","1","3"
"data.62","sim63","BILES SIMONE","MCCLAIN KONNOR","JONES SHILESE","LINCOLN KALIYA","BLAKELY SKYE","174.07375","1","3"
"data.63","sim64","BILES SIMONE","MCCLAIN KONNOR","SUMANASEKERA TIANA","JONES SHILESE","MILLER ZOE","171.6795","1","3"
"data.64","sim65","BILES SIMONE","MCCLAIN KONNOR","CHILES JORDAN","MILLER ZOE","CAREY JADE","173.5635","1","3"
"data.65","sim66","BILES SIMONE","MCCLAIN KONNOR","CAREY JADE","JONES SHILESE","MILLER ZOE","173.328","1","3"
"data.66","sim67","BILES SIMONE","MCCLAIN KONNOR","JONES SHILESE","BLAKELY SKYE","CAREY JADE","172.26825","1","3"
"data.67","sim68","BILES SIMONE","MCCLAIN KONNOR","LINCOLN KALIYA","JONES SHILESE","MILLER ZOE","173.485","1","3"
"data.68","sim69","BILES SIMONE","SUMANASEKERA TIANA","JONES SHILESE","MILLER ZOE","MCCLAIN KONNOR","173.44575","1","3"
"data.69","sim70","BILES SIMONE","BLAKELY SKYE","MCCLAIN KONNOR","JONES SHILESE","MILLER ZOE","174.0345","1","3"
"data.70","sim71","BILES SIMONE","MCCLAIN KONNOR","JONES SHILESE","MILLER ZOE","SUMANASEKERA TIANA","173.171","1","3"
"data.71","sim72","BILES SIMONE","MCCLAIN KONNOR","JONES SHILESE","MILLER ZOE","CAREY JADE","174.1915","1","3"
"data.72","sim73","BILES SIMONE","MCCLAIN KONNOR","CHILES JORDAN","LINCOLN KALIYA","LEW MYLI","172.73925","1","3"
"data.73","sim74","BILES SIMONE","MCCLAIN KONNOR","CAREY JADE","JONES SHILESE","BOOTH CHARLOTTE","173.13175","1","3"
"data.74","sim75","BILES SIMONE","BLAKELY SKYE","MCCLAIN KONNOR","CAREY JADE","JONES SHILESE","172.89625","1","3"
"data.75","sim76","BILES SIMONE","MCCLAIN KONNOR","CAREY JADE","JONES SHILESE","WONG LEANNE","172.3075","1","3"
"data.76","sim77","BILES SIMONE","MCCLAIN KONNOR","NEAL MARISSA","JONES SHILESE","MATTHEWS NOLA","172.50375","1","3"
"data.77","sim78","BILES SIMONE","BLAKELY SKYE","MCCLAIN KONNOR","CAREY JADE","CHILES JORDAN","172.7785","1","3"
"data.78","sim79","BILES SIMONE","BLAKELY SKYE","MCCLAIN KONNOR","CAREY JADE","MILLER ZOE","174.1915","1","3"
"data.79","sim80","BILES SIMONE","BLAKELY SKYE","MCCLAIN KONNOR","CHILES JORDAN","ROBERSON JOSCELYN","174.113","1","3"
"data.80","sim81","BILES SIMONE","MCCLAIN KONNOR","BLAKELY SKYE","MILLER ZOE","CHILES JORDAN","172.7785","1","3"
"data.81","sim82","BILES SIMONE","BLAKELY SKYE","CHILES JORDAN","LINCOLN KALIYA","MILLER ZOE","173.328","1","3"
"data.82","sim83","BILES SIMONE","JONES SHILESE","MCCLAIN KONNOR","WONG LEANNE","BLAKELY SKYE","173.956","1","3"
"data.83","sim84","BILES SIMONE","MCCLAIN KONNOR","SUMANASEKERA TIANA","CHILES JORDAN","JONES SHILESE","171.6795","1","3"
"data.84","sim85","BILES SIMONE","BLAKELY SKYE","MCCLAIN KONNOR","CAREY JADE","JONES SHILESE","174.27","1","3"
"data.85","sim86","BILES SIMONE","MCCLAIN KONNOR","SUMANASEKERA TIANA","CAREY JADE","MILLER ZOE","171.287","1","3"
"data.86","sim87","BILES SIMONE","BLAKELY SKYE","MCCLAIN KONNOR","CHILES JORDAN","JONES SHILESE","171.8365","1","3"
