"Country","FullName","Apparatus","SimulationResults","mean"
"ALG","NEMOUR KAYLIA","FX","12.6385, 12.7955, 13.14875, 12.75625, 12.52075, 12.56, 12.36375, 13.1095, 12.67775, 12.91325, 12.91325, 12.3245, 13.345, 12.91325, 13.1095, 12.67775, 12.9525, 12.874, 12.91325, 12.403, 12.44225, 12.75625, 12.44225, 12.99175, 12.7955, 12.59925, 12.75625, 12.7955, 13.1095, 12.6385, 12.403, 12.59925, 12.36375, 12.75625, 12.59925, 12.36375, 12.91325, 12.67775, 12.99175, 12.717, 12.7955, 12.3245, 13.14875, 12.6385, 12.44225, 12.67775, 12.3245, 12.52075, 12.717, 12.4815, 12.67775, 12.75625, 12.91325, 12.403, 12.4815, 12.246, 12.6385, 12.59925, 12.7955, 12.52075, 12.6385, 12.67775, 12.67775, 12.67775, 12.4815, 12.36375, 12.52075, 12.874, 13.14875, 13.14875, 12.52075, 12.36375, 12.59925, 12.9525, 13.2665, 12.403, 12.91325, 13.07025, 12.4815, 12.59925, 12.83475, 12.4815, 12.59925, 12.75625, 12.7955, 12.4815, 12.59925, 12.56, 12.59925, 12.3245, 13.031, 12.44225, 12.4815, 12.20675, 12.75625, 12.75625, 12.59925, 12.52075, 12.717, 12.246",12.6789275
"AUS","BROWN GEORGIA","FX","11.26475, 11.10775, 11.26475, 11.10775, 11.618, 10.99, 11.3825, 10.9115, 11.0685, 11.0685, 11.5395, 10.79375, 10.87225, 11.02925, 11.18625, 10.95075, 10.95075, 10.9115, 11.147, 10.9115, 10.87225, 11.02925, 11.26475, 10.99, 11.34325, 10.833, 11.42175, 10.87225, 11.147, 10.99, 11.65725, 10.9115, 11.26475, 10.833, 11.304, 10.95075, 11.304, 11.50025, 11.18625, 11.02925, 11.26475, 11.18625, 11.147, 11.18625, 11.0685, 11.147, 11.3825, 11.147, 11.0685, 11.26475, 11.10775, 11.18625, 10.833, 10.71525, 10.9115, 11.42175, 11.26475, 11.0685, 11.147, 10.99, 10.87225, 10.519, 11.34325, 10.99, 10.95075, 10.99, 11.26475, 11.304, 10.99, 11.26475, 11.26475, 11.10775, 10.9115, 11.0685, 10.833, 11.02925, 11.18625, 10.9115, 10.7545, 10.99, 10.99, 10.9115, 11.26475, 10.95075, 11.304, 10.9115, 11.0685, 11.2255, 11.2255, 11.02925, 10.9115, 10.79375, 10.9115, 10.95075, 11.50025, 11.34325, 11.304, 11.2255, 11.18625, 11.304",11.10147
"AUS","BROWN ROMI","FX","11.57875, 11.73575, 11.8535, 12.874, 11.18625, 12.75625, 11.73575, 11.10775, 12.717, 12.91325, 11.10775, 12.089, 12.7955, 12.44225, 11.26475, 11.10775, 11.6965, 11.50025, 13.07025, 11.3825, 12.089, 12.4815, 10.71525, 13.031, 11.8535, 13.30575, 12.52075, 12.67775, 11.34325, 11.57875, 11.461, 11.34325, 12.04975, 11.10775, 11.42175, 12.4815, 11.97125, 11.50025, 11.2255, 11.89275, 12.4815, 12.56, 11.18625, 11.65725, 13.30575, 11.89275, 12.56, 11.97125, 12.874, 12.4815, 12.4815, 12.874, 12.12825, 12.83475, 12.0105, 11.5395, 11.932, 10.99, 12.67775, 12.36375, 12.83475, 11.73575, 12.83475, 12.246, 13.14875, 12.44225, 11.618, 11.57875, 13.14875, 11.73575, 11.57875, 11.461, 12.67775, 11.932, 11.8535, 11.81425, 11.89275, 11.6965, 12.403, 11.18625, 11.6965, 12.4815, 12.52075, 12.44225, 12.75625, 11.6965, 12.44225, 12.1675, 12.9525, 11.775, 12.717, 12.9525, 11.6965, 12.67775, 13.07025, 11.42175, 12.403, 12.67775, 12.91325, 11.0685",12.1011675
"AUS","BURROWS ANNABELLE","FX","12.4815, 12.3245, 12.59925, 12.91325, 12.04975, 12.52075, 12.4815, 12.59925, 12.28525, 12.99175, 12.4815, 12.717, 12.246, 12.52075, 12.75625, 12.59925, 12.59925, 12.59925, 12.089, 12.83475, 12.75625, 12.83475, 12.59925, 12.9525, 12.403, 12.7955, 12.4815, 12.12825, 12.4815, 12.20675, 12.36375, 12.403, 12.089, 12.20675, 12.6385, 11.932, 12.4815, 12.4815, 12.36375, 12.6385, 12.28525, 12.9525, 12.246, 12.44225, 12.67775, 12.67775, 12.67775, 12.4815, 12.83475, 11.81425, 12.1675, 12.56, 12.7955, 12.67775, 12.12825, 12.56, 12.6385, 12.246, 12.75625, 12.28525, 12.67775, 12.6385, 12.75625, 12.12825, 12.1675, 13.1095, 12.04975, 12.59925, 12.52075, 12.67775, 12.91325, 12.4815, 12.717, 11.97125, 12.7955, 12.403, 12.20675, 12.3245, 12.59925, 12.4815, 12.52075, 12.52075, 12.4815, 12.9525, 12.6385, 12.246, 12.403, 12.56, 11.932, 12.52075, 12.20675, 12.4815, 12.04975, 12.3245, 12.3245, 12.7955, 13.1095, 12.7955, 12.44225, 12.1675",12.4952375
"AUS","GODWIN GEORGIA","FX","13.46275, 12.874, 12.91325, 13.2665, 13.30575, 12.99175, 13.188, 13.30575, 12.04975, 12.83475, 12.59925, 12.6385, 13.61975, 12.99175, 12.59925, 12.99175, 12.7955, 12.56, 13.7375, 13.14875, 13.031, 12.91325, 13.46275, 12.44225, 12.6385, 13.2665, 12.75625, 12.52075, 13.61975, 13.30575, 12.91325, 12.403, 13.22725, 12.246, 13.85525, 13.46275, 13.07025, 13.38425, 13.502, 13.07025, 12.874, 13.502, 13.14875, 13.345, 12.91325, 13.46275, 13.77675, 13.188, 12.83475, 12.83475, 12.4815, 13.2665, 13.7375, 12.99175, 13.69825, 12.75625, 13.93375, 12.717, 13.5805, 13.46275, 13.54125, 12.1675, 12.83475, 13.61975, 12.717, 14.3655, 12.67775, 13.38425, 13.2665, 13.8945, 12.59925, 13.54125, 13.5805, 12.9525, 13.345, 13.14875, 13.1095, 12.52075, 13.30575, 13.93375, 13.1095, 12.874, 13.77675, 12.874, 13.77675, 12.99175, 12.36375, 13.1095, 13.345, 13.816, 14.01225, 13.61975, 13.8945, 12.7955, 12.83475, 12.59925, 12.91325, 12.56, 13.85525, 13.07025",13.141685
"AUS","MCDONALD KATE","FX","11.618, 12.403, 11.89275, 11.81425, 11.932, 11.73575, 12.246, 11.97125, 11.65725, 11.618, 11.932, 12.04975, 11.50025, 11.89275, 11.932, 12.0105, 12.12825, 11.81425, 12.089, 11.57875, 11.775, 11.50025, 11.5395, 11.932, 12.0105, 11.65725, 12.28525, 11.8535, 12.20675, 11.618, 11.73575, 11.97125, 11.57875, 11.81425, 11.97125, 11.3825, 11.89275, 11.65725, 11.8535, 11.50025, 11.775, 11.304, 11.8535, 12.12825, 11.89275, 11.6965, 11.932, 11.50025, 11.6965, 11.73575, 11.81425, 12.1675, 12.1675, 11.89275, 11.97125, 11.97125, 11.304, 11.6965, 11.97125, 12.20675, 11.89275, 12.04975, 11.65725, 11.65725, 11.73575, 12.28525, 11.57875, 11.8535, 12.089, 11.97125, 11.57875, 11.775, 11.50025, 12.04975, 11.81425, 11.775, 11.618, 11.81425, 12.36375, 12.4815, 11.89275, 12.04975, 12.12825, 11.81425, 12.04975, 11.775, 11.8535, 12.12825, 11.2255, 11.34325, 11.6965, 11.34325, 11.932, 11.932, 12.089, 11.618, 11.89275, 11.775, 11.57875, 12.12825",11.840155
"AUS","PASS RUBY","FX","12.0105, 13.1095, 12.44225, 11.81425, 12.246, 12.6385, 12.67775, 12.3245, 12.7955, 12.83475, 12.99175, 11.89275, 12.6385, 12.0105, 12.089, 12.9525, 12.52075, 12.20675, 12.56, 12.52075, 11.6965, 12.52075, 12.20675, 12.089, 12.089, 12.1675, 12.20675, 12.04975, 12.717, 11.73575, 12.4815, 12.91325, 12.04975, 12.67775, 12.99175, 12.246, 12.28525, 12.089, 13.22725, 12.3245, 12.403, 12.3245, 13.031, 12.9525, 12.4815, 11.97125, 12.36375, 12.246, 12.717, 12.28525, 12.089, 12.089, 12.36375, 12.91325, 12.403, 12.9525, 12.717, 12.59925, 11.81425, 12.6385, 12.4815, 12.36375, 13.031, 12.28525, 12.52075, 12.4815, 12.04975, 12.36375, 11.932, 12.36375, 13.07025, 12.56, 13.345, 12.874, 12.6385, 12.7955, 12.403, 11.81425, 12.91325, 12.04975, 12.717, 11.775, 13.031, 12.9525, 12.44225, 12.75625, 12.56, 12.0105, 13.031, 11.932, 12.52075, 12.52075, 12.04975, 12.717, 12.44225, 12.7955, 12.4815, 12.28525, 12.52075, 11.81425",12.450885
"AUS","ROSS EMMA","FX","12.089, 13.1095, 12.04975, 12.4815, 12.874, 12.44225, 12.59925, 13.1095, 12.75625, 12.12825, 12.28525, 12.12825, 12.3245, 12.1675, 12.6385, 12.717, 12.91325, 12.089, 12.403, 11.618, 12.36375, 11.775, 12.67775, 12.75625, 12.403, 13.07025, 13.22725, 12.4815, 12.44225, 12.246, 12.6385, 12.83475, 12.874, 12.75625, 12.44225, 12.1675, 12.089, 12.7955, 12.4815, 12.6385, 12.52075, 11.8535, 12.44225, 12.83475, 12.75625, 12.4815, 12.089, 12.12825, 12.28525, 12.1675, 12.246, 12.99175, 11.932, 12.75625, 12.6385, 12.0105, 12.717, 12.717, 12.3245, 12.1675, 12.246, 12.089, 12.1675, 12.28525, 12.59925, 12.28525, 12.59925, 12.83475, 12.9525, 12.44225, 12.56, 12.12825, 12.6385, 13.031, 11.81425, 12.44225, 12.089, 12.75625, 12.56, 12.83475, 12.0105, 12.67775, 12.36375, 12.44225, 11.97125, 13.07025, 11.6965, 12.717, 12.52075, 12.36375, 12.717, 12.403, 12.7955, 12.9525, 12.7955, 13.031, 12.75625, 12.717, 12.04975, 11.775",12.4732575
"AUS","SCOTT BREANNA","FX","11.461, 12.9525, 11.42175, 11.147, 12.67775, 12.12825, 13.188, 12.28525, 12.874, 12.59925, 12.83475, 12.36375, 11.10775, 11.932, 12.874, 12.28525, 11.461, 12.717, 12.6385, 11.42175, 12.089, 12.403, 11.65725, 12.9525, 12.717, 11.6965, 11.81425, 12.20675, 12.56, 12.28525, 12.12825, 12.874, 11.34325, 12.1675, 12.44225, 11.50025, 12.44225, 12.83475, 11.97125, 12.6385, 12.4815, 12.52075, 12.28525, 11.97125, 11.65725, 11.775, 11.18625, 12.3245, 12.3245, 12.67775, 12.44225, 12.12825, 11.618, 13.031, 12.717, 11.50025, 12.44225, 12.67775, 12.4815, 12.36375, 12.403, 12.7955, 11.775, 12.3245, 12.403, 12.56, 12.403, 12.4815, 11.775, 12.83475, 12.874, 11.618, 12.52075, 11.8535, 11.81425, 11.775, 12.04975, 12.67775, 12.1675, 12.75625, 12.83475, 12.28525, 12.44225, 12.9525, 12.403, 12.67775, 12.9525, 12.3245, 12.28525, 11.10775, 12.246, 11.8535, 12.7955, 12.246, 12.6385, 12.4815, 11.97125, 11.775, 12.44225, 11.5395",12.2581675
"AUS","WHITEHEAD EMILY","FX","12.717, 11.97125, 12.7955, 13.07025, 11.775, 12.56, 12.12825, 11.618, 12.403, 12.56, 12.44225, 11.3825, 11.775, 12.52075, 11.89275, 12.44225, 11.8535, 12.83475, 11.42175, 12.56, 12.4815, 12.6385, 11.81425, 13.188, 12.9525, 12.56, 12.9525, 12.36375, 13.2665, 13.031, 11.65725, 12.874, 13.188, 13.345, 12.91325, 13.031, 12.36375, 11.618, 12.52075, 12.91325, 12.52075, 12.6385, 13.1095, 11.65725, 12.99175, 12.83475, 11.8535, 12.36375, 12.6385, 13.2665, 12.91325, 12.9525, 12.20675, 12.3245, 13.1095, 12.3245, 12.52075, 12.717, 12.874, 12.0105, 13.22725, 13.46275, 11.89275, 12.28525, 12.99175, 11.34325, 13.07025, 11.89275, 11.8535, 12.874, 13.2665, 12.83475, 12.403, 13.659, 12.04975, 12.99175, 12.403, 11.461, 12.99175, 12.91325, 13.345, 13.345, 13.22725, 12.52075, 13.22725, 11.81425, 12.717, 13.14875, 12.04975, 12.52075, 12.874, 11.6965, 11.775, 13.07025, 11.65725, 12.3245, 12.6385, 12.6385, 12.20675, 12.04975",12.529385
