"Country","FullName","Apparatus","SimulationResults","mean"
"ARM","DAVTYAN ARTUR","FX","13.61975, 13.61975",13.61975
"BEL","CUYLE GLEN","FX","13.659, 13.77675",13.717875
"BEL","GENTGES MAXIME","FX","12.91325, 13.07025",12.99175
"BEL","KEYBUS LUKA","FX","13.816, 14.01225",13.914125
"BEL","KUAVITA NOAH","FX","13.38425, 14.16925",13.77675
"BEL","VAN LUKA","FX","13.659, 14.40475",14.031875
"BRA","BITENCOURT LUCAS","FX","11.97125, 12.1675",12.069375
"BRA","GUIMARAES YURI","FX","12.089, 13.22725",12.658125
"BRA","MARIANO ARTHUR","FX","13.61975, 13.61975",13.61975
"BRA","SOUZA CAIO","FX","14.01225, 13.7375",13.874875
"CAN","BLAQUIERE FELIX","FX","13.46275, 13.54125",13.502
"CAN","CLAY ZACHARY","FX","12.91325, 13.30575",13.1095
"CAN","COURNOYER RENE","FX","13.38425, 12.4815",12.932875
"CAN","DOLCI FELIX","FX","14.09075, 14.2085",14.149625
"CAN","EMARD WILLIAM","FX","14.09075, 13.77675",13.93375
"CAN","KAJI CHRIS","FX","13.14875, 12.59925",12.874
"CAN","RAMPERSAD JAYSON","FX","10.833, 10.32275",10.577875
"CAN","SAUVE LEANDRE","FX","12.20675, 14.01225",13.1095
"CAN","ZAKUTNEY SAM","FX","13.659, 13.502",13.5805
"CHN","LAN XINGYU","FX","13.4235, 13.46275",13.443125
"CHN","LIN CHAOPAN","FX","12.6385, 13.031",12.83475
"CHN","LIU YANG","FX","12.67775, 13.14875",12.91325
"CHN","SHI CONG","FX","13.502, 13.93375",13.717875
"CHN","SU WEIDE","FX","13.69825, 13.1095",13.403875
"CHN","SUN WEI","FX","13.973, 13.031",13.502
"CHN","YANG JIAXING","FX","14.3655, 13.61975",13.992625
"CHN","YIN DEHANG","FX","13.8945, 13.85525",13.874875
"CHN","ZHANG BOHENG","FX","14.79725, 14.16925",14.48325
"ESP","ABAD NESTOR","FX","12.7955, 12.36375",12.579625
"ESP","DIALLO THIERNO","FX","13.07025, 13.07025",13.07025
"ESP","JIMENEZ PAU","FX","13.816, 13.7375",13.77675
"ESP","MIR NICOLAU","FX","13.30575, 14.24775",13.77675
"ESP","PLATA JOEL","FX","12.52075, 12.36375",12.44225
"ESP","WILLIAMS JOSHUA","FX","13.46275, 13.54125",13.502
"GBR","BAPTISTE RAEKWON","FX","12.28525, 12.20675",12.246
"GBR","BARBER EMIL","FX","13.502, 14.287",13.8945
"GBR","BEVAN BRINN","FX","13.2665, 13.54125",13.403875
"GBR","CEMLYN JOE","FX","13.031, 13.46275",13.246875
"GBR","EDWARDS JACOB","FX","13.30575, 13.188",13.246875
"GBR","FRASER JOE","FX","13.973, 14.24775",14.110375
"GBR","HALL JAMES","FX","14.2085, 13.61975",13.914125
"GBR","HEPWORTH HARRY","FX","12.20675, 13.7375",12.972125
"GBR","JARMAN JAKE","FX","14.287, 12.874",13.5805
"GBR","JOHNSON JAKE","FX","10.676, 10.63675",10.656375
"GBR","JONES THOMAS","FX","12.3245, 12.4815",12.403
"GBR","KARNEJENKO PAVEL","FX","13.1095, 13.07025",13.089875
"GBR","LEWIS JAMIE","FX","13.1095, 12.7955",12.9525
"GBR","LYNN CAMERON","FX","12.403, 12.0105",12.20675
"GBR","MONTGOMERY EAMON","FX","13.502, 13.69825",13.600125
"GBR","MOSTOWFI SAM","FX","13.69825, 13.8945",13.796375
"GBR","NATHAN JOSHUA","FX","13.502, 13.85525",13.678625
"GBR","PRINT OWEN","FX","12.83475, 12.56",12.697375
"GBR","REGINI GIARNNI","FX","13.93375, 14.2085",14.071125
"GBR","ROBINSON REMELL","FX","9.9695, 9.577",9.77325
"GBR","SKINNER HAYDEN","FX","13.816, 13.5805",13.69825
"GBR","TOBIN ADAM","FX","12.0105, 13.7375",12.874
"GBR","TULLOCH COURTNEY","FX","12.874, 13.85525",13.364625
"GBR","WEIR DAVID","FX","11.26475, 14.09075",12.67775
"GBR","WHITEHOUSE LUKE","FX","13.77675, 13.07025",13.4235
"GER","BRENDEL PASCAL","FX","14.13, 13.659",13.8945
"GER","DAUSER LUKAS","FX","13.46275, 13.659",13.560875
"GER","DUNKEL NILS","FX","13.031, 13.345",13.188
"GER","HOERR CARLO","FX","13.14875, 12.75625",12.9525
"GER","HOSSEINI MILAN","FX","13.816, 13.54125",13.678625
"GER","KOCHAN LUCAS","FX","13.4235, 13.502",13.46275
"GER","KUNZ ALEXANDER","FX","12.44225, 13.38425",12.91325
"GER","SCHULTZE TOM","FX","13.14875, 13.07025",13.1095
"GER","SISSAKIS DARIO","FX","12.403, 13.2665",12.83475
"GER","TREBING GLENN","FX","14.0515, 12.7955",13.4235
"HUN","MESZAROS KRISZTOFER","FX","14.3655, 13.4235",13.8945
"ISR","DOLGOPYAT ARTEM","FX","12.7955, 14.95425",13.874875
