"Country","FullName","Apparatus","SimulationResults","mean"
"ARM","DAVTYAN ARTUR","HB","12.83475, 13.07025",12.9525
"BEL","CUYLE GLEN","HB","12.20675, 12.20675",12.20675
"BEL","GENTGES MAXIME","HB","12.44225, 12.3245",12.383375
"BEL","KEYBUS LUKA","HB","13.502, 13.188",13.345
"BEL","KUAVITA NOAH","HB","12.717, 14.287",13.502
"BEL","VAN LUKA","HB","13.031, 12.56",12.7955
"BRA","BITENCOURT LUCAS","HB","14.6795, 14.16925",14.424375
"BRA","GUIMARAES YURI","HB","12.91325, 13.14875",13.031
"BRA","MARIANO ARTHUR","HB","14.444, 13.502",13.973
"BRA","SOUZA CAIO","HB","14.48325, 13.93375",14.2085
"CAN","BLAQUIERE FELIX","HB","12.36375, 12.9525",12.658125
"CAN","CLAY ZACHARY","HB","13.30575, 11.461",12.383375
"CAN","COURNOYER RENE","HB","13.5805, 13.816",13.69825
"CAN","DOLCI FELIX","HB","12.28525, 14.5225",13.403875
"CAN","EMARD WILLIAM","HB","13.5805, 9.93025",11.755375
"CAN","KAJI CHRIS","HB","11.0685, 11.304",11.18625
"CAN","ZAKUTNEY SAM","HB","14.2085, 14.09075",14.149625
"CHN","LAN XINGYU","HB","13.38425, 13.22725",13.30575
"CHN","LIN CHAOPAN","HB","14.287, 14.13",14.2085
"CHN","SHI CONG","HB","13.5805, 14.56175",14.071125
"CHN","SU WEIDE","HB","14.24775, 13.61975",13.93375
"CHN","SUN WEI","HB","14.24775, 14.56175",14.40475
"CHN","YANG JIAXING","HB","13.816, 14.444",14.13
"CHN","YIN DEHANG","HB","12.99175, 12.83475",12.91325
"CHN","YOU HAO","HB","13.14875, 10.5975",11.873125
"CHN","ZHANG BOHENG","HB","14.287, 14.5225",14.40475
"ESP","ABAD NESTOR","HB","12.9525, 13.07025",13.011375
"ESP","DIALLO THIERNO","HB","12.1675, 11.304",11.73575
"ESP","JIMENEZ PAU","HB","7.65375, 12.28525",9.9695
"ESP","MIR NICOLAU","HB","13.031, 13.69825",13.364625
"ESP","PLATA JOEL","HB","12.28525, 13.85525",13.07025
"ESP","WILLIAMS JOSHUA","HB","13.188, 13.4235",13.30575
"GBR","BAPTISTE RAEKWON","HB","12.67775, 12.44225",12.56
"GBR","BARBER EMIL","HB","12.717, 12.12825",12.422625
"GBR","BEVAN BRINN","HB","12.20675, 12.874",12.540375
"GBR","CEMLYN JOE","HB","13.031, 13.61975",13.325375
"GBR","EDWARDS JACOB","HB","12.59925, 12.403",12.501125
"GBR","FELLOWS KORBEN","HB","11.73575, 11.97125",11.8535
"GBR","FRASER JOE","HB","12.75625, 12.59925",12.67775
"GBR","HALL JAMES","HB","13.8945, 14.01225",13.953375
"GBR","JARMAN JAKE","HB","14.09075, 13.188",13.639375
"GBR","JOHNSON JAKE","HB","12.246, 12.717",12.4815
"GBR","JONES THOMAS","HB","11.461, 10.9115",11.18625
"GBR","KARNEJENKO PAVEL","HB","13.46275, 13.188",13.325375
"GBR","LEWIS JAMIE","HB","11.50025, 11.10775",11.304
"GBR","LYNN CAMERON","HB","13.54125, 12.91325",13.22725
"GBR","MOSTOWFI SAM","HB","11.618, 10.9115",11.26475
"GBR","NATHAN JOSHUA","HB","13.61975, 13.188",13.403875
"GBR","PRINT OWEN","HB","12.28525, 11.42175",11.8535
"GBR","REGINI GIARNNI","HB","10.00875, 9.77325",9.891
"GBR","ROBINSON REMELL","HB","12.3245, 12.9525",12.6385
"GBR","TOBIN ADAM","HB","13.4235, 12.9525",13.188
"GBR","WEIR DAVID","HB","13.1095, 12.75625",12.932875
"GBR","WHITEHOUSE LUKE","HB","12.75625, 10.7545",11.755375
"GBR","WHITLOCK MAX","HB","13.345, 13.502",13.4235
"GER","BRENDEL PASCAL","HB","13.61975, 13.7375",13.678625
"GER","DAUSER LUKAS","HB","12.089, 12.4815",12.28525
"GER","DUNKEL NILS","HB","11.57875, 13.1095",12.344125
"GER","HOERR CARLO","HB","11.89275, 12.7955",12.344125
"GER","HOSSEINI MILAN","HB","12.403, 12.0105",12.20675
"GER","KOCHAN LUCAS","HB","13.816, 11.50025",12.658125
"GER","KUNZ ALEXANDER","HB","11.3825, 11.97125",11.676875
"GER","SISSAKIS DARIO","HB","12.4815, 12.75625",12.618875
"GER","TREBING GLENN","HB","13.188, 13.14875",13.168375
"HUN","MESZAROS KRISZTOFER","HB","13.85525, 13.188",13.521625
"ISR","DOLGOPYAT ARTEM","HB","12.83475, 12.44225",12.6385
"ITA","ABBADINI YUMIN","HB","13.85525, 11.57875",12.717
"ITA","BARTOLINI NICOLA","HB","13.345, 12.44225",12.893625
"ITA","BONICELLI LORENZO","HB","14.0515, 13.54125",13.796375
"ITA","CASALI LORENZO","HB","13.2665, 13.14875",13.207625
"ITA","LEVANTESI MATTEO","HB","10.79375, 12.91325",11.8535
"ITA","MACCHIATI MARIO","HB","12.59925, 13.22725",12.91325
"ITA","MACCHINI CARLO","HB","13.5805, 13.77675",13.678625
"ITA","MOZZATO NICOLO","HB","13.659, 13.69825",13.678625
"ITA","ROSA EDOARDO","HB","12.44225, 12.36375",12.403
"ITA","SARRUGERIO MARCO","HB","13.38425, 12.717",13.050625
"ITA","VANNUCCHI NICCOLO","HB","13.54125, 13.2665",13.403875
"JPN","CHIBA KENTA","HB","13.1095, 13.7375",13.4235
"JPN","DOI RYOSUKE","HB","13.7375, 14.9935",14.3655
"JPN","HASEGAWA TSUYOSHI","HB","13.30575, 13.2665",13.286125
"JPN","HASHIMOTO DAIKI","HB","14.87575, 14.16925",14.5225
"JPN","HIDAKA DAIKI","HB","13.4235, 14.0515",13.7375
"JPN","KAMOTO YUYA","HB","14.287, 14.0515",14.16925
"JPN","KAWAKAMI SHOHEI","HB","13.77675, 14.40475",14.09075
"JPN","KAYA KAZUMA","HB","13.973, 13.973",13.973
"JPN","KAZUMA KOTOGE","HB","13.816, 13.7375",13.77675
"JPN","KITAZONO TAKERU","HB","13.30575, 14.01225",13.659
"JPN","MAEDA KOKI","HB","13.345, 13.031",13.188
