"Country","FullName","Apparatus","SimulationResults","mean"
"ARM","DAVTYAN ARTUR","PB","13.38425, 13.38425",13.38425
"BEL","CUYLE GLEN","PB","14.32625, 14.287",14.306625
"BEL","GENTGES MAXIME","PB","14.13, 14.32625",14.228125
"BEL","KEYBUS LUKA","PB","13.93375, 14.287",14.110375
"BEL","KUAVITA NOAH","PB","14.09075, 13.816",13.953375
"BEL","VAN LUKA","PB","10.71525, 14.13",12.422625
"BRA","BITENCOURT LUCAS","PB","11.775, 11.18625",11.480625
"BRA","GUIMARAES YURI","PB","13.61975, 13.07025",13.345
"BRA","MARIANO ARTHUR","PB","12.91325, 12.67775",12.7955
"BRA","SOUZA CAIO","PB","14.6795, 13.973",14.32625
"CAN","BLAQUIERE FELIX","PB","13.30575, 13.14875",13.22725
"CAN","CLAY ZACHARY","PB","12.91325, 12.75625",12.83475
"CAN","COURNOYER RENE","PB","13.93375, 14.13",14.031875
"CAN","DOLCI FELIX","PB","14.3655, 14.56175",14.463625
"CAN","EMARD WILLIAM","PB","14.01225, 14.16925",14.09075
"CAN","KAJI CHRIS","PB","13.973, 12.717",13.345
"CAN","ZAKUTNEY SAM","PB","12.75625, 12.6385",12.697375
"CHN","LAN XINGYU","PB","14.32625, 14.3655",14.345875
"CHN","LIN CHAOPAN","PB","14.8365, 14.5225",14.6795
"CHN","SHI CONG","PB","14.56175, 14.79725",14.6795
"CHN","SUN WEI","PB","14.01225, 13.54125",13.77675
"CHN","YANG JIAXING","PB","13.30575, 13.2665",13.286125
"CHN","YIN DEHANG","PB","14.40475, 14.9935",14.699125
"CHN","YOU HAO","PB","12.59925, 12.75625",12.67775
"CHN","ZHANG BOHENG","PB","14.16925, 14.71875",14.444
"CHN","ZOU JINGYUAN","PB","numeric(0), numeric(0)",NA
"ESP","ABAD NESTOR","PB","13.5805, 13.973",13.77675
"ESP","DIALLO THIERNO","PB","14.01225, 14.32625",14.16925
"ESP","JIMENEZ PAU","PB","14.758, 12.28525",13.521625
"ESP","MIR NICOLAU","PB","15.03275, 12.59925",13.816
"ESP","PLATA JOEL","PB","14.71875, 14.601",14.659875
"ESP","WILLIAMS JOSHUA","PB","12.874, 12.9525",12.91325
"GBR","BAPTISTE RAEKWON","PB","12.874, 12.83475",12.854375
"GBR","BARBER EMIL","PB","12.75625, 12.6385",12.697375
"GBR","BEVAN BRINN","PB","12.7955, 14.32625",13.560875
"GBR","CEMLYN JOE","PB","12.83475, 13.30575",13.07025
"GBR","EDWARDS JACOB","PB","12.44225, 12.0105",12.226375
"GBR","FRASER JOE","PB","14.48325, 14.40475",14.444
"GBR","HALL JAMES","PB","13.502, 14.24775",13.874875
"GBR","HEPWORTH HARRY","PB","10.47975, 10.71525",10.5975
"GBR","JARMAN JAKE","PB","14.95425, 14.64025",14.79725
"GBR","JOHNSON JAKE","PB","9.4985, 12.717",11.10775
"GBR","JONES THOMAS","PB","12.28525, 12.12825",12.20675
"GBR","KARNEJENKO PAVEL","PB","13.2665, 13.4235",13.345
"GBR","LEWIS JAMIE","PB","13.502, 12.7955",13.14875
"GBR","LYNN CAMERON","PB","13.30575, 12.874",13.089875
"GBR","MOSTOWFI SAM","PB","12.3245, 12.3245",12.3245
"GBR","NATHAN JOSHUA","PB","12.874, 12.99175",12.932875
"GBR","PRINT OWEN","PB","11.42175, 12.91325",12.1675
"GBR","REGINI GIARNNI","PB","13.5805, 14.915",14.24775
"GBR","TOBIN ADAM","PB","13.69825, 14.2085",13.953375
"GBR","TULLOCH COURTNEY","PB","13.61975, 13.22725",13.4235
"GBR","WEIR DAVID","PB","12.44225, 12.403",12.422625
"GBR","WHITEHOUSE LUKE","PB","11.8535, 13.8945",12.874
"GBR","WHITLOCK MAX","PB","14.56175, 13.69825",14.13
"GER","BRENDEL PASCAL","PB","13.46275, 13.7375",13.600125
"GER","DAUSER LUKAS","PB","15.4645, 13.46275",14.463625
"GER","DUNKEL NILS","PB","14.13, 12.67775",13.403875
"GER","HOERR CARLO","PB","13.5805, 13.22725",13.403875
"GER","HOSSEINI MILAN","PB","12.56, 13.502",13.031
"GER","KOCHAN LUCAS","PB","12.0105, 12.246",12.12825
"GER","KUNZ ALEXANDER","PB","12.4815, 13.2665",12.874
"GER","SISSAKIS DARIO","PB","13.07025, 12.9525",13.011375
"GER","TREBING GLENN","PB","14.01225, 12.83475",13.4235
"HUN","MESZAROS KRISZTOFER","PB","14.287, 14.56175",14.424375
"ISR","DOLGOPYAT ARTEM","PB","14.13, 13.77675",13.953375
"ITA","ABBADINI YUMIN","PB","12.089, 13.85525",12.972125
"ITA","BARTOLINI NICOLA","PB","14.13, 13.69825",13.914125
"ITA","BONICELLI LORENZO","PB","13.61975, 13.93375",13.77675
"ITA","CASALI LORENZO","PB","13.7375, 14.40475",14.071125
"ITA","LEVANTESI MATTEO","PB","15.072, 14.48325",14.777625
"ITA","MACCHIATI MARIO","PB","14.24775, 14.09075",14.16925
"ITA","MOZZATO NICOLO","PB","12.7955, 13.502",13.14875
"ITA","ROSA EDOARDO","PB","13.46275, 12.56",13.011375
