"Country","FullName","Apparatus","SimulationResults","mean"
"ARM","DAVTYAN ARTUR","SR","14.64025, 13.973",14.306625
"BEL","CUYLE GLEN","SR","14.13, 13.973",14.0515
"BEL","GENTGES MAXIME","SR","12.67775, 12.67775",12.67775
"BEL","KEYBUS LUKA","SR","12.52075, 12.59925",12.56
"BEL","KUAVITA NOAH","SR","12.12825, 11.57875",11.8535
"BEL","VAN LUKA","SR","12.246, 12.6385",12.44225
"BRA","BITENCOURT LUCAS","SR","13.07025, 13.502",13.286125
"BRA","GUIMARAES YURI","SR","13.54125, 12.7955",13.168375
"BRA","SOUZA CAIO","SR","13.973, 13.8945",13.93375
"BRA","ZANETTI ARTHUR","SR","14.5225, 14.9935",14.758
"CAN","BLAQUIERE FELIX","SR","12.59925, 13.816",13.207625
"CAN","CLAY ZACHARY","SR","12.28525, 12.75625",12.52075
"CAN","COURNOYER RENE","SR","13.77675, 13.61975",13.69825
"CAN","DOLCI FELIX","SR","14.24775, 13.8945",14.071125
"CAN","EMARD WILLIAM","SR","14.01225, 13.93375",13.973
"CAN","KAJI CHRIS","SR","13.54125, 13.345",13.443125
"CAN","ZAKUTNEY SAM","SR","13.188, 13.345",13.2665
"CHN","LAN XINGYU","SR","15.1505, 15.50375",15.327125
"CHN","LIU YANG","SR","15.58225, 15.386",15.484125
"CHN","SHI CONG","SR","14.3655, 14.32625",14.345875
"CHN","SUN WEI","SR","13.38425, 14.13",13.757125
"CHN","YANG JIAXING","SR","14.01225, 14.09075",14.0515
"CHN","YIN DEHANG","SR","14.0515, 13.69825",13.874875
"CHN","YOU HAO","SR","14.6795, 14.64025",14.659875
"CHN","ZHANG BOHENG","SR","14.601, 12.12825",13.364625
"CHN","ZOU JINGYUAN","SR","15.18975, 14.915",15.052375
"ESP","ABAD NESTOR","SR","14.287, 14.0515",14.16925
"ESP","DIALLO THIERNO","SR","12.91325, 13.1095",13.011375
"ESP","JIMENEZ PAU","SR","12.0105, 12.56",12.28525
"ESP","MIR NICOLAU","SR","11.775, 12.99175",12.383375
"ESP","PLATA JOEL","SR","12.04975, 11.89275",11.97125
"ESP","WILLIAMS JOSHUA","SR","12.75625, 11.5395",12.147875
"GBR","BAPTISTE RAEKWON","SR","13.188, 13.38425",13.286125
"GBR","BEVAN BRINN","SR","12.83475, 12.6385",12.736625
"GBR","CEMLYN JOE","SR","11.34325, 11.8535",11.598375
"GBR","EDWARDS JACOB","SR","12.75625, 12.403",12.579625
"GBR","FELLOWS KORBEN","SR","12.83475, 13.30575",13.07025
"GBR","FRASER JOE","SR","13.4235, 14.2085",13.816
"GBR","HALL JAMES","SR","13.2665, 13.5805",13.4235
"GBR","HEPWORTH HARRY","SR","13.816, 14.16925",13.992625
"GBR","JARMAN JAKE","SR","13.1095, 12.67775",12.893625
"GBR","JOHNSON JAKE","SR","12.52075, 12.403",12.461875
"GBR","JONES THOMAS","SR","11.89275, 12.20675",12.04975
"GBR","KARNEJENKO PAVEL","SR","13.816, 14.2085",14.01225
"GBR","LEWIS JAMIE","SR","14.01225, 13.816",13.914125
"GBR","LYNN CAMERON","SR","12.874, 13.031",12.9525
