"Country","FullName","Apparatus","SimulationResults","mean"
"ARM","DAVTYAN ARTUR","VT","14.9935, 14.758",14.87575
"BEL","CUYLE GLEN","VT","14.601, 14.71875",14.659875
"BEL","GENTGES MAXIME","VT","12.6385, 12.67775",12.658125
"BEL","KEYBUS LUKA","VT","14.915, 14.56175",14.738375
"BEL","KUAVITA NOAH","VT","14.9935, 14.48325",14.738375
"BEL","VAN LUKA","VT","14.16925, 13.816",13.992625
"BRA","GUIMARAES YURI","VT","14.24775, 12.717",13.482375
"BRA","MARIANO ARTHUR","VT","15.03275, 14.3655",14.699125
"BRA","SOUZA CAIO","VT","14.64025, 14.6795",14.659875
"CAN","BLAQUIERE FELIX","VT","13.93375, 13.816",13.874875
"CAN","CLAY ZACHARY","VT","13.659, 13.85525",13.757125
"CAN","COURNOYER RENE","VT","14.758, 13.7375",14.24775
"CAN","DOLCI FELIX","VT","14.79725, 14.444",14.620625
"CAN","EMARD WILLIAM","VT","14.6795, 14.444",14.56175
"CAN","KAJI CHRIS","VT","13.77675, 14.13",13.953375
"CAN","SAUVE LEANDRE","VT","14.09075, 12.4815",13.286125
"CAN","ZAKUTNEY SAM","VT","14.32625, 13.5805",13.953375
"CHN","LAN XINGYU","VT","14.32625, 14.48325",14.40475
"CHN","LIN CHAOPAN","VT","13.14875, 13.69825",13.4235
"CHN","LIU YANG","VT","13.659, 13.07025",13.364625
"CHN","SHI CONG","VT","13.188, 13.345",13.2665
"CHN","SU WEIDE","VT","14.6795, 14.48325",14.581375
"CHN","SUN WEI","VT","14.56175, 13.54125",14.0515
"CHN","YANG JIAXING","VT","14.601, 14.758",14.6795
"CHN","ZHANG BOHENG","VT","15.3075, 14.8365",15.072
"ESP","ABAD NESTOR","VT","13.7375, 13.659",13.69825
"ESP","DIALLO THIERNO","VT","13.8945, 13.85525",13.874875
"ESP","JIMENEZ PAU","VT","13.85525, 12.99175",13.4235
"ESP","MIR NICOLAU","VT","13.7375, 13.14875",13.443125
"ESP","PLATA JOEL","VT","15.42525, 13.61975",14.5225
"ESP","WILLIAMS JOSHUA","VT","13.07025, 13.7375",13.403875
"GBR","BAPTISTE RAEKWON","VT","14.5225, 13.188",13.85525
"GBR","BARBER EMIL","VT","13.46275, 14.3655",13.914125
"GBR","BEVAN BRINN","VT","13.61975, 13.345",13.482375
"GBR","CEMLYN JOE","VT","12.91325, 13.2665",13.089875
"GBR","EDWARDS JACOB","VT","12.20675, 13.77675",12.99175
"GBR","FRASER JOE","VT","14.48325, 14.0515",14.267375
"GBR","HALL JAMES","VT","14.95425, 14.64025",14.79725
"GBR","HEPWORTH HARRY","VT","14.5225, 14.87575",14.699125
"GBR","JARMAN JAKE","VT","14.64025, 15.11125",14.87575
"GBR","JOHNSON JAKE","VT","12.91325, 13.22725",13.07025
"GBR","JONES THOMAS","VT","14.32625, 14.48325",14.40475
"GBR","KARNEJENKO PAVEL","VT","14.24775, 14.40475",14.32625
"GBR","LEWIS JAMIE","VT","13.93375, 14.24775",14.09075
"GBR","LYNN CAMERON","VT","13.816, 13.93375",13.874875
"GBR","MOSTOWFI SAM","VT","12.717, 14.40475",13.560875
"GBR","NATHAN JOSHUA","VT","14.24775, 14.16925",14.2085
"GBR","PRINT OWEN","VT","13.8945, 13.93375",13.914125
"GBR","REGINI GIARNNI","VT","15.1505, 14.444",14.79725
"GBR","ROBINSON REMELL","VT","15.072, 13.2665",14.16925
"GBR","SKINNER HAYDEN","VT","14.3655, 14.2085",14.287
"GBR","TOBIN ADAM","VT","14.6795, 14.48325",14.581375
