"Country","FullName","Apparatus","SimulationResults","mean"
"ALG","NEMOUR KAYLIA","UB","14.79725, 15.11125, 15.03275, 14.64025, 14.8365, 14.8365, 15.34675, 14.758, 15.072, 15.34675, 15.18975, 15.543, 15.03275, 14.8365, 15.26825, 15.26825, 14.79725, 14.758, 14.64025, 15.11125, 15.6215, 15.03275, 14.56175, 15.072, 15.34675, 14.56175, 15.4645, 14.8365, 14.71875, 14.9935, 14.915, 14.5225, 15.11125, 14.9935, 15.1505, 14.40475, 14.915, 14.444, 14.601, 14.64025, 14.5225, 14.56175, 15.42525, 14.9935, 14.95425, 14.87575, 14.6795, 15.58225, 14.95425, 15.42525, 14.87575, 15.42525, 14.95425, 15.1505, 14.758, 15.229, 14.9935, 14.95425, 15.18975, 14.56175, 15.229, 14.6795, 15.072, 14.64025, 15.229, 15.3075, 15.072, 14.6795, 14.40475, 14.64025, 14.95425, 14.8365, 15.50375, 14.87575, 14.48325, 15.543, 14.601, 15.1505, 15.11125, 14.601, 14.9935, 14.48325, 14.64025, 14.64025, 15.18975, 14.13, 15.11125, 15.11125, 15.3075, 15.18975, 14.40475, 15.26825, 15.34675, 14.915, 15.26825, 14.71875, 14.6795, 14.8365, 15.42525, 15.11125",14.95582
"AUS","BROWN GEORGIA","UB","12.99175, 13.30575, 13.502, 13.345, 13.659, 12.44225, 13.85525, 13.1095, 12.59925, 13.4235, 13.46275, 13.816, 12.403, 13.93375, 12.75625, 12.36375, 13.345, 13.4235, 12.4815, 13.77675, 12.246, 12.403, 13.7375, 13.30575, 13.14875, 12.36375, 13.85525, 13.07025, 12.59925, 13.07025, 13.7375, 13.61975, 14.13, 13.2665, 12.99175, 12.83475, 13.4235, 13.46275, 12.0105, 12.75625, 13.5805, 13.93375, 13.5805, 13.7375, 13.4235, 13.77675, 12.12825, 13.188, 12.56, 13.54125, 12.9525, 12.28525, 12.6385, 13.659, 13.5805, 13.659, 13.46275, 13.77675, 13.07025, 13.69825, 13.54125, 12.4815, 13.30575, 13.14875, 12.75625, 13.973, 12.59925, 13.07025, 13.61975, 13.8945, 13.69825, 13.22725, 13.61975, 12.75625, 13.502, 13.77675, 12.20675, 12.36375, 13.61975, 13.22725, 12.3245, 12.52075, 13.14875, 13.22725, 13.69825, 12.0105, 12.04975, 13.659, 13.54125, 13.7375, 13.345, 12.1675, 12.3245, 12.44225, 13.85525, 12.28525, 13.502, 13.46275, 13.659, 13.14875",13.16759
"AUS","BROWN ROMI","UB","13.77675, 13.46275, 12.3245, 13.46275, 13.54125, 13.659, 13.61975, 13.8945, 13.502, 12.44225, 12.6385, 13.5805, 13.14875, 13.7375, 13.345, 13.61975, 13.46275, 12.28525, 13.77675, 12.3245, 14.13, 13.54125, 13.4235, 12.089, 13.659, 12.36375, 13.61975, 13.7375, 13.30575, 13.54125, 13.659, 13.14875, 13.30575, 12.28525, 13.30575, 12.56, 12.44225, 13.54125, 12.36375, 13.5805, 13.30575, 12.99175, 13.14875, 13.188, 14.16925, 13.1095, 13.46275, 13.4235, 13.4235, 13.5805, 13.22725, 13.2665, 12.52075, 13.502, 13.031, 13.38425, 13.816, 12.246, 13.07025, 13.5805, 12.0105, 12.403, 12.44225, 12.403, 13.345, 11.8535, 13.14875, 13.4235, 13.659, 13.502, 13.22725, 12.99175, 12.04975, 12.7955, 13.07025, 13.69825, 13.5805, 12.91325, 12.04975, 13.22725, 13.61975, 13.77675, 12.36375, 12.75625, 13.345, 13.8945, 13.38425, 13.38425, 13.5805, 12.4815, 13.77675, 12.67775, 13.816, 12.3245, 13.14875, 13.38425, 13.1095, 13.61975, 13.7375, 13.345",13.1797575
"AUS","BURROWS ANNABELLE","UB","11.932, 12.0105, 11.42175, 12.0105, 11.6965, 12.20675, 11.89275, 11.932, 12.12825, 12.089, 12.246, 11.65725, 11.57875, 12.59925, 11.81425, 12.1675, 11.73575, 12.246, 11.8535, 11.932, 12.089, 12.4815, 11.932, 12.12825, 11.89275, 11.5395, 11.50025, 11.8535, 11.8535, 12.12825, 11.81425, 12.1675, 12.04975, 11.89275, 12.246, 11.65725, 11.8535, 11.81425, 12.12825, 11.618, 12.0105, 12.0105, 12.04975, 11.97125, 11.147, 12.12825, 12.1675, 11.81425, 11.8535, 11.97125, 11.97125, 11.8535, 11.81425, 11.26475, 11.34325, 11.461, 12.403, 12.0105, 11.932, 12.403, 11.73575, 12.04975, 11.81425, 11.775, 11.97125, 11.89275, 11.50025, 11.6965, 12.0105, 11.89275, 11.65725, 12.12825, 12.28525, 11.5395, 12.12825, 12.20675, 11.50025, 11.932, 11.618, 12.12825, 11.8535, 11.6965, 11.97125, 12.04975, 11.932, 12.246, 11.8535, 12.0105, 11.81425, 11.775, 11.73575, 12.089, 12.44225, 12.089, 11.6965, 11.57875, 11.775, 12.0105, 11.57875, 11.57875",11.906095
"AUS","GODWIN GEORGIA","UB","13.46275, 12.91325, 13.61975, 12.9525, 14.09075, 13.188, 13.38425, 12.83475, 13.61975, 13.14875, 13.5805, 13.502, 13.69825, 13.031, 13.30575, 13.69825, 13.46275, 13.46275, 13.54125, 13.973, 13.30575, 13.4235, 12.9525, 13.54125, 13.69825, 13.345, 13.69825, 13.61975, 13.659, 13.345, 14.0515, 13.1095, 13.502, 13.4235, 13.77675, 13.5805, 13.188, 13.54125, 13.61975, 13.54125, 13.7375, 12.9525, 12.75625, 12.67775, 13.61975, 13.77675, 13.07025, 13.61975, 14.2085, 13.38425, 13.345, 12.56, 13.54125, 12.67775, 13.7375, 13.816, 12.874, 13.54125, 13.77675, 13.22725, 13.188, 13.22725, 13.659, 13.2665, 13.345, 12.99175, 13.4235, 13.69825, 13.46275, 13.5805, 13.659, 13.38425, 13.22725, 13.502, 12.99175, 13.188, 13.502, 13.61975, 13.1095, 13.54125, 13.61975, 13.2665, 13.7375, 13.659, 13.38425, 13.22725, 13.031, 13.5805, 13.85525, 13.1095, 13.4235, 13.8945, 13.07025, 13.502, 12.99175, 13.5805, 13.8945, 12.9525, 13.46275, 12.56",13.4066225
"AUS","MCDONALD KATE","UB","14.24775, 13.816, 14.01225, 11.34325, 10.95075, 11.2255, 10.95075, 10.99, 13.7375, 14.444, 13.973, 11.2255, 10.71525, 10.95075, 14.287, 11.02925, 11.147, 11.0685, 13.85525, 11.0685, 11.10775, 14.13, 14.24775, 14.2085, 13.93375, 13.502, 13.8945, 10.99, 10.87225, 11.10775, 14.48325, 14.0515, 10.9115, 11.2255, 13.8945, 14.32625, 13.973, 14.2085, 11.304, 11.0685, 10.87225, 11.18625, 13.69825, 14.09075, 13.77675, 10.7545, 11.2255, 13.93375, 13.973, 13.5805, 11.461, 13.54125, 13.93375, 11.10775, 13.22725, 13.502, 11.18625, 10.79375, 13.8945, 13.973, 14.09075, 13.69825, 11.10775, 11.50025, 14.0515, 14.09075, 11.147, 11.02925, 14.09075, 14.09075, 14.01225, 13.46275, 13.54125, 14.16925, 11.461, 13.93375, 10.9115, 11.10775, 13.77675, 10.519, 13.659, 13.5805, 13.659, 13.8945, 14.01225, 14.09075, 14.0515, 14.13, 13.38425, 10.833, 13.502, 14.01225, 11.0685, 14.0515, 14.32625, 13.973, 11.18625, 14.71875, 11.147, 11.2255",12.764885
"AUS","NA KATE","UB","12.4815, 13.345, 14.09075, 14.24775, 13.816, 13.2665, 13.816, 13.973, 12.7955, 13.30575, 13.54125, 12.36375, 14.32625, 13.8945, 14.0515, 12.9525, 12.089, 12.9525, 13.61975, 14.287, 12.089, 12.83475, 14.0515, 13.031, 13.61975, 13.46275, 12.44225, 13.85525, 13.5805, 14.0515, 12.44225, 13.973, 12.83475, 13.93375, 14.48325, 12.67775, 12.717, 14.09075, 12.6385, 13.93375, 11.89275, 13.816, 13.8945, 12.9525, 13.14875, 13.85525, 13.5805, 14.13, 12.7955, 13.46275, 12.6385, 14.16925, 13.54125, 13.54125, 13.46275, 12.246, 11.932, 14.16925, 12.403, 14.16925, 12.246, 14.48325, 14.16925, 13.4235, 12.67775, 12.1675, 12.4815, 13.973, 13.38425, 13.61975, 12.874, 12.91325, 14.2085, 12.4815, 12.52075, 12.59925, 13.816, 14.3655, 12.56, 13.77675, 12.6385, 13.502, 12.83475, 12.6385, 12.44225, 12.99175, 14.287, 12.1675, 13.69825, 13.2665, 12.403, 13.93375, 13.30575, 13.22725, 12.83475, 13.85525, 13.7375, 13.502, 12.75625, 13.345",13.298685
"AUS","PASS RUBY","UB","13.54125, 13.14875, 14.287, 12.1675, 12.12825, 11.73575, 13.93375, 13.659, 13.5805, 13.14875, 13.7375, 13.14875, 11.89275, 11.89275, 11.775, 13.22725, 11.81425, 12.20675, 12.99175, 12.1675, 11.81425, 13.345, 13.22725, 11.932, 13.93375, 13.973, 13.2665, 13.4235, 13.659, 13.61975, 13.61975, 13.61975, 13.77675, 13.5805, 13.77675, 13.85525, 13.4235, 13.61975, 13.4235, 11.73575, 11.461, 13.659, 14.16925, 13.973, 13.54125, 12.44225, 14.09075, 13.8945, 13.8945, 13.30575, 13.659, 13.46275, 12.1675, 13.031, 13.816, 11.97125, 11.932, 13.85525, 13.07025, 13.54125, 13.85525, 13.1095, 13.54125, 13.46275, 11.932, 13.93375, 11.89275, 13.7375, 11.81425, 13.61975, 13.46275, 13.502, 13.77675, 13.61975, 13.22725, 13.502, 11.73575, 14.01225, 13.973, 11.65725, 13.502, 13.61975, 13.69825, 12.04975, 13.2665, 13.5805, 13.38425, 13.69825, 13.7375, 14.13, 13.031, 13.502, 13.5805, 13.659, 12.12825, 13.7375, 13.502, 12.0105, 13.69825, 11.5395",13.1617025
"AUS","ROSS EMMA","UB","9.06675, 8.949, 10.1265, 9.1845, 9.4985, 9.1845, 9.8125, 9.4985, 9.38075, 9.1845, 8.8705, 8.8705, 9.263, 9.106, 9.22375, 9.106, 9.263, 9.4985, 9.106, 8.98825, 8.83125, 9.3415, 9.106, 9.0275, 9.263, 9.45925, 9.577, 8.98825, 9.0275, 9.1845, 9.4985, 9.3415, 9.53775, 9.1845, 8.8705, 9.106, 9.42, 8.83125, 8.949, 8.75275, 9.38075, 9.263, 9.06675, 9.106, 9.1845, 8.98825, 9.06675, 9.06675, 9.0275, 9.30225, 9.263, 8.67425, 9.4985, 9.42, 9.577, 8.98825, 9.38075, 9.106, 9.45925, 9.3415, 9.3415, 8.59575, 9.106, 8.7135, 9.45925, 9.69475, 9.30225, 9.106, 9.106, 9.45925, 9.45925, 9.14525, 9.263, 9.1845, 9.42, 9.4985, 8.67425, 9.45925, 9.3415, 9.45925, 9.0275, 9.22375, 9.106, 9.106, 9.734, 8.949, 9.0275, 9.263, 9.106, 9.14525, 9.106, 8.90975, 9.106, 9.45925, 9.6555, 9.0275, 8.949, 9.14525, 9.3415, 9.263",9.2107975
"AUS","WHITEHEAD EMILY","UB","12.91325, 10.205, 11.26475, 12.089, 10.9115, 12.36375, 12.99175, 11.65725, 12.20675, 11.2255, 10.79375, 12.089, 12.83475, 10.99, 10.9115, 12.12825, 12.59925, 12.91325, 12.9525, 11.0685, 12.75625, 12.52075, 12.75625, 12.1675, 13.07025, 10.7545, 12.717, 10.9115, 10.71525, 12.1675, 12.20675, 12.99175, 11.2255, 12.246, 11.8535, 10.40125, 10.99, 12.83475, 12.91325, 12.52075, 12.717, 11.2255, 11.89275, 12.0105, 10.71525, 12.52075, 10.95075, 10.63675, 13.07025, 10.71525, 12.59925, 11.65725, 10.2835, 12.7955, 10.9115, 11.147, 12.83475, 12.04975, 11.97125, 10.7545, 10.833, 12.12825, 12.83475, 12.56, 12.04975, 12.91325, 12.246, 12.75625, 10.99, 11.775, 12.717, 13.031, 12.28525, 11.3825, 12.6385, 12.52075, 12.04975, 11.10775, 11.932, 12.20675, 11.89275, 12.4815, 12.75625, 11.81425, 13.14875, 12.1675, 11.89275, 12.52075, 11.89275, 11.6965, 12.6385, 10.676, 12.874, 11.932, 10.71525, 12.246, 10.71525, 12.403, 10.87225, 10.79375",11.9237575
