"Country","FullName","Apparatus","SimulationResults","mean"
"ALG","NEMOUR KAYLIA","VT","12.91325, 12.91325, 13.031, 12.28525, 13.30575, 12.99175, 12.6385, 12.91325, 13.188, 12.717, 12.56, 12.75625, 12.52075, 12.75625, 13.07025, 12.52075, 13.14875, 12.6385, 12.75625, 12.9525, 12.99175, 13.22725, 12.56, 12.717, 13.031, 13.07025, 13.1095, 13.188, 12.67775, 13.4235, 12.99175, 12.91325, 13.22725, 13.345, 12.52075, 13.46275, 12.91325, 12.3245, 13.031, 12.67775, 12.67775, 13.1095, 12.91325, 12.717, 12.52075, 12.4815, 12.52075, 12.75625, 12.59925, 12.9525, 12.874, 12.874, 12.83475, 13.188, 13.22725, 12.99175, 12.874, 12.9525, 12.52075, 12.9525, 12.67775, 13.1095, 12.91325, 13.031, 12.4815, 13.2665, 12.717, 12.717, 12.874, 12.7955, 12.874, 12.56, 13.07025, 13.07025, 12.4815, 12.403, 13.4235, 12.67775, 12.6385, 12.717, 12.717, 12.99175, 13.22725, 13.38425, 12.7955, 12.83475, 12.403, 13.188, 12.874, 13.14875, 12.67775, 12.874, 12.91325, 12.91325, 13.1095, 13.2665, 12.99175, 12.246, 12.717, 12.6385",12.86929
"AUS","BROWN GEORGIA","VT","12.91325, 13.22725, 12.7955, 12.83475, 12.874, 12.4815, 12.7955, 12.91325, 12.99175, 13.14875, 13.38425, 12.99175, 12.874, 13.345, 12.99175, 12.9525, 13.2665, 13.07025, 13.30575, 13.031, 13.14875, 13.07025, 12.874, 13.2665, 12.7955, 13.4235, 12.91325, 13.1095, 12.99175, 12.99175, 12.83475, 12.75625, 13.07025, 12.9525, 12.75625, 13.07025, 13.1095, 12.56, 12.91325, 13.1095, 12.28525, 12.83475, 13.188, 13.2665, 13.30575, 12.75625, 13.4235, 13.22725, 12.9525, 13.30575, 13.30575, 13.07025, 12.6385, 12.99175, 12.83475, 12.59925, 12.9525, 12.36375, 13.30575, 12.9525, 12.75625, 13.07025, 12.874, 12.9525, 12.67775, 12.83475, 12.99175, 12.59925, 12.99175, 12.99175, 12.7955, 12.83475, 12.9525, 12.99175, 13.14875, 13.031, 13.07025, 13.14875, 12.91325, 13.031, 12.91325, 13.1095, 12.874, 13.14875, 13.07025, 12.83475, 12.6385, 13.14875, 13.30575, 12.83475, 13.22725, 12.83475, 12.4815, 13.2665, 12.52075, 13.22725, 12.67775, 12.874, 12.67775, 13.1095",12.968985
"AUS","BROWN ROMI","VT","12.9525, 13.1095, 13.031, 13.38425, 12.9525, 13.2665, 12.6385, 13.22725, 12.9525, 12.83475, 13.07025, 12.91325, 12.9525, 12.6385, 13.188, 12.7955, 12.7955, 13.031, 13.14875, 12.91325, 13.22725, 13.2665, 13.188, 13.1095, 13.54125, 13.38425, 13.46275, 13.188, 13.38425, 13.345, 13.07025, 12.874, 12.874, 13.188, 12.7955, 13.1095, 12.9525, 12.91325, 12.83475, 13.7375, 13.22725, 13.07025, 13.1095, 13.031, 13.031, 13.22725, 12.99175, 13.659, 13.61975, 13.2665, 13.188, 13.7375, 13.7375, 12.874, 13.14875, 13.30575, 13.69825, 13.4235, 12.403, 12.75625, 13.659, 13.30575, 13.031, 13.07025, 13.38425, 13.2665, 13.1095, 13.502, 13.1095, 12.9525, 13.4235, 13.1095, 13.1095, 13.1095, 12.83475, 13.2665, 13.07025, 13.2665, 12.83475, 13.188, 13.188, 12.9525, 13.031, 13.5805, 13.188, 12.9525, 13.38425, 13.4235, 12.99175, 12.91325, 12.99175, 13.1095, 13.5805, 12.7955, 13.14875, 13.46275, 13.031, 12.75625, 12.874, 13.2665",13.1397225
"AUS","BURROWS ANNABELLE","VT","13.46275, 12.99175, 12.246, 11.97125, 12.36375, 12.20675, 12.12825, 12.20675, 13.7375, 13.5805, 13.816, 12.874, 12.403, 11.775, 13.38425, 13.5805, 13.031, 13.30575, 13.1095, 13.7375, 12.12825, 13.38425, 12.717, 13.1095, 12.20675, 12.44225, 12.717, 12.6385, 11.89275, 11.8535, 12.0105, 14.32625, 13.77675, 13.69825, 13.816, 13.38425, 13.93375, 13.4235, 13.188, 13.973, 11.8535, 13.973, 13.8945, 12.1675, 13.14875, 11.73575, 13.4235, 11.8535, 13.61975, 11.932, 13.77675, 13.973, 12.403, 12.1675, 12.91325, 13.345, 11.6965, 13.4235, 11.618, 13.07025, 13.46275, 13.38425, 12.246, 12.12825, 12.0105, 11.97125, 11.8535, 13.07025, 13.4235, 11.6965, 12.12825, 11.73575, 12.04975, 11.89275, 13.46275, 12.246, 11.775, 11.8535, 13.1095, 12.12825, 11.932, 12.6385, 12.99175, 13.38425, 13.14875, 12.83475, 13.54125, 12.874, 13.54125, 13.85525, 12.56, 13.1095, 11.97125, 12.089, 11.775, 13.188, 12.12825, 13.30575, 12.20675, 12.75625",12.7798
"AUS","GODWIN GEORGIA","VT","12.1675, 12.874, 12.6385, 13.659, 13.69825, 12.4815, 12.717, 13.7375, 13.54125, 13.031, 12.91325, 13.659, 12.6385, 13.54125, 13.7375, 13.30575, 13.93375, 13.85525, 13.816, 13.77675, 13.8945, 14.2085, 13.2665, 13.46275, 12.91325, 12.44225, 12.874, 13.38425, 12.36375, 13.5805, 12.67775, 12.67775, 14.01225, 12.59925, 14.3655, 12.99175, 13.5805, 13.7375, 13.8945, 13.659, 14.0515, 13.5805, 12.44225, 13.502, 13.22725, 12.99175, 12.91325, 13.69825, 13.502, 12.36375, 13.4235, 14.2085, 12.3245, 12.874, 12.403, 13.8945, 12.59925, 14.32625, 13.345, 13.77675, 13.973, 13.1095, 13.502, 12.67775, 12.75625, 12.67775, 13.69825, 14.01225, 13.816, 14.0515, 12.83475, 12.20675, 13.816, 14.13, 14.01225, 14.64025, 13.22725, 14.01225, 13.77675, 13.46275, 12.3245, 14.13, 14.0515, 13.54125, 12.3245, 13.85525, 13.816, 13.7375, 13.502, 12.403, 13.1095, 13.85525, 14.287, 13.30575, 13.85525, 13.38425, 12.7955, 13.5805, 13.77675, 13.77675",13.375615
"AUS","PASS RUBY","VT","11.97125, 11.97125, 11.81425, 11.461, 11.42175, 11.932, 12.12825, 11.8535, 11.89275, 11.89275, 11.97125, 11.6965, 11.89275, 12.04975, 12.28525, 11.81425, 11.65725, 12.3245, 11.932, 11.618, 11.775, 11.57875, 11.89275, 11.5395, 12.0105, 11.81425, 11.73575, 11.89275, 11.8535, 11.73575, 11.57875, 11.81425, 11.304, 11.618, 11.932, 12.1675, 11.5395, 11.73575, 12.1675, 12.04975, 11.50025, 12.20675, 11.618, 11.81425, 12.36375, 12.3245, 12.246, 12.20675, 12.1675, 11.97125, 12.0105, 12.403, 11.461, 11.932, 11.89275, 11.73575, 11.81425, 12.3245, 11.73575, 12.3245, 11.81425, 11.618, 12.04975, 12.0105, 12.04975, 12.28525, 11.97125, 12.1675, 11.18625, 11.6965, 11.73575, 12.089, 11.775, 12.1675, 11.6965, 11.73575, 11.932, 11.97125, 11.97125, 12.04975, 11.461, 12.1675, 11.81425, 11.81425, 12.20675, 12.04975, 11.73575, 11.461, 11.5395, 11.89275, 11.65725, 11.775, 12.3245, 12.089, 12.3245, 12.04975, 11.73575, 11.6965, 11.81425, 11.42175",11.8837225
"AUS","SCOTT BREANNA","VT","13.031, 13.22725, 13.031, 13.2665, 13.345, 13.345, 13.502, 13.345, 12.83475, 13.07025, 13.07025, 12.717, 13.188, 13.502, 13.38425, 13.188, 13.46275, 13.14875, 13.031, 12.9525, 13.46275, 13.14875, 13.30575, 13.4235, 13.1095, 13.85525, 13.07025, 13.69825, 13.188, 12.83475, 13.816, 13.4235, 12.83475, 12.83475, 13.5805, 12.9525, 13.22725, 13.61975, 12.56, 13.2665, 13.345, 13.38425, 13.2665, 13.07025, 13.188, 12.7955, 12.9525, 13.188, 13.1095, 12.717, 13.2665, 13.031, 13.4235, 12.6385, 12.75625, 12.717, 13.7375, 13.1095, 12.91325, 13.54125, 13.345, 13.07025, 13.1095, 12.91325, 13.188, 13.188, 13.031, 13.188, 13.5805, 13.77675, 13.2665, 12.874, 13.61975, 13.188, 12.7955, 13.031, 12.59925, 13.61975, 13.2665, 13.14875, 13.188, 12.83475, 13.5805, 13.54125, 13.659, 13.1095, 13.14875, 13.07025, 13.46275, 13.30575, 13.188, 12.717, 12.91325, 13.1095, 13.031, 13.1095, 13.38425, 12.75625, 13.77675, 13.188",13.188785
"AUS","WHITEHEAD EMILY","VT","12.56, 12.04975, 12.67775, 12.6385, 12.246, 12.75625, 12.6385, 12.20675, 12.7955, 12.28525, 11.775, 12.44225, 12.44225, 11.8535, 11.932, 12.36375, 12.59925, 12.67775, 11.3825, 12.28525, 12.91325, 11.932, 12.56, 12.20675, 12.12825, 12.717, 12.20675, 12.246, 12.83475, 12.717, 13.07025, 12.83475, 13.031, 11.932, 12.089, 11.50025, 12.75625, 12.12825, 12.3245, 12.44225, 13.188, 12.36375, 11.50025, 12.6385, 12.089, 12.246, 13.14875, 12.7955, 12.1675, 12.20675, 12.0105, 12.3245, 12.1675, 12.0105, 11.89275, 12.12825, 12.56, 11.461, 12.1675, 11.50025, 12.403, 11.81425, 11.65725, 12.874, 12.28525, 11.89275, 12.59925, 12.04975, 12.0105, 12.3245, 12.28525, 11.932, 12.089, 12.3245, 12.246, 11.932, 12.717, 12.246, 12.67775, 12.6385, 12.59925, 12.717, 12.3245, 12.20675, 12.04975, 12.28525, 12.12825, 12.246, 11.775, 11.6965, 12.44225, 12.28525, 12.3245, 12.403, 12.089, 12.20675, 12.20675, 12.0105, 12.246, 12.12825",12.2911375
"BRA","ANDRADE REBECA","VT","15.11125, 14.758, 14.758, 15.11125, 14.64025, 15.11125, 14.5225, 15.1505, 14.444, 15.229, 14.79725, 14.09075, 14.9935, 14.8365, 13.85525, 11.3825, 14.32625, 14.8365, 15.543, 14.8365, 15.386, 15.072, 14.64025, 14.56175, 11.147, 14.9935, 14.0515, 14.95425, 14.9935, 15.03275, 15.18975, 14.79725, 14.64025, 14.6795, 14.87575, 14.64025, 14.64025, 15.072, 15.03275, 11.50025, 14.87575, 14.64025, 14.48325, 13.61975, 15.03275, 14.40475, 14.64025, 11.2255, 15.11125, 15.1505, 14.9935, 15.26825, 15.11125, 14.48325, 15.03275, 11.3825, 15.42525, 14.758, 15.03275, 15.072, 14.64025, 14.8365, 11.65725, 15.1505, 14.95425, 14.915, 11.50025, 15.03275, 14.40475, 14.601, 13.77675, 14.915, 14.79725, 14.71875, 14.40475, 15.42525, 14.3655, 14.95425, 14.95425, 14.87575, 15.1505, 15.3075, 14.79725, 15.26825, 15.03275, 15.34675, 14.56175, 14.79725, 15.11125, 15.229, 14.95425, 14.87575, 14.79725, 15.11125, 14.3655, 15.26825, 14.71875, 15.26825, 15.072, 15.543",14.614345
"BRA","OLIVEIRA LORRANE","VT","13.2665, 12.44225, 12.99175, 12.83475, 12.7955, 12.56, 12.6385, 12.44225, 13.14875, 12.67775, 12.12825, 13.345, 12.83475, 12.52075, 12.44225, 12.4815, 12.67775, 12.75625, 12.83475, 12.20675, 12.04975, 12.75625, 13.30575, 14.01225, 12.91325, 12.9525, 12.403, 12.717, 12.0105, 12.7955, 12.99175, 12.83475, 13.1095, 12.99175, 12.7955, 13.07025, 12.56, 13.1095, 13.54125, 13.22725, 13.188, 13.07025, 12.83475, 12.874, 13.38425, 13.14875, 13.30575, 12.91325, 12.403, 13.2665, 13.69825, 12.717, 12.83475, 12.75625, 12.56, 13.031, 12.56, 12.36375, 12.20675, 12.4815, 12.91325, 13.07025, 13.031, 12.75625, 12.717, 13.30575, 12.75625, 12.56, 12.4815, 12.9525, 13.07025, 13.22725, 13.14875, 13.4235, 12.52075, 13.14875, 12.4815, 13.031, 13.345, 12.4815, 13.031, 13.54125, 13.14875, 12.52075, 12.99175, 12.83475, 12.75625, 12.52075, 12.246, 12.28525, 13.38425, 13.38425, 12.52075, 12.99175, 13.14875, 12.83475, 12.91325, 12.717, 12.75625, 12.717",12.854375
