"","Gender","Country","Date","Competition","Round","Location","Apparatus","Rank","D_Score","E_Score","Penalty","Score","Year","FullName"
"1","m","NOR",2023-02-26,"2023 Cottbus World Cup","qual","Cottbus, Germany","HB",39,4.6,6.7,NA,11.3,"2023","AAS FREDRIK"
"2","m","NOR",2023-02-26,"2023 Cottbus World Cup","qual","Cottbus, Germany","PH",44,4.4,7.8,NA,12.2,"2023","AAS FREDRIK"
"3","m","NOR",2023-08-05,"2023 FISU World University Games","qual","Chengdu, China","FX",54,4,8.566,NA,12.566,"2023","AAS FREDRIK"
"4","m","NOR",2023-08-05,"2023 FISU World University Games","qual","Chengdu, China","HB",44,4.6,8.166,NA,12.766,"2023","AAS FREDRIK"
"5","m","NOR",2023-08-05,"2023 FISU World University Games","qual","Chengdu, China","PB",54,4.4,8.066,NA,12.466,"2023","AAS FREDRIK"
"6","m","NOR",2023-08-05,"2023 FISU World University Games","qual","Chengdu, China","PH",58,4.4,7.266,NA,11.666,"2023","AAS FREDRIK"
"7","m","NOR",2023-08-05,"2023 FISU World University Games","qual","Chengdu, China","SR",73,3.5,8.366,NA,11.866,"2023","AAS FREDRIK"
"8","m","NOR",2023-08-05,"2023 FISU World University Games","qual","Chengdu, China","VT1",69,4,8.966,NA,12.966,"2023","AAS FREDRIK"
"9","m","ESP",2022-11-06,"2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","FX",13,5.5,8.3,NA,13.8,"2022","ABAD NESTOR"
"10","m","ESP",2022-11-06,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","FX",48,5.5,7.9,NA,13.4,"2022","ABAD NESTOR"
"11","m","ESP",2022-11-06,"2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","HB",10,5.3,8.133,NA,13.433,"2022","ABAD NESTOR"
"12","m","ESP",2022-11-06,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","HB",48,5,8.166,NA,13.166,"2022","ABAD NESTOR"
"13","m","ESP",2022-11-06,"2022 51st FIG Artistic Gymnastics World Championships","TeamFinal","Liverpool, England","HB",NA,5.3,7.833,NA,13.133,"2022","ABAD NESTOR"
"14","m","ESP",2022-11-06,"2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","PB",12,5.8,8.4,NA,14.2,"2022","ABAD NESTOR"
"15","m","ESP",2022-11-06,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","PB",26,5.8,8.5,NA,14.3,"2022","ABAD NESTOR"
"16","m","ESP",2022-11-06,"2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","PH",21,5.1,6.166,NA,11.266,"2022","ABAD NESTOR"
"17","m","ESP",2022-11-06,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","PH",55,5.2,7.566,NA,12.766,"2022","ABAD NESTOR"
"18","m","ESP",2022-11-06,"2022 51st FIG Artistic Gymnastics World Championships","TeamFinal","Liverpool, England","PH",NA,4.4,7.233,NA,11.633,"2022","ABAD NESTOR"
"19","m","ESP",2022-11-06,"2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","SR",12,5.3,7.933,NA,13.233,"2022","ABAD NESTOR"
"20","m","ESP",2022-11-06,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","SR",90,4.9,7.666,NA,12.566,"2022","ABAD NESTOR"
"21","m","ESP",2022-11-06,"2022 51st FIG Artistic Gymnastics World Championships","TeamFinal","Liverpool, England","SR",NA,5.3,8.5,NA,13.8,"2022","ABAD NESTOR"
"22","m","ESP",2022-11-06,"2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","VT",20,4.8,9.033,0.1,13.733,"2022","ABAD NESTOR"
"23","m","ESP",2022-11-06,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","VT1",97,4.8,9,0.3,13.5,"2022","ABAD NESTOR"
"24","m","ESP",2022-08-21,"2022 Senior European Championships","qual","Munich, Germany","FX",86,5.4,7.133,0.1,12.433,"2022","ABAD NESTOR"
"25","m","ESP",2022-08-21,"2022 Senior European Championships","qual","Munich, Germany","HB",10,5.3,8.5,NA,13.8,"2022","ABAD NESTOR"
"26","m","ESP",2022-08-21,"2022 Senior European Championships","TeamFinal","Munich, Germany","HB",10,5.3,8.1,NA,13.4,"2022","ABAD NESTOR"
"27","m","ESP",2022-08-21,"2022 Senior European Championships","qual","Munich, Germany","PB",9,5.8,8.6,NA,14.4,"2022","ABAD NESTOR"
"28","m","ESP",2022-08-21,"2022 Senior European Championships","TeamFinal","Munich, Germany","PB",10,5.8,8.266,NA,14.066,"2022","ABAD NESTOR"
"29","m","ESP",2022-08-21,"2022 Senior European Championships","qual","Munich, Germany","PH",105,5,5.5,NA,10.5,"2022","ABAD NESTOR"
"30","m","ESP",2022-08-21,"2022 Senior European Championships","qual","Munich, Germany","SR",23,5.3,8.366,NA,13.666,"2022","ABAD NESTOR"
"31","m","ESP",2022-08-21,"2022 Senior European Championships","TeamFinal","Munich, Germany","SR",6,5.3,8.333,NA,13.633,"2022","ABAD NESTOR"
"32","m","ESP",2022-08-21,"2022 Senior European Championships","qual","Munich, Germany","VT1",36,5.2,9.2,0.3,14.1,"2022","ABAD NESTOR"
"33","m","ESP",2023-10-08,"2023 52nd FIG Artistic Gymnastics World Championships","qual","Antwerp, Belgium","FX",21,5.5,8.666,NA,14.166,"2023","ABAD NESTOR"
"34","m","ESP",2023-10-08,"2023 52nd FIG Artistic Gymnastics World Championships","qual","Antwerp, Belgium","HB",66,4.8,8.233,NA,13.033,"2023","ABAD NESTOR"
"35","m","ESP",2023-10-08,"2023 52nd FIG Artistic Gymnastics World Championships","qual","Antwerp, Belgium","PB",59,5.8,8.3,0.3,13.8,"2023","ABAD NESTOR"
"36","m","ESP",2023-10-08,"2023 52nd FIG Artistic Gymnastics World Championships","qual","Antwerp, Belgium","PH",58,5,8.1,NA,13.1,"2023","ABAD NESTOR"
"37","m","ESP",2023-10-08,"2023 52nd FIG Artistic Gymnastics World Championships","qual","Antwerp, Belgium","SR",33,5.3,8.3,NA,13.6,"2023","ABAD NESTOR"
"38","m","ESP",2023-10-08,"2023 52nd FIG Artistic Gymnastics World Championships","qual","Antwerp, Belgium","VT1",126,5.2,8,NA,13.2,"2023","ABAD NESTOR"
"39","m","ESP",2023-04-16,"2023 Senior European Championships","AAfinal","Antalya, Turkey","FX",24,5.4,7.233,NA,12.633,"2023","ABAD NESTOR"
