Country,FullName,Gender,Birth_Date,Notes,Active
ESP,ABAD NESTOR,m,3/29/93,,Y
ITA,ABBADINI YUMIN,m,5/6/01,,Y
TUR,ARICAN FERHAT,m,7/28/93,,Y
TUR,ASIL ADEM,m,2/21/99,,Y
USA,ALFONSO JAVIER,m,10/15/02,,Y
GBR,BAINES FRANK,m,7/16/95,Retired,N
GBR,BAPTISTE RAEKWON,m,,,Y
GBR,BARBER EMIL,m,,,Y
ITA,BARTOLINI NICOLA,m,2/7/96,,Y
SUI,BAUMANN CHRISTIAN,m,2/25/95,,Y
GBR,BEVAN BRINN,m,6/16/97,,Y
CAN,BLAQUIERE FELIX,m,/2001,,Y
USA,BLIXT LANDEN,m,12/21/03,,Y
ITA,BONICELLI LORENZO,m,2/21/02,,Y
GER,BRENDEL PASCAL,m,9/15/03,,Y
BRA,BITENCOURT LUCAS,m,3/12/94,,Y
USA,BOCK CAMERON,m,9/18/98,,Y
USA,BRIONES BRANDON,m,4/29/01,,Y
USA,BURKHART TAYLOR,m,9/21/02,,Y
ITA,CASALI LORENZO,m,9/12/02,,Y
GBR,CEMLYN JOE,m,/1999,,Y
UKR,CHEPURNYI NAZAR,m,9/3/02,,Y
JPN,CHIBA KENTA,m,4/4/96,,Y
CAN,CLAY ZACHARY,m,7/5/95,,Y
GBR,MCCLENAGHAN RHYS,m,7/21/99,,Y
TUR,COLAK IBRAHIM,m,1/7/95,,Y
CAN,COURNOYER RENE,m,4/23/97,,Y
BEL,CUYLE GLEN,m,/2002,,Y
USA,CHOU J.R.,m,,,Y
USA,CORMIER MATT,m,6/12/02,,Y
GER,DAUSER LUKAS,m,6/15/93,,Y
NED,DE LORAN,m,,Could be same person: MUNCK LORAN,Y
ITA,DE EDOARDO,m,,Coulld be same person: ROSA EDOARDO,Y
NED,DE MARTIJN,m,11/21/02,,Y
ESP,DIALLO THIERNO,m,11/22/00,,Y
JPN,DOI RYOSUKE,m,1/7/02,,Y
CAN,DOLCI FELIX,m,5/5/02,,Y
GER,DUNKEL NILS,m,2/20/97,,Y
USA,DANG BRANDON,m,5/26/05,,Y
TUR,DEMIR SERCAN,m,/1994,,Y
USA,DIAB ALEX,m,4/25/97,,Y
GBR,EDWARDS JACOB,m,4/16/03,,Y
CAN,EMARD WILLIAM,m,3/17/00,,Y
GBR,FELLOWS KORBEN,m,/2002,,Y
GBR,FRASER JOE,m,12/6/98,,Y
SUI,FREY ANDRIN,m,/2000,,Y
USA,FREEMAN JACK,m,9/25/00,,Y
BEL,GENTGES MAXIME,m,/1995,,Y
NED,GRUENBERG JERMAIN,m,9/2/00,,Y
BRA,GUIMARAES YURI,m,7/25/03,,Y
TUR,GUNDOGDU YUNUS,m,/1997,,Y
USA,GAMBOA RAYDEL,m,,,Y
ITA,GARZA LUCA,m,12/27/98,,Y
ITA,GRASSO THOMAS,m,8/11/00,,Y
USA,GUIMARAES VITALIY,m,5/18/00,,Y
USA,GUNTHER IAN,m,9/10/99,,Y
GBR,HALL JAMES,m,10/6/95,,Y
JPN,HASEGAWA TSUYOSHI,m,3/20/01,,Y
JPN,HASHIMOTO DAIKI,m,8/7/01,,Y
GBR,HEPWORTH HARRY,m,12/9/03,,Y
GER,HOERR CARLO,m,7/11/98,,Y
USA,HONG ASHER,m,3/23/04,,Y
GER,HOSSEINI MILAN,m,7/17/01,,Y
USA,HALE DALLAS,m,10/18/02,,Y
JPN,HIDAKA DAIKI,m,8/7/01,,Y
USA,HOOPES PATRICK,m,5/15/02,,Y
GBR,JARMAN JAKE,m,12/3/01,,Y
ESP,JIMENEZ PAU,m,/2003,,Y
GBR,JOHNSON JAKE,m,/2002,,Y
GBR,JONES THOMAS,m,,,Y
USA,JUDA PAUL,m,7/7/01,,Y
USA,JAROH MICHAEL,m,1/3/02,,Y
KOR,JUNHO LEE,m,10/22/95,,Y
CAN,KAJI CHRIS,m,1/31/00,,Y
JPN,KAMOTO YUYA,m,9/14/94,,Y
GBR,KARNEJENKO PAVEL,m,2/20/00,,Y
USA,KARNES JOSHUA,m,7/6/04,,Y
JPN,KAWAKAMI SHOHEI,m,/2003,,Y
JPN,KAYA KAZUMA,m,11/19/96,,Y
BEL,KEYBUS LUKA,m,4/14/97,,Y
KOR,KIM HANSOL,m,12/25/95,,Y
KOR,KIM JAEHO,m,/2002,,Y
JPN,KITAZONO TAKERU,m,10/21/02,,Y
GER,KOCHAN LUCAS,m,7/12/00,,Y
TUR,KOSAK MEHMET,m,4/1/01,,Y
UKR,KOVTUN ILLIA,m,8/10/03,,Y
BEL,KUAVITA NOAH,m,7/28/99,,Y
GER,KUNZ ALEXANDER,m,2/11/03,,Y
JPN,KAZUMA KOTOGE,m,11/19/96,,Y
JPN,KEISUKE ASATO,m,/1993,,Y
JPN,KIICHI KANETA,m,,,Y
JPN,KOGA HIRAMATSU,m,,,Y
CHN,LAN XINGYU,m,12/18/97,,Y
SUI,LANGENEGGER FLORIAN,m,3/26/03,,Y
KOR,LEE JUNGHYO,m,/1997,,Y
ITA,LEVANTESI MATTEO,m,4/18/97,,Y
GBR,LEWIS JAMIE,m,/2000,,Y
CHN,LIN CHAOPAN,m,8/27/95,,Y
CHN,LIU YANG,m,9/10/94,,Y
ITA,LODADIO MARCO,m,3/24/92,,Y
USA,LOOS RILEY,m,10/6/00,,Y
USA,LOPEZ JOSE,m,7/21/97,,Y
GBR,LYNN CAMERON,m,4/26/03,,Y
USA,LASIC IAN,m,6/7/03,,Y
ITA,MACCHIATI MARIO,m,11/27/99,,Y
ITA,MACCHINI CARLO,m,5/5/96,,Y
JPN,MAEDA KOKI,m,/1999,,Y
USA,MALONE BRODY,m,8/26/96,,Y
ITA,MARESCA SALVATORE,m,9/16/93,,Y
BRA,MARIANO ARTHUR,m,9/18/93,,Y
JPN,MATSUMI KAZUKI,m,8/25/97,,Y
JPN,MINAMI KAZUKI,m,1/24/00,,Y
ESP,MIR NICOLAU,m,5/10/00,,Y
USA,MOLDAUER YUL,m,8/26/96,,Y
GBR,MONTGOMERY EAMON,m,21/1/2002,,Y
GBR,MOSTOWFI SAM,m,,,Y
ITA,MOZZATO NICOLO,m,3/13/00,,Y
NED,MUNCK LORAN,m,5/9/99,,Y
USA,MCCOOL CONNOR,m,9/12/00,,Y
USA,MELTON CALEB,m,8/12/04,,Y
JPN,MINORI HARUKI,m,2/8/99,,Y
JPN,MOTOMU YOSHIDA,m,12/31/02,,Y
GBR,NATHAN JOSHUA,m,9/25/99,,Y
USA,NEDOROSCIK STEPHEN,m,10/28/98,,Y
USA,NELSON KAMERON,m,8/2/01,,Y
GER,NGUYEN MARCEL,m,9/8/87,Retired,N
USA,NUNEZ ZACHARY,m,12/15/01,,Y
TUR,ONDER AHMET,m,7/11/96,,Y
UKR,PAKHNIUK PETRO,m,11/26/91,,Y
USA,PEREZ ANDRES,m,3/11/98,,Y
USA,PHILLIPS CURRAN,m,7/8/00,,Y
ESP,PLATA JOEL,m,3/20/98,,Y
GBR,PRINT OWEN,m,,,Y
USA,PETROSYAN VAHE,m,9/10/05,,Y
UKR,RADIVILOV IGOR,m,10/19/92,,Y
CAN,RAMPERSAD JAYSON,m,7/31/03,,Y
SUI,RAUBAL IAN,m,8/6/01,,Y
GBR,REGINI GIARNNI,m,8/2/98,,Y
USA,RICHARD FREDERICK,m,4/23/04,,Y
GBR,ROBINSON REMELL,m,,,Y
KOR,RYU SUNGHYUN,m,10/22/02,,Y
USA,RICHARD FRED,m,4/23/04,,Y
ITA,ROSA EDOARDO,m,/2000,,Y
JPN,RYOTA TSUMURA,m,10/31/03,,Y
ITA,SARRUGERIO MARCO,m,/1996,,Y
CAN,SAUVE LEANDRE,m,/2003,,Y
NED,SCHMIDT CASIMIR,m,10/31/95,,Y
GER,SCHULTZE TOM,m,5/16/01,,Y
SUI,SEIFERT NOE,m,10/29/98,,Y
SUI,SERHANI SAMIR,m,/1999,,Y
SUI,SERHANI TAHA,m,/1995,,Y
CHN,SHI CONG,m,3/12/01,,Y
GER,SISSAKIS DARIO,m,6/26/98,,Y
GBR,SKINNER HAYDEN,m,/2000,,Y
USA,SKIRKEY IAN,m,2/4/00,,Y
BRA,SOUZA CAIO,m,9/12/93,,Y
GBR,STANLEY JACK,m,,,Y
UKR,STELMAKH RADOMYR,m,8/18/05,,Y
CHN,SU WEIDE,m,3/19/00,,Y
JPN,SUGIMOTO KAITO,m,/2000,,Y
JPN,SUGINO TAKAAKI,m,10/18/98,,Y
USA,SUN BLAKE,m,5/7/99,,Y
CHN,SUN WEI,m,8/12/95,,Y
JPN,SOICHIRO TANABE,m,,,Y
KOR,SUNGHYUN RYU,m,10/22/02,,Y
SUI,TAMSEL DOMINIC,m,4/25/00,,Y
JPN,TANIGAWA KAKERU,m,2/15/99,,Y
JPN,TANIGAWA WATARU,m,7/23/96,,Y
GBR,TOBIN ADAM,m,2/2/01,,Y
GER,TREBING GLENN,m,3/2/00,,Y
GBR,TULLOCH COURTNEY,m,10/6/95,,Y
JPN,TACHIBANA SHIGA,m,/2001,,Y
BEL,VAN LUKA,m,4/14/97,,Y
ITA,VANNUCCHI NICCOLO,m,/2002,,Y
USA,VAN COLIN,m,9/22/95,,Y
UKR,VASHCHENKO ROMAN,m,12/8/00,,Y
USA,WALKER COLT,m,6/25/01,,Y
GBR,WEIR DAVID,m,6/30/98,,Y
GBR,WHITEHOUSE LUKE,m,7/2/02,,Y
GBR,WHITLOCK MAX,m,1/3/93,,Y
USA,WHITTENBURG DONNELL,m,8/18/94,,Y
ESP,WILLIAMS JOSHUA,m,/2000,,Y
