X,Gender,Country,Date,Competition,Round,Location,Apparatus,Rank,D_Score,E_Score,Penalty,Score,Year,FullName
42,m,ESP,2023-04-16,2023 Senior European Championships,final,"Antalya, Turkey",HB,4,5.3,8.366,NA,13.666,2023,ABAD NESTOR
43,m,ESP,2023-04-16,2023 Senior European Championships,qual,"Antalya, Turkey",HB,5,5.3,8.433,NA,13.733,2023,ABAD NESTOR
49,m,ESP,2023-04-16,2023 Senior European Championships,AAfinal,"Antalya, Turkey",SR,4,5.3,8.366,NA,13.666,2023,ABAD NESTOR
73,m,ITA,2022-08-21,2022 Senior European Championships,TeamFinal,"Munich, Germany",PH,5,5.5,8.333,NA,13.833,2022,ABBADINI YUMIN
83,m,ITA,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,AAfinal,"Antwerp, Belgium",PH,4,5.5,8.3,NA,13.8,2023,ABBADINI YUMIN
96,m,ITA,2023-04-16,2023 Senior European Championships,AAfinal,"Antalya, Turkey",HB,4,5.3,8.166,NA,13.466,2023,ABBADINI YUMIN
100,m,ITA,2023-04-16,2023 Senior European Championships,AAfinal,"Antalya, Turkey",PH,1,5.7,8.4,NA,14.1,2023,ABBADINI YUMIN
621,m,TUR,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,final,"Liverpool, England",PB,4,6.6,8.466,NA,15.066,2022,ARICAN FERHAT
622,m,TUR,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",PB,5,6.6,8.6,NA,15.2,2022,ARICAN FERHAT
629,m,TUR,2022-08-21,2022 Senior European Championships,qual,"Munich, Germany",PB,5,6.5,8.2,NA,14.7,2022,ARICAN FERHAT
630,m,TUR,2022-08-21,2022 Senior European Championships,TeamFinal,"Munich, Germany",PB,2,6.5,8.7,NA,15.2,2022,ARICAN FERHAT
631,m,TUR,2022-08-21,2022 Senior European Championships,final,"Munich, Germany",PH,5,5.8,8.466,NA,14.266,2022,ARICAN FERHAT
633,m,TUR,2022-08-21,2022 Senior European Championships,TeamFinal,"Munich, Germany",PH,3,5.9,8.366,NA,14.266,2022,ARICAN FERHAT
640,m,TUR,2023-02-26,2023 Cottbus World Cup,final,"Cottbus, Germany",PB,5,6.5,8,NA,14.5,2023,ARICAN FERHAT
641,m,TUR,2023-02-26,2023 Cottbus World Cup,qual,"Cottbus, Germany",PB,3,6.5,8.2,NA,14.7,2023,ARICAN FERHAT
643,m,TUR,2023-03-04,2023 Doha World Cup,final,"Doha, Qatar",PB,3,6.5,8.233,NA,14.733,2023,ARICAN FERHAT
644,m,TUR,2023-03-04,2023 Doha World Cup,qual,"Doha, Qatar",PB,3,6.5,8.233,NA,14.733,2023,ARICAN FERHAT
647,m,TUR,2023-04-16,2023 Senior European Championships,final,"Antalya, Turkey",PB,2,6.5,8.433,NA,14.933,2023,ARICAN FERHAT
648,m,TUR,2023-04-16,2023 Senior European Championships,qual,"Antalya, Turkey",PB,1,6.5,8.6,NA,15.1,2023,ARICAN FERHAT
652,m,TUR,2023-03-19,EnBW DTB Pokal Team Challenge 2023,final,"Stuttgart, Germany",PB,3,6.5,7.766,NA,14.266,2023,ARICAN FERHAT
654,m,TUR,2023-03-19,EnBW DTB Pokal Team Challenge 2023,final,"Stuttgart, Germany",PH,4,5.8,8.133,NA,13.933,2023,ARICAN FERHAT
725,m,TUR,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,final,"Liverpool, England",SR,1,6.3,8.633,NA,14.933,2022,ASIL ADEM
726,m,TUR,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",SR,2,6.3,8.366,NA,14.666,2022,ASIL ADEM
731,m,TUR,2022-08-21,2022 Senior European Championships,TeamFinal,"Munich, Germany",FX,1,6,9.233,NA,15.233,2022,ASIL ADEM
733,m,TUR,2022-08-21,2022 Senior European Championships,TeamFinal,"Munich, Germany",HB,3,5.4,8.5,NA,13.9,2022,ASIL ADEM
738,m,TUR,2022-08-21,2022 Senior European Championships,final,"Munich, Germany",SR,2,6.3,8.733,NA,15.033,2022,ASIL ADEM
739,m,TUR,2022-08-21,2022 Senior European Championships,qual,"Munich, Germany",SR,2,6.3,8.633,NA,14.933,2022,ASIL ADEM
740,m,TUR,2022-08-21,2022 Senior European Championships,TeamFinal,"Munich, Germany",SR,1,6.3,8.5,NA,14.8,2022,ASIL ADEM
741,m,TUR,2022-08-21,2022 Senior European Championships,qual,"Munich, Germany",VT1,1,6,9.2,NA,15.2,2022,ASIL ADEM
742,m,TUR,2022-08-21,2022 Senior European Championships,TeamFinal,"Munich, Germany",VT1,1,6,9.233,NA,15.233,2022,ASIL ADEM
750,m,TUR,2023-02-26,2023 Cottbus World Cup,final,"Cottbus, Germany",SR,5,6.3,8.166,NA,14.466,2023,ASIL ADEM
751,m,TUR,2023-02-26,2023 Cottbus World Cup,qual,"Cottbus, Germany",SR,3,6.3,8.333,NA,14.633,2023,ASIL ADEM
754,m,TUR,2023-03-04,2023 Doha World Cup,final,"Doha, Qatar",FX,4,5.8,8.2,0.1,13.9,2023,ASIL ADEM
756,m,TUR,2023-03-04,2023 Doha World Cup,final,"Doha, Qatar",HB,4,5.4,8.366,NA,13.766,2023,ASIL ADEM
760,m,TUR,2023-03-04,2023 Doha World Cup,final,"Doha, Qatar",SR,2,6.3,8.733,NA,15.033,2023,ASIL ADEM
761,m,TUR,2023-03-04,2023 Doha World Cup,qual,"Doha, Qatar",SR,2,6.3,8.6,NA,14.9,2023,ASIL ADEM
768,m,TUR,2023-08-05,2023 FISU World University Games,final,"Chengdu, China",SR,3,6.3,8.633,NA,14.93,2023,ASIL ADEM
769,m,TUR,2023-08-05,2023 FISU World University Games,qual,"Chengdu, China",SR,5,6.3,8.533,NA,14.833,2023,ASIL ADEM
771,m,TUR,2023-08-05,2023 FISU World University Games,final,"Chengdu, China",VT2,5,5.6,7.9,NA,13.5,2023,ASIL ADEM
773,m,TUR,2023-04-16,2023 Senior European Championships,AAfinal,"Antalya, Turkey",FX,3,5.8,8.133,NA,13.933,2023,ASIL ADEM
775,m,TUR,2023-04-16,2023 Senior European Championships,AAfinal,"Antalya, Turkey",HB,5,4.7,8.733,NA,13.433,2023,ASIL ADEM
777,m,TUR,2023-04-16,2023 Senior European Championships,AAfinal,"Antalya, Turkey",PB,3,5.6,8.7,NA,14.3,2023,ASIL ADEM
781,m,TUR,2023-04-16,2023 Senior European Championships,final,"Antalya, Turkey",SR,1,6.3,8.633,NA,14.933,2023,ASIL ADEM
782,m,TUR,2023-04-16,2023 Senior European Championships,qual,"Antalya, Turkey",SR,1,6.3,8.733,NA,15.033,2023,ASIL ADEM
783,m,TUR,2023-04-16,2023 Senior European Championships,AAfinal,"Antalya, Turkey",SR,1,6.3,8.733,NA,15.033,2023,ASIL ADEM
784,m,TUR,2023-04-16,2023 Senior European Championships,AAfinal,"Antalya, Turkey",VT1,3,6,9.1,NA,15.1,2023,ASIL ADEM
785,m,TUR,2023-04-16,2023 Senior European Championships,qual,"Antalya, Turkey",VT1,3,6,9.066,0.1,14.966,2023,ASIL ADEM
786,m,TUR,2023-04-16,2023 Senior European Championships,final,"Antalya, Turkey",VT2,5,5.6,8.033,0.1,13.533,2023,ASIL ADEM
792,m,TUR,2023-03-19,EnBW DTB Pokal Team Challenge 2023,final,"Stuttgart, Germany",SR,1,6.3,8.3,NA,14.6,2023,ASIL ADEM
793,m,TUR,2023-03-19,EnBW DTB Pokal Team Challenge 2023,qual,"Stuttgart, Germany",SR,4,6.3,8.1,NA,14.4,2023,ASIL ADEM
794,m,TUR,2023-03-19,EnBW DTB Pokal Team Challenge 2023,final,"Stuttgart, Germany",VT1,3,5.6,8.1,0.1,13.6,2023,ASIL ADEM
795,m,TUR,2023-03-19,EnBW DTB Pokal Team Challenge 2023,qual,"Stuttgart, Germany",VT1,3,5.6,9.65,NA,15.25,2023,ASIL ADEM
796,m,TUR,2023-03-19,EnBW DTB Pokal Team Challenge 2023,final,"Stuttgart, Germany",VT2,3,4.8,9.333,NA,14.133,2023,ASIL ADEM
797,m,TUR,2023-03-19,EnBW DTB Pokal Team Challenge 2023,qual,"Stuttgart, Germany",VT2,3,4.8,9.3,NA,14.1,2023,ASIL ADEM
