X,Gender,Country,Date,Competition,Round,Location,Apparatus,Rank,D_Score,E_Score,Penalty,Score,Year,FullName
204,w,GBR,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",BB,15,5.7,7.266,NA,12.966,2022,ACHAMPONG ONDINE
205,w,GBR,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,TeamFinal,"Liverpool, England",BB,NA,5.7,8,NA,13.7,2022,ACHAMPONG ONDINE
206,w,GBR,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",FX,16,5.3,8.033,NA,13.333,2022,ACHAMPONG ONDINE
207,w,GBR,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",UB,51,5.8,7.033,NA,12.833,2022,ACHAMPONG ONDINE
208,w,GBR,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,TeamFinal,"Liverpool, England",VT,NA,5,9.366,NA,14.366,2022,ACHAMPONG ONDINE
209,w,GBR,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",VT1,3,5,9.466,NA,14.466,2022,ACHAMPONG ONDINE
210,w,GBR,2022-03-27,2022 British Gymnastics Championships,final,"Liverpool, England",BB,4,5.1,7.7,0,12.8,2022,ACHAMPONG ONDINE
211,w,GBR,2022-03-27,2022 British Gymnastics Championships,qual,"Liverpool, England",BB,1,5.9,7.75,0,13.65,2022,ACHAMPONG ONDINE
212,w,GBR,2022-03-27,2022 British Gymnastics Championships,qual,"Liverpool, England",FX,12,5.2,7.6,0.3,12.5,2022,ACHAMPONG ONDINE
213,w,GBR,2022-03-27,2022 British Gymnastics Championships,final,"Liverpool, England",UB,5,5.6,7.3,0,12.9,2022,ACHAMPONG ONDINE
214,w,GBR,2022-03-27,2022 British Gymnastics Championships,qual,"Liverpool, England",UB,7,5.6,7.5,0,13.1,2022,ACHAMPONG ONDINE
215,w,GBR,2022-03-27,2022 British Gymnastics Championships,qual,"Liverpool, England",VT1,1,5,9.25,0,14.25,2022,ACHAMPONG ONDINE
216,w,GBR,2022-08-14,2022 Senior European Championships,final,"Munich, Germany",BB,2,5.5,7.9,NA,13.4,2022,ACHAMPONG ONDINE
217,w,GBR,2022-08-14,2022 Senior European Championships,qual,"Munich, Germany",BB,7,5.5,7.766,NA,13.266,2022,ACHAMPONG ONDINE
218,w,GBR,2022-08-14,2022 Senior European Championships,TeamFinal,"Munich, Germany",BB,4,5.7,8,NA,13.7,2022,ACHAMPONG ONDINE
219,w,GBR,2022-08-14,2022 Senior European Championships,qual,"Munich, Germany",FX,25,5.3,7.566,0.2,12.666,2022,ACHAMPONG ONDINE
220,w,GBR,2022-08-14,2022 Senior European Championships,qual,"Munich, Germany",UB,43,5.8,6.433,NA,12.233,2022,ACHAMPONG ONDINE
221,w,GBR,2022-08-14,2022 Senior European Championships,TeamFinal,"Munich, Germany",UB,24,5.6,6.833,NA,12.433,2022,ACHAMPONG ONDINE
222,w,GBR,2022-08-14,2022 Senior European Championships,qual,"Munich, Germany",VT1,4,5,8.933,NA,13.933,2022,ACHAMPONG ONDINE
223,w,GBR,2022-08-14,2022 Senior European Championships,TeamFinal,"Munich, Germany",VT1,7,5,8.9,NA,13.9,2022,ACHAMPONG ONDINE
224,w,GBR,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,AAfinal,"Antwerp, Belgium",BB,5,5.9,7.7,NA,13.6,2023,ACHAMPONG ONDINE
225,w,GBR,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",BB,16,5.6,7.833,NA,13.433,2023,ACHAMPONG ONDINE
226,w,GBR,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,TeamFinal,"Antwerp, Belgium",BB,NA,6.2,7.733,NA,13.933,2023,ACHAMPONG ONDINE
227,w,GBR,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,AAfinal,"Antwerp, Belgium",FX,17,5.3,7.4,NA,12.7,2023,ACHAMPONG ONDINE
228,w,GBR,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",FX,33,5.3,7.566,NA,12.866,2023,ACHAMPONG ONDINE
229,w,GBR,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,AAfinal,"Antwerp, Belgium",UB,20,4.9,7.633,NA,12.533,2023,ACHAMPONG ONDINE
230,w,GBR,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",UB,56,4.9,7.833,NA,12.733,2023,ACHAMPONG ONDINE
231,w,GBR,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,AAfinal,"Antwerp, Belgium",VT,4,5,9.133,NA,14.133,2023,ACHAMPONG ONDINE
232,w,GBR,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,TeamFinal,"Antwerp, Belgium",VT,NA,5,9.166,NA,14.166,2023,ACHAMPONG ONDINE
233,w,GBR,2023-10-08,2023 52nd FIG Artistic Gymnastics World Championships,qual,"Antwerp, Belgium",VT1,9,5,9.3,NA,14.3,2023,ACHAMPONG ONDINE
234,w,GBR,2023-03-26,2023 British Gymnastics Championships,final,"Liverpool, England",BB,1,5.7,8.1,0,13.8,2023,ACHAMPONG ONDINE
