,HB,FX,PB,PH,SR,VT,AA
Malone,5 (27.03),45 (51.34),28 (22.08),33 (33.21),39 (25.19),33 (23.36),7 (8.86)
Young,79 (29.80),39 (31.34),48 (36.18),17 (13.94),>100,19 (24.42),21 (16.72)
Phillips,49 (39.11),>100,13 (38.93),>100,>100,29 (31.69),>100
Hong,>100,37 (40.48),22 (16.48),70 (33.19),23 (21.06),34 (37.53),25 (17.60)
Whittenburg,79 (31.15),50 (49.81),72.5 (22.12),96 (26.54),11 (12.05),40.5 (42.91),33 (19.97)
Juda,23 (20.67),16 (22.03),74 (29.96),60 (29.95),50 (20.54),33 (27.79),14 (8.96)
Moldauer,>100,25 (39.68),25 (31.50),52.5 (33.03),33 (16.59),49 (35.09),23 (16.45)
Nedoroscik,>100,>100,>100,8 (25.32),>100,>100,>100
Walker,87 (35.85),59 (53.37),13 (33.92),60 (35.23),36 (24.73),41 (38.95),25 (21.51)
Sun,>100,>100,14 (59.21),>100,>100,>100,>100
Richard,17 (47.28),34 (41.25),38.5 (39.77),59 (42.95),60 (35.05),74 (34.85),24 (19.32)
Skirkey,>100,>100,>100,20 (50.58),>100,>100,>100
Hale,>100,>100,40 (48.38),70 (37.15),86 (25.64),15 (17.30),52 (22.69)
