"","Simulation","Member11","Member12","Member13","Member14","Member15","Member16","Member17","Member18","Member19","Member110","Member111","Member112","Member113","Member114","Member115","Member116","Member117","Member118","Member119","Member120","Member121","Member21","Member22","Member23","Member24","Member25","Member26","Member27","Member28","Member29","Member210","Member211","Member212","Member213","Member214","Member215","Member216","Member217","Member218","Member219","Member220","Member221","Member31","Member32","Member33","Member34","Member35","Member36","Member37","Member38","Member39","Member310","Member311","Member312","Member313","Member314","Member315","Member316","Member317","Member318","Member319","Member320","Member321","Member41","Member42","Member43","Member44","Member45","Member46","Member47","Member48","Member49","Member410","Member411","Member412","Member413","Member414","Member415","Member416","Member417","Member418","Member419","Member420","Member421","Member51","Member52","Member53","Member54","Member55","Member56","Member57","Member58","Member59","Member510","Member511","Member512","Member513","Member514","Member515","Member516","Member517","Member518","Member519","Member520","Member521","Score1","Score2","Score3","Score4","Score5","Score6","Score7","Score8","Score9","Score10","Score11","Score12","Score13","Score14","Score15","Score16","Score17","Score18","Score19","Score20","Score21"
"data","sim751","HONG ASHER","HONG ASHER","HONG ASHER","JUDA PAUL","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","JUDA PAUL","HONG ASHER","HONG ASHER","JUDA PAUL","HONG ASHER","HONG ASHER","HONG ASHER","MALONE BRODY","JUDA PAUL","HONG ASHER","HONG ASHER","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","MALONE BRODY","JUDA PAUL","MALONE BRODY","JUDA PAUL","JUDA PAUL","MALONE BRODY","MALONE BRODY","JUDA PAUL","MALONE BRODY","MALONE BRODY","JUDA PAUL","JUDA PAUL","MALONE BRODY","YOUNG KHOI","MALONE BRODY","YOUNG KHOI","JUDA PAUL","YOUNG KHOI","MALONE BRODY","MALONE BRODY","MALONE BRODY","YOUNG KHOI","MALONE BRODY","YOUNG KHOI","MALONE BRODY","YOUNG KHOI","YOUNG KHOI","YOUNG KHOI","MALONE BRODY","YOUNG KHOI","YOUNG KHOI","YOUNG KHOI","YOUNG KHOI","WALKER COLT","WALKER COLT","WALKER COLT","WALKER COLT","WALKER COLT","WALKER COLT","YOUNG KHOI","YOUNG KHOI","YOUNG KHOI","WALKER COLT","WALKER COLT","WALKER COLT","WALKER COLT","WALKER COLT","NEDOROSCIK STEPHEN","WALKER COLT","NEDOROSCIK STEPHEN","WALKER COLT","NEDOROSCIK STEPHEN","WALKER COLT","NEDOROSCIK STEPHEN","NEDOROSCIK STEPHEN","NEDOROSCIK STEPHEN","NEDOROSCIK STEPHEN","NEDOROSCIK STEPHEN","NEDOROSCIK STEPHEN","NEDOROSCIK STEPHEN","WHITTENBURG DONNELL","WALKER COLT","NEDOROSCIK STEPHEN","WHITTENBURG DONNELL","WHITTENBURG DONNELL","WHITTENBURG DONNELL","NEDOROSCIK STEPHEN","WHITTENBURG DONNELL","WHITTENBURG DONNELL","NEDOROSCIK STEPHEN","WHITTENBURG DONNELL","NEDOROSCIK STEPHEN","WHITTENBURG DONNELL","NEDOROSCIK STEPHEN","WHITTENBURG DONNELL","WHITTENBURG DONNELL","WHITTENBURG DONNELL","WHITTENBURG DONNELL","WHITTENBURG DONNELL","WHITTENBURG DONNELL","WHITTENBURG DONNELL","259.79575","259.678","258.8145","258.1865","258.0295","257.8725","257.67625","257.59775","257.323","257.12675","256.89125","256.81275","256.73425","256.538","256.1455","255.87075","255.32125","255.282","255.0465","254.69325","254.45775"
"data.1","sim752","JUDA PAUL","MALONE BRODY","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","MALONE BRODY","JUDA PAUL","JUDA PAUL","JUDA PAUL","MALONE BRODY","MALONE BRODY","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","MALONE BRODY","JUDA PAUL","MALONE BRODY","MALONE BRODY","MALONE BRODY","JUDA PAUL","MALONE BRODY","MALONE BRODY","MALONE BRODY","JUDA PAUL","MALONE BRODY","MALONE BRODY","JUDA PAUL","MALONE BRODY","JUDA PAUL","JUDA PAUL","MALONE BRODY","JUDA PAUL","JUDA PAUL","JUDA PAUL","MALONE BRODY","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","MALONE BRODY","JUDA PAUL","MALONE BRODY","JUDA PAUL","PHILLIPS CURRAN","JUDA PAUL","MALONE BRODY","JUDA PAUL","MALONE BRODY","JUDA PAUL","JUDA PAUL","MALONE BRODY","MALONE BRODY","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","MALONE BRODY","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","MALONE BRODY","JUDA PAUL","MALONE BRODY","JUDA PAUL","JUDA PAUL","MALONE BRODY","YOUNG KHOI","YOUNG KHOI","JUDA PAUL","MALONE BRODY","JUDA PAUL","MALONE BRODY","JUDA PAUL","JUDA PAUL","PHILLIPS CURRAN","PHILLIPS CURRAN","JUDA PAUL","MALONE BRODY","PHILLIPS CURRAN","MALONE BRODY","JUDA PAUL","MALONE BRODY","PHILLIPS CURRAN","JUDA PAUL","PHILLIPS CURRAN","PHILLIPS CURRAN","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","PHILLIPS CURRAN","JUDA PAUL","JUDA PAUL","PHILLIPS CURRAN","YOUNG KHOI","YOUNG KHOI","YOUNG KHOI","SUN BLAKE","MALONE BRODY","JUDA PAUL","MALONE BRODY","MALONE BRODY","JUDA PAUL","PHILLIPS CURRAN","PHILLIPS CURRAN","MALONE BRODY","JUDA PAUL","PHILLIPS CURRAN","PHILLIPS CURRAN","JUDA PAUL","PHILLIPS CURRAN","JUDA PAUL","PHILLIPS CURRAN"
"data.2","sim753","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","MALONE BRODY","MALONE BRODY","JUDA PAUL","JUDA PAUL","MALONE BRODY","JUDA PAUL","JUDA PAUL","JUDA PAUL","MALONE BRODY","MALONE BRODY","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","MALONE BRODY","JUDA PAUL","PHILLIPS CURRAN","JUDA PAUL","JUDA PAUL","JUDA PAUL","MALONE BRODY","MALONE BRODY","JUDA PAUL","JUDA PAUL","JUDA PAUL","PHILLIPS CURRAN","JUDA PAUL","PHILLIPS CURRAN","JUDA PAUL","JUDA PAUL","WALKER COLT","JUDA PAUL","PHILLIPS CURRAN","PHILLIPS CURRAN","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","WALKER COLT","PHILLIPS CURRAN","MALONE BRODY","MALONE BRODY","PHILLIPS CURRAN","MALONE BRODY","MALONE BRODY","MALONE BRODY","PHILLIPS CURRAN","WALKER COLT","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","PHILLIPS CURRAN","SUN BLAKE","PHILLIPS CURRAN","PHILLIPS CURRAN","PHILLIPS CURRAN","PHILLIPS CURRAN","PHILLIPS CURRAN","PHILLIPS CURRAN","PHILLIPS CURRAN","MALONE BRODY","WALKER COLT","SUN BLAKE","WALKER COLT","PHILLIPS CURRAN","WALKER COLT","PHILLIPS CURRAN","WALKER COLT","PHILLIPS CURRAN","WALKER COLT","PHILLIPS CURRAN","PHILLIPS CURRAN","PHILLIPS CURRAN","PHILLIPS CURRAN","SUN BLAKE","PHILLIPS CURRAN","WALKER COLT","WALKER COLT","PHILLIPS CURRAN","SUN BLAKE","WALKER COLT","WALKER COLT","WALKER COLT","WALKER COLT","YOUNG KHOI","PHILLIPS CURRAN","PHILLIPS CURRAN","PHILLIPS CURRAN","PHILLIPS CURRAN","WALKER COLT","PHILLIPS CURRAN","WALKER COLT","YOUNG KHOI","WALKER COLT","WALKER COLT","SUN BLAKE","YOUNG KHOI"
"data.3","sim754","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","JUDA PAUL","HONG ASHER","HONG ASHER","JUDA PAUL","HONG ASHER","JUDA PAUL","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","JUDA PAUL","MALONE BRODY","JUDA PAUL","HONG ASHER","HONG ASHER","JUDA PAUL","SUN BLAKE","HONG ASHER","JUDA PAUL","JUDA PAUL","JUDA PAUL","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","JUDA PAUL","HONG ASHER","JUDA PAUL","JUDA PAUL","SUN BLAKE","JUDA PAUL","SUN BLAKE","JUDA PAUL","SUN BLAKE","SUN BLAKE","JUDA PAUL","JUDA PAUL","MALONE BRODY","MALONE BRODY","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","SUN BLAKE","JUDA PAUL","JUDA PAUL","MALONE BRODY","JUDA PAUL","MALONE BRODY","MALONE BRODY","YOUNG KHOI","SUN BLAKE","JUDA PAUL","MALONE BRODY","JUDA PAUL","JUDA PAUL","SUN BLAKE","JUDA PAUL","SUN BLAKE","JUDA PAUL","SUN BLAKE","JUDA PAUL","JUDA PAUL","JUDA PAUL","MALONE BRODY","YOUNG KHOI","YOUNG KHOI","JUDA PAUL","SUN BLAKE","SUN BLAKE","MALONE BRODY","JUDA PAUL","MALONE BRODY","SUN BLAKE","SUN BLAKE","SUN BLAKE","SUN BLAKE","JUDA PAUL","SUN BLAKE","SUN BLAKE","JUDA PAUL","SUN BLAKE","SUN BLAKE","SUN BLAKE","SUN BLAKE","MALONE BRODY","SUN BLAKE","MALONE BRODY","SUN BLAKE","YOUNG KHOI","MALONE BRODY","SUN BLAKE","MALONE BRODY","YOUNG KHOI","YOUNG KHOI","MALONE BRODY","MALONE BRODY","YOUNG KHOI","YOUNG KHOI","MALONE BRODY","SUN BLAKE","SUN BLAKE","YOUNG KHOI","MALONE BRODY","WALKER COLT","YOUNG KHOI"
"data.4","sim755","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","MALONE BRODY","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","MALONE BRODY","JUDA PAUL","JUDA PAUL","MALONE BRODY","JUDA PAUL","JUDA PAUL","MALONE BRODY","JUDA PAUL","MALONE BRODY","JUDA PAUL","JUDA PAUL","PHILLIPS CURRAN","MALONE BRODY","JUDA PAUL","MALONE BRODY","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","MALONE BRODY","JUDA PAUL","MALONE BRODY","MALONE BRODY","JUDA PAUL","MALONE BRODY","JUDA PAUL","JUDA PAUL","MALONE BRODY","PHILLIPS CURRAN","JUDA PAUL","PHILLIPS CURRAN","PHILLIPS CURRAN","MALONE BRODY","JUDA PAUL","JUDA PAUL","MALONE BRODY","MALONE BRODY","MALONE BRODY","JUDA PAUL","JUDA PAUL","PHILLIPS CURRAN","JUDA PAUL","PHILLIPS CURRAN","JUDA PAUL","JUDA PAUL","JUDA PAUL","HONG ASHER","MALONE BRODY","JUDA PAUL","JUDA PAUL","PHILLIPS CURRAN","JUDA PAUL","MALONE BRODY","JUDA PAUL","WALKER COLT","MALONE BRODY","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","MALONE BRODY","WALKER COLT","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","MALONE BRODY","WALKER COLT","JUDA PAUL","JUDA PAUL","JUDA PAUL","WALKER COLT","JUDA PAUL","JUDA PAUL","MALONE BRODY","MALONE BRODY","MALONE BRODY","JUDA PAUL","MALONE BRODY","JUDA PAUL","JUDA PAUL","MALONE BRODY","MALONE BRODY","JUDA PAUL","PHILLIPS CURRAN","MALONE BRODY","MALONE BRODY","JUDA PAUL","PHILLIPS CURRAN","JUDA PAUL","MALONE BRODY","MALONE BRODY","WALKER COLT","PHILLIPS CURRAN","JUDA PAUL","MALONE BRODY","MALONE BRODY","JUDA PAUL","PHILLIPS CURRAN","PHILLIPS CURRAN","JUDA PAUL","PHILLIPS CURRAN","JUDA PAUL","MALONE BRODY","JUDA PAUL","PHILLIPS CURRAN","MALONE BRODY","PHILLIPS CURRAN"
"data.5","sim756","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","MALONE BRODY","HONG ASHER","JUDA PAUL","HONG ASHER","HONG ASHER","HONG ASHER","MALONE BRODY","JUDA PAUL","HONG ASHER","HONG ASHER","HONG ASHER","JUDA PAUL","HONG ASHER","JUDA PAUL","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","JUDA PAUL","HONG ASHER","JUDA PAUL","JUDA PAUL","HONG ASHER","HONG ASHER","HONG ASHER","JUDA PAUL","MALONE BRODY","HONG ASHER","HONG ASHER","WALKER COLT","HONG ASHER","HONG ASHER","MALONE BRODY","HONG ASHER","HONG ASHER","HONG ASHER","MALONE BRODY","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","WALKER COLT","MALONE BRODY","MALONE BRODY","WALKER COLT","JUDA PAUL","MALONE BRODY","JUDA PAUL","JUDA PAUL","MALONE BRODY","WALKER COLT","WALKER COLT","JUDA PAUL","JUDA PAUL","JUDA PAUL","WALKER COLT","JUDA PAUL","MALONE BRODY","MALONE BRODY","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","MALONE BRODY","MALONE BRODY","MALONE BRODY","WHITTENBURG DONNELL","WALKER COLT","JUDA PAUL","WALKER COLT","JUDA PAUL","MALONE BRODY","WALKER COLT","JUDA PAUL","MALONE BRODY","WHITTENBURG DONNELL","JUDA PAUL","MALONE BRODY","WHITTENBURG DONNELL","JUDA PAUL","JUDA PAUL","MALONE BRODY","WALKER COLT","WALKER COLT","JUDA PAUL","JUDA PAUL","JUDA PAUL","MALONE BRODY","WALKER COLT","WALKER COLT","MALONE BRODY","MALONE BRODY","WHITTENBURG DONNELL","WALKER COLT","WHITTENBURG DONNELL","WALKER COLT","WALKER COLT","WHITTENBURG DONNELL","WHITTENBURG DONNELL","WALKER COLT","WHITTENBURG DONNELL","MALONE BRODY","WALKER COLT","MALONE BRODY","MALONE BRODY","WALKER COLT","WHITTENBURG DONNELL"
"data.6","sim757","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","YOUNG KHOI","MALONE BRODY","WALKER COLT","WALKER COLT","MALONE BRODY","MALONE BRODY","MALONE BRODY","YOUNG KHOI","MALONE BRODY","YOUNG KHOI","WALKER COLT","WALKER COLT","MALONE BRODY","YOUNG KHOI","YOUNG KHOI","MALONE BRODY","WALKER COLT","WALKER COLT","WALKER COLT","JUDA PAUL","YOUNG KHOI","WALKER COLT","MALONE BRODY","WALKER COLT","WALKER COLT","WALKER COLT","YOUNG KHOI","YOUNG KHOI","YOUNG KHOI","WALKER COLT","WALKER COLT","WALKER COLT","WALKER COLT","WALKER COLT","YOUNG KHOI","WALKER COLT","WALKER COLT","YOUNG KHOI","WALKER COLT","JUDA PAUL","WALKER COLT","WALKER COLT","WALKER COLT","WALKER COLT","WALKER COLT","WALKER COLT","WALKER COLT","JUDA PAUL","WALKER COLT","WALKER COLT","YOUNG KHOI","WALKER COLT","WALKER COLT","WALKER COLT","MALONE BRODY","MALONE BRODY","WALKER COLT","MALONE BRODY","YOUNG KHOI","MALONE BRODY","WALKER COLT","YOUNG KHOI","WALKER COLT","MALONE BRODY","YOUNG KHOI","JUDA PAUL","WALKER COLT","WHITTENBURG DONNELL","JUDA PAUL"
"data.7","sim758","MALONE BRODY","MALONE BRODY","JUDA PAUL","MALONE BRODY","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","MALONE BRODY","JUDA PAUL","WHITTENBURG DONNELL","MALONE BRODY","MALONE BRODY","JUDA PAUL","MALONE BRODY","JUDA PAUL","WHITTENBURG DONNELL","JUDA PAUL","JUDA PAUL","JUDA PAUL","MALONE BRODY","JUDA PAUL","JUDA PAUL","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","JUDA PAUL","JUDA PAUL","JUDA PAUL","MALONE BRODY","JUDA PAUL","WHITTENBURG DONNELL","JUDA PAUL","JUDA PAUL","WHITTENBURG DONNELL","MALONE BRODY","MALONE BRODY","MALONE BRODY","JUDA PAUL","JUDA PAUL","MALONE BRODY","JUDA PAUL","MALONE BRODY","WHITTENBURG DONNELL","MALONE BRODY","WHITTENBURG DONNELL","JUDA PAUL","JUDA PAUL","MALONE BRODY","JUDA PAUL","MALONE BRODY","MALONE BRODY","JUDA PAUL","JUDA PAUL","MALONE BRODY","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","HONG ASHER","JUDA PAUL","JUDA PAUL","JUDA PAUL","WHITTENBURG DONNELL","WHITTENBURG DONNELL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","MALONE BRODY","JUDA PAUL","MALONE BRODY","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","MALONE BRODY","MALONE BRODY","WHITTENBURG DONNELL","JUDA PAUL","JUDA PAUL","MALONE BRODY","WHITTENBURG DONNELL","JUDA PAUL","JUDA PAUL","HONG ASHER","MALONE BRODY","JUDA PAUL","JUDA PAUL","JUDA PAUL","HONG ASHER","JUDA PAUL","WHITTENBURG DONNELL","JUDA PAUL","MALONE BRODY","MALONE BRODY","JUDA PAUL","JUDA PAUL","JUDA PAUL","WHITTENBURG DONNELL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","MALONE BRODY","WHITTENBURG DONNELL","PHILLIPS CURRAN","MALONE BRODY","MALONE BRODY","HONG ASHER","MALONE BRODY","JUDA PAUL","JUDA PAUL","WHITTENBURG DONNELL","HONG ASHER","WHITTENBURG DONNELL","JUDA PAUL","JUDA PAUL","JUDA PAUL"
"data.8","sim759","MALONE BRODY","MALONE BRODY","MALONE BRODY","JUDA PAUL","JUDA PAUL","MALONE BRODY","JUDA PAUL","JUDA PAUL","JUDA PAUL","MALONE BRODY","MALONE BRODY","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","MALONE BRODY","MALONE BRODY","JUDA PAUL","MALONE BRODY","MALONE BRODY","JUDA PAUL","JUDA PAUL","MALONE BRODY","MALONE BRODY","JUDA PAUL","MALONE BRODY","JUDA PAUL","JUDA PAUL","JUDA PAUL","MALONE BRODY","JUDA PAUL","JUDA PAUL","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","JUDA PAUL","MALONE BRODY","JUDA PAUL","MALONE BRODY","MALONE BRODY","JUDA PAUL","MALONE BRODY","MALONE BRODY","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","MALONE BRODY","JUDA PAUL","JUDA PAUL","JUDA PAUL","MALONE BRODY","MALONE BRODY","MALONE BRODY","JUDA PAUL","MALONE BRODY","JUDA PAUL","JUDA PAUL","JUDA PAUL","HONG ASHER","JUDA PAUL","MALONE BRODY","JUDA PAUL","JUDA PAUL","JUDA PAUL","MALONE BRODY","JUDA PAUL","PHILLIPS CURRAN","HONG ASHER","JUDA PAUL","JUDA PAUL","JUDA PAUL","PHILLIPS CURRAN","JUDA PAUL","JUDA PAUL","MALONE BRODY","PHILLIPS CURRAN","JUDA PAUL","PHILLIPS CURRAN","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","PHILLIPS CURRAN","JUDA PAUL","PHILLIPS CURRAN","PHILLIPS CURRAN","WALKER COLT","JUDA PAUL","JUDA PAUL","JUDA PAUL","PHILLIPS CURRAN","JUDA PAUL","PHILLIPS CURRAN","HONG ASHER","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","JUDA PAUL","HONG ASHER","HONG ASHER","JUDA PAUL","JUDA PAUL","MALONE BRODY","MALONE BRODY","MALONE BRODY","JUDA PAUL","MALONE BRODY","PHILLIPS CURRAN","JUDA PAUL","PHILLIPS CURRAN","PHILLIPS CURRAN","JUDA PAUL","JUDA PAUL","PHILLIPS CURRAN","PHILLIPS CURRAN","PHILLIPS CURRAN"
"data.9","sim760","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","WALKER COLT","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","MALONE BRODY","WALKER COLT","MALONE BRODY","WALKER COLT","MALONE BRODY","MALONE BRODY","WALKER COLT","MALONE BRODY","WALKER COLT","YOUNG KHOI","WALKER COLT","WALKER COLT","WALKER COLT","WALKER COLT","WALKER COLT","YOUNG KHOI","YOUNG KHOI","YOUNG KHOI","WALKER COLT","WALKER COLT","WALKER COLT","YOUNG KHOI","YOUNG KHOI","WALKER COLT","YOUNG KHOI","YOUNG KHOI","WALKER COLT","YOUNG KHOI","JUDA PAUL","JUDA PAUL","JUDA PAUL","YOUNG KHOI","YOUNG KHOI","YOUNG KHOI","JUDA PAUL","YOUNG KHOI","JUDA PAUL","JUDA PAUL","JUDA PAUL","YOUNG KHOI","YOUNG KHOI","JUDA PAUL","WHITTENBURG DONNELL","JUDA PAUL","WHITTENBURG DONNELL","WHITTENBURG DONNELL","JUDA PAUL","JUDA PAUL","JUDA PAUL","WHITTENBURG DONNELL","WHITTENBURG DONNELL","WHITTENBURG DONNELL","JUDA PAUL","WHITTENBURG DONNELL","JUDA PAUL","WHITTENBURG DONNELL","HONG ASHER","WHITTENBURG DONNELL","WHITTENBURG DONNELL","HONG ASHER","JUDA PAUL","WHITTENBURG DONNELL","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","WHITTENBURG DONNELL","WHITTENBURG DONNELL","WHITTENBURG DONNELL","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","HONG ASHER","WHITTENBURG DONNELL","HONG ASHER","NEDOROSCIK STEPHEN","HONG ASHER","HONG ASHER","NEDOROSCIK STEPHEN","NEDOROSCIK STEPHEN","NEDOROSCIK STEPHEN","NEDOROSCIK STEPHEN","NEDOROSCIK STEPHEN","NEDOROSCIK STEPHEN","NEDOROSCIK STEPHEN","NEDOROSCIK STEPHEN","NEDOROSCIK STEPHEN","NEDOROSCIK STEPHEN","NEDOROSCIK STEPHEN","NEDOROSCIK STEPHEN","NEDOROSCIK STEPHEN","NEDOROSCIK STEPHEN","259.71725","259.56025","258.77525","258.53975","258.3435","258.1865","257.67625","257.637","257.48","257.4015","257.323","257.2445","257.20525","256.852","256.73425","256.6165","256.3025","256.18475","256.1455","255.63525","255.282"
