"Country","FullName","Apparatus","SimulationResults","mean"
"ALG","NEMOUR KAYLIA","BB","13.1095, 13.502, 13.30575, 13.4235, 13.30575, 12.7955, 13.2665, 13.4235, 12.99175, 13.2665, 13.031, 13.502, 12.99175, 12.83475, 13.14875, 13.502, 13.22725, 13.38425, 13.54125, 13.46275, 13.61975, 13.77675, 13.1095, 12.83475, 13.1095, 13.2665, 13.5805, 12.874, 13.188, 13.7375, 13.1095, 13.2665, 13.2665, 13.22725, 13.38425, 13.22725, 13.77675, 13.14875, 13.2665, 13.30575, 13.1095, 13.502, 13.188, 13.345, 12.83475, 13.46275, 13.4235, 13.77675, 13.30575, 13.031, 13.46275, 13.54125, 13.188, 13.7375, 12.91325, 12.83475, 13.031, 13.14875, 12.99175, 13.1095, 13.2665, 13.77675, 13.4235, 13.14875, 13.07025, 13.345, 13.38425, 13.2665, 13.188, 13.30575, 13.2665, 13.345, 13.1095, 13.4235, 12.83475, 13.22725, 13.46275, 13.188, 13.345, 13.22725, 12.717, 13.345, 13.7375, 13.46275, 13.345, 13.502, 13.1095, 13.188, 13.38425, 13.30575, 13.031, 12.874, 13.345, 13.14875, 12.7955, 13.345, 13.1095, 13.38425, 13.14875, 13.2665",13.26179
"AUS","BROWN ROMI","BB","11.932, 12.6385, 11.97125, 12.4815, 12.20675, 11.3825, 11.42175, 11.304, 12.28525, 11.932, 11.26475, 12.52075, 11.3825, 12.36375, 12.28525, 12.99175, 12.4815, 12.28525, 12.59925, 10.95075, 12.874, 10.99, 12.59925, 12.67775, 12.75625, 11.2255, 12.0105, 12.75625, 12.246, 12.75625, 11.3825, 12.1675, 12.28525, 12.56, 12.403, 12.4815, 12.56, 10.833, 11.26475, 12.56, 12.1675, 12.44225, 11.34325, 12.7955, 12.52075, 12.0105, 12.36375, 12.36375, 12.3245, 12.56, 11.10775, 12.717, 12.52075, 10.71525, 11.42175, 12.717, 12.99175, 11.97125, 12.28525, 12.1675, 12.56, 11.2255, 11.10775, 10.676, 12.3245, 12.12825, 13.14875, 12.44225, 11.89275, 12.20675, 12.28525, 12.3245, 12.59925, 11.3825, 12.874, 11.2255, 11.0685, 12.99175, 10.63675, 12.6385, 11.18625, 10.63675, 12.1675, 12.4815, 12.1675, 12.44225, 10.7545, 10.7545, 12.52075, 12.56, 12.75625, 11.42175, 12.52075, 12.36375, 12.3245, 12.28525, 10.87225, 10.833, 12.4815, 12.403",12.0524975
"AUS","BURROWS ANNABELLE","BB","11.461, 11.34325, 11.5395, 11.18625, 11.34325, 11.57875, 11.304, 10.99, 11.304, 10.71525, 11.2255, 11.304, 11.618, 11.18625, 10.99, 10.95075, 11.304, 11.50025, 11.57875, 11.34325, 11.2255, 11.3825, 12.12825, 11.304, 11.34325, 11.3825, 11.50025, 11.2255, 11.6965, 11.461, 11.10775, 11.461, 11.10775, 10.99, 11.775, 11.3825, 11.18625, 11.461, 11.57875, 11.5395, 11.50025, 11.461, 11.932, 11.18625, 11.147, 11.0685, 11.0685, 10.99, 11.10775, 11.26475, 11.147, 11.34325, 11.0685, 11.50025, 11.73575, 11.57875, 11.147, 11.2255, 11.34325, 11.10775, 11.73575, 11.34325, 11.42175, 11.304, 11.3825, 11.18625, 11.0685, 11.461, 11.26475, 11.81425, 11.65725, 11.89275, 11.65725, 11.775, 11.50025, 11.147, 11.5395, 11.34325, 11.618, 11.0685, 11.461, 11.18625, 11.34325, 11.89275, 11.8535, 11.18625, 11.18625, 11.0685, 11.42175, 11.26475, 11.2255, 11.65725, 11.34325, 11.3825, 11.618, 10.5975, 11.618, 11.42175, 11.5395, 11.5395",11.369155
"AUS","GODWIN GEORGIA","BB","13.8945, 12.874, 12.6385, 13.46275, 12.99175, 12.59925, 13.54125, 12.83475, 12.3245, 12.12825, 12.59925, 13.7375, 13.345, 13.5805, 12.91325, 13.30575, 12.403, 12.67775, 12.99175, 13.8945, 12.91325, 13.973, 13.816, 12.717, 12.6385, 12.1675, 13.502, 13.816, 12.3245, 12.67775, 12.91325, 13.22725, 13.659, 13.30575, 12.246, 13.69825, 12.44225, 13.2665, 12.59925, 12.9525, 12.089, 13.502, 13.973, 13.4235, 13.5805, 13.816, 12.75625, 12.7955, 13.659, 13.30575, 12.99175, 12.75625, 13.54125, 12.75625, 12.403, 13.07025, 12.44225, 13.85525, 12.52075, 12.4815, 12.0105, 13.816, 12.44225, 12.874, 13.502, 14.16925, 13.5805, 13.7375, 13.5805, 13.7375, 13.1095, 13.659, 12.3245, 12.52075, 13.46275, 12.44225, 13.816, 13.61975, 13.5805, 13.2665, 12.717, 12.28525, 13.46275, 13.69825, 12.28525, 13.8945, 12.874, 12.089, 12.67775, 13.8945, 12.20675, 14.09075, 12.36375, 12.4815, 12.246, 11.932, 13.5805, 13.77675, 12.36375, 12.56",13.0604375
"AUS","MCDONALD KATE","BB","11.57875, 12.246, 11.8535, 11.89275, 11.18625, 11.618, 11.932, 12.089, 11.65725, 12.246, 11.5395, 11.65725, 11.461, 11.65725, 11.65725, 11.775, 11.932, 11.6965, 11.81425, 11.89275, 12.12825, 11.50025, 11.26475, 12.20675, 11.57875, 11.34325, 11.73575, 11.5395, 12.1675, 11.81425, 12.4815, 11.81425, 11.81425, 11.461, 12.1675, 11.3825, 11.73575, 11.65725, 12.36375, 12.04975, 11.73575, 11.461, 11.775, 11.775, 11.304, 12.44225, 11.57875, 11.8535, 12.04975, 11.8535, 12.0105, 12.36375, 11.89275, 11.775, 11.81425, 12.246, 12.12825, 11.50025, 12.12825, 11.618, 11.5395, 11.57875, 11.89275, 11.775, 11.26475, 11.2255, 11.81425, 12.04975, 12.1675, 12.246, 11.50025, 11.3825, 11.73575, 11.89275, 11.2255, 11.932, 12.12825, 11.2255, 12.20675, 11.5395, 11.65725, 12.1675, 12.3245, 11.97125, 11.5395, 12.52075, 12.56, 11.18625, 11.461, 11.932, 11.57875, 11.89275, 11.6965, 11.57875, 11.618, 12.089, 11.6965, 11.932, 11.65725, 11.57875",11.79855
"AUS","NA KATE","BB","13.5805, 13.14875, 10.71525, 12.28525, 13.61975, 10.32275, 12.874, 13.659, 12.56, 13.4235, 13.61975, 13.07025, 10.71525, 10.519, 10.71525, 12.83475, 13.5805, 13.07025, 13.46275, 12.59925, 13.54125, 13.502, 10.40125, 13.61975, 12.874, 10.87225, 13.659, 13.61975, 13.54125, 13.659, 12.75625, 13.5805, 13.14875, 13.2665, 10.55825, 12.7955, 10.63675, 13.7375, 12.75625, 10.99, 13.188, 11.0685, 13.7375, 10.00875, 10.833, 13.22725, 10.519, 10.79375, 13.69825, 13.07025, 13.502, 12.99175, 13.61975, 12.83475, 13.345, 12.717, 10.833, 13.30575, 12.717, 10.79375, 13.188, 13.031, 10.1265, 12.9525, 12.874, 10.362, 13.5805, 10.99, 12.9525, 10.7545, 13.46275, 10.5975, 13.07025, 10.5975, 12.91325, 12.6385, 13.61975, 13.54125, 13.07025, 13.031, 13.07025, 13.2665, 13.30575, 11.10775, 12.83475, 13.659, 13.031, 13.38425, 13.54125, 13.031, 13.30575, 11.02925, 11.02925, 13.14875, 10.87225, 12.83475, 10.95075, 13.031, 10.71525, 12.91325",12.4811075
"AUS","PASS RUBY","BB","13.2665, 12.83475, 12.1675, 12.6385, 10.9115, 11.81425, 12.089, 12.67775, 12.99175, 12.246, 12.12825, 11.10775, 12.75625, 12.75625, 10.87225, 12.246, 12.20675, 11.147, 12.20675, 12.246, 13.30575, 12.44225, 12.4815, 12.36375, 12.20675, 11.65725, 12.36375, 13.1095, 13.345, 11.2255, 12.44225, 11.10775, 11.89275, 13.30575, 13.031, 12.874, 12.403, 12.91325, 11.2255, 11.10775, 13.07025, 12.7955, 11.97125, 13.4235, 11.0685, 10.79375, 12.4815, 12.1675, 12.4815, 12.1675, 12.874, 12.3245, 12.99175, 12.9525, 12.1675, 12.874, 13.07025, 10.833, 12.56, 10.7545, 13.1095, 12.28525, 12.3245, 12.67775, 11.932, 12.9525, 12.52075, 12.28525, 12.67775, 12.403, 10.833, 12.1675, 10.9115, 13.2665, 10.7545, 12.1675, 12.12825, 12.403, 12.04975, 12.52075, 12.6385, 12.246, 10.7545, 12.67775, 11.97125, 12.874, 12.1675, 12.28525, 12.089, 12.83475, 12.3245, 12.9525, 13.2665, 12.246, 11.3825, 13.188, 13.2665, 12.91325, 12.28525, 12.56",12.292315
"AUS","ROSS EMMA","BB","12.0105, 11.89275, 12.089, 12.20675, 11.57875, 12.04975, 12.4815, 12.04975, 12.1675, 12.36375, 10.362, 10.519, 10.63675, 12.12825, 10.2835, 11.8535, 10.40125, 12.36375, 12.0105, 10.205, 11.932, 10.5975, 10.55825, 11.147, 10.4405, 10.24425, 11.10775, 12.089, 12.0105, 12.403, 12.12825, 11.932, 11.97125, 12.04975, 10.63675, 10.833, 10.9115, 12.20675, 12.246, 10.79375, 12.28525, 10.87225, 10.676, 12.0105, 12.403, 10.40125, 10.676, 10.63675, 12.3245, 12.0105, 10.833, 12.36375, 10.55825, 10.7545, 10.519, 12.403, 10.87225, 12.089, 12.3245, 10.5975, 12.36375, 10.63675, 12.089, 11.81425, 10.205, 11.8535, 12.04975, 12.0105, 12.403, 9.85175, 12.246, 10.47975, 12.20675, 10.87225, 12.20675, 12.4815, 11.02925, 12.36375, 12.3245, 12.36375, 11.932, 11.8535, 10.47975, 10.87225, 12.1675, 12.403, 12.4815, 10.71525, 10.7545, 10.833, 12.089, 10.676, 10.40125, 10.55825, 12.246, 12.403, 10.47975, 10.71525, 12.1675, 12.44225",11.50025
"AUS","SCOTT BREANNA","BB","12.52075, 13.54125, 12.3245, 12.67775, 12.99175, 9.45925, 12.56, 13.2665, 13.659, 12.3245, 12.1675, 11.81425, 12.0105, 11.42175, 13.816, 11.932, 12.91325, 13.973, 9.6555, 12.4815, 11.81425, 12.246, 12.717, 11.618, 9.38075, 12.83475, 13.46275, 12.7955, 10.205, 12.04975, 12.089, 9.61625, 12.246, 13.5805, 9.4985, 13.4235, 9.77325, 12.3245, 12.717, 13.1095, 12.44225, 12.91325, 12.0105, 9.45925, 13.69825, 12.403, 13.031, 13.46275, 12.56, 13.77675, 11.89275, 12.403, 13.46275, 13.2665, 12.59925, 12.7955, 12.56, 13.345, 12.1675, 9.77325, 12.28525, 12.67775, 12.7955, 12.20675, 12.44225, 12.3245, 13.85525, 12.3245, 12.36375, 13.502, 12.20675, 12.1675, 12.52075, 12.6385, 11.89275, 12.6385, 12.403, 13.5805, 11.8535, 9.53775, 12.52075, 12.089, 12.4815, 11.8535, 12.6385, 12.12825, 13.5805, 12.67775, 12.1675, 12.0105, 13.7375, 12.52075, 12.3245, 12.246, 12.28525, 9.77325, 10.00875, 12.44225, 11.65725, 13.031",12.27426
"AUS","WHITEHEAD EMILY","BB","11.65725, 11.97125, 11.65725, 12.0105, 12.246, 11.65725, 11.8535, 12.36375, 12.52075, 12.12825, 12.20675, 12.44225, 12.20675, 11.8535, 12.44225, 12.56, 11.73575, 12.403, 12.4815, 12.1675, 12.1675, 12.403, 12.20675, 11.932, 12.28525, 12.99175, 12.12825, 12.246, 11.97125, 12.44225, 11.65725, 12.246, 12.20675, 12.089, 12.44225, 12.717, 12.089, 12.12825, 11.618, 12.1675, 11.89275, 12.1675, 11.932, 11.932, 12.4815, 12.56, 12.089, 11.5395, 11.50025, 11.97125, 12.36375, 11.775, 11.932, 11.8535, 12.0105, 12.28525, 12.246, 11.57875, 12.04975, 11.932, 11.57875, 12.28525, 11.89275, 11.65725, 12.0105, 11.65725, 12.1675, 11.81425, 12.52075, 12.089, 12.403, 12.0105, 12.089, 12.0105, 12.1675, 12.12825, 12.56, 12.246, 12.52075, 12.36375, 12.91325, 12.20675, 11.5395, 11.50025, 12.20675, 11.73575, 11.932, 12.56, 12.44225, 11.65725, 12.75625, 12.12825, 11.65725, 12.44225, 11.8535, 12.04975, 11.618, 12.56, 12.4815, 11.8535",12.1105875
"BRA","ANDRADE REBECA","BB","12.83475, 12.83475, 13.85525, 12.717, 13.22725, 13.188, 13.1095, 14.0515, 12.75625, 13.5805, 13.85525, 13.14875, 13.07025, 12.717, 12.44225, 14.6795, 13.77675, 13.30575, 12.36375, 12.67775, 12.91325, 13.502, 13.031, 13.1095, 12.59925, 14.0515, 13.2665, 13.85525, 12.91325, 14.09075, 13.22725, 13.4235, 12.91325, 13.816, 14.3655, 12.83475, 13.7375, 12.91325, 14.2085, 12.75625, 13.659, 13.61975, 13.77675, 13.46275, 12.874, 12.83475, 12.91325, 13.14875, 13.61975, 12.9525, 13.502, 14.40475, 12.52075, 13.816, 13.07025, 14.287, 13.031, 13.69825, 13.14875, 13.659, 13.5805, 14.444, 13.8945, 14.64025, 12.75625, 13.345, 13.38425, 14.09075, 14.71875, 12.9525, 13.2665, 12.83475, 12.91325, 13.7375, 12.83475, 13.07025, 12.4815, 12.6385, 14.01225, 13.2665, 13.14875, 13.61975, 13.30575, 14.13, 13.2665, 13.2665, 13.38425, 14.01225, 14.09075, 14.09075, 12.7955, 13.22725, 14.01225, 14.01225, 13.7375, 12.7955, 13.5805, 13.93375, 13.5805, 13.61975",13.4019125
"BRA","OLIVEIRA LORRANE","BB","10.9115, 11.5395, 11.147, 11.10775, 11.2255, 11.18625, 11.18625, 11.147, 11.26475, 10.9115, 11.0685, 11.57875, 11.932, 11.0685, 11.2255, 11.618, 10.87225, 11.618, 10.833, 11.10775, 11.65725, 11.34325, 10.95075, 11.34325, 11.304, 11.26475, 10.63675, 11.34325, 11.57875, 11.65725, 11.6965, 11.57875, 11.42175, 11.50025, 11.18625, 10.55825, 11.42175, 11.5395, 10.9115, 11.461, 10.87225, 11.775, 10.79375, 11.18625, 11.65725, 11.0685, 10.9115, 11.147, 10.833, 10.99, 11.10775, 11.18625, 11.42175, 11.3825, 11.65725, 10.99, 11.147, 11.0685, 10.9115, 10.99, 10.9115, 10.9115, 11.10775, 10.79375, 11.304, 11.73575, 11.147, 11.18625, 10.95075, 11.0685, 11.10775, 11.0685, 10.99, 10.676, 11.2255, 11.02925, 11.932, 11.02925, 11.26475, 11.81425, 11.10775, 11.02925, 11.42175, 10.87225, 11.0685, 10.79375, 10.99, 10.833, 11.0685, 11.18625, 11.6965, 11.2255, 10.99, 11.304, 11.50025, 10.99, 11.618, 11.50025, 11.50025, 11.0685",11.2101925
