"Country","FullName","Apparatus","SimulationResults","mean"
"ALG","NEMOUR KAYLIA","FX","12.7955, 12.717, 12.52075, 12.75625, 12.36375, 12.59925, 12.56, 12.7955, 13.4235, 12.874, 12.59925, 13.031, 12.6385, 12.44225, 12.99175, 12.6385, 12.99175, 13.2665, 12.6385, 12.75625, 12.52075, 12.403, 12.91325, 12.9525, 12.6385, 13.07025, 12.75625, 12.12825, 12.99175, 12.7955, 12.67775, 12.83475, 13.188, 12.3245, 12.44225, 12.246, 12.83475, 12.56, 13.345, 12.717, 12.56, 12.52075, 12.717, 12.717, 12.6385, 12.7955, 12.3245, 12.75625, 12.83475, 12.12825, 12.717, 12.91325, 12.9525, 12.83475, 12.67775, 12.91325, 13.07025, 12.7955, 12.44225, 13.031, 12.44225, 13.07025, 12.403, 12.403, 12.83475, 12.28525, 12.91325, 12.83475, 12.6385, 13.22725, 12.7955, 12.75625, 12.36375, 12.246, 12.75625, 13.031, 12.36375, 12.7955, 12.56, 12.1675, 12.717, 12.67775, 12.36375, 12.0105, 12.6385, 12.9525, 12.59925, 12.7955, 12.75625, 12.1675, 12.28525, 12.91325, 12.91325, 12.91325, 12.59925, 13.14875, 12.52075, 12.75625, 12.59925, 12.67775",12.69973
"AUS","BROWN GEORGIA","FX","11.18625, 11.02925, 11.147, 11.147, 10.676, 10.9115, 11.18625, 10.9115, 11.6965, 11.5395, 11.0685, 11.0685, 11.147, 11.34325, 10.95075, 10.9115, 10.79375, 11.10775, 10.7545, 11.0685, 11.147, 11.18625, 11.10775, 11.0685, 10.87225, 10.7545, 10.9115, 10.9115, 10.9115, 11.147, 10.7545, 10.5975, 11.2255, 10.71525, 10.95075, 10.95075, 11.34325, 11.304, 11.10775, 11.0685, 11.147, 10.87225, 11.42175, 11.02925, 11.26475, 10.9115, 10.95075, 10.87225, 11.18625, 11.10775, 11.0685, 10.833, 10.676, 10.676, 11.26475, 10.7545, 11.3825, 11.461, 11.147, 11.2255, 10.87225, 11.0685, 11.42175, 11.0685, 11.18625, 11.65725, 11.2255, 10.9115, 11.42175, 10.95075, 11.2255, 11.147, 11.50025, 10.99, 11.461, 11.50025, 10.79375, 11.304, 11.42175, 10.79375, 10.95075, 11.34325, 11.02925, 10.87225, 11.147, 11.461, 11.3825, 10.9115, 11.50025, 11.304, 11.02925, 11.26475, 10.95075, 10.87225, 11.3825, 11.10775, 11.304, 10.87225, 11.10775, 10.63675",11.092835
"AUS","BROWN ROMI","FX","12.403, 12.67775, 12.28525, 13.30575, 12.4815, 11.461, 12.56, 12.56, 11.73575, 12.874, 12.6385, 12.7955, 13.07025, 13.07025, 11.57875, 12.04975, 12.83475, 11.02925, 11.50025, 12.717, 12.7955, 12.9525, 11.34325, 11.8535, 13.14875, 12.717, 13.031, 11.81425, 11.461, 11.3825, 12.44225, 12.403, 11.42175, 12.44225, 13.031, 12.403, 12.874, 12.56, 12.04975, 13.38425, 13.46275, 12.6385, 13.031, 12.6385, 11.73575, 12.04975, 12.9525, 11.775, 11.3825, 11.618, 11.34325, 11.932, 12.7955, 11.42175, 13.22725, 12.7955, 12.52075, 13.07025, 11.618, 12.717, 12.089, 11.8535, 11.932, 12.4815, 12.403, 11.5395, 11.775, 12.717, 11.50025, 12.7955, 12.089, 11.6965, 11.8535, 11.3825, 12.874, 11.18625, 12.9525, 12.6385, 11.57875, 12.59925, 11.5395, 12.44225, 11.89275, 11.618, 12.36375, 11.932, 12.67775, 12.874, 12.717, 12.20675, 11.3825, 11.3825, 12.6385, 12.52075, 11.5395, 12.75625, 12.99175, 12.717, 11.6965, 13.1095",12.2879975
"AUS","BURROWS ANNABELLE","FX","12.20675, 12.6385, 12.36375, 12.04975, 12.089, 12.403, 12.75625, 12.12825, 12.56, 12.52075, 12.403, 13.22725, 12.6385, 13.4235, 11.89275, 12.874, 12.403, 12.28525, 12.6385, 12.3245, 13.14875, 12.874, 12.6385, 13.2665, 12.75625, 12.44225, 12.1675, 12.67775, 12.246, 12.874, 12.04975, 12.75625, 12.99175, 13.031, 12.36375, 12.44225, 12.56, 12.4815, 12.9525, 13.07025, 12.75625, 12.67775, 12.874, 12.089, 12.717, 12.3245, 12.3245, 12.4815, 12.59925, 12.75625, 12.7955, 12.52075, 12.28525, 13.1095, 12.56, 12.91325, 12.36375, 12.4815, 12.4815, 12.9525, 12.12825, 12.91325, 12.36375, 12.99175, 12.44225, 12.28525, 12.75625, 12.75625, 12.56, 12.28525, 13.07025, 12.0105, 12.12825, 12.6385, 12.4815, 12.246, 12.44225, 13.07025, 12.28525, 11.8535, 12.56, 13.07025, 12.83475, 12.1675, 12.7955, 12.089, 11.8535, 12.089, 12.6385, 12.75625, 12.56, 12.75625, 12.7955, 12.7955, 12.36375, 12.67775, 12.9525, 12.67775, 12.75625, 12.20675",12.56785
"AUS","GODWIN GEORGIA","FX","13.8945, 13.5805, 13.30575, 12.83475, 13.188, 13.502, 13.30575, 13.38425, 12.67775, 13.502, 12.67775, 13.61975, 13.188, 12.67775, 12.403, 12.089, 12.83475, 13.4235, 13.973, 12.1675, 13.502, 13.4235, 12.91325, 13.38425, 12.52075, 12.99175, 12.91325, 12.874, 13.502, 13.54125, 12.7955, 13.816, 13.502, 12.9525, 14.13, 13.14875, 13.1095, 13.14875, 12.59925, 12.6385, 12.7955, 13.973, 12.99175, 13.30575, 13.1095, 13.46275, 13.2665, 13.30575, 12.44225, 13.69825, 13.1095, 14.32625, 13.30575, 12.59925, 12.28525, 13.5805, 13.54125, 13.69825, 12.67775, 11.89275, 14.287, 13.502, 12.75625, 13.8945, 13.77675, 12.7955, 13.46275, 12.75625, 13.14875, 13.14875, 12.52075, 13.77675, 13.031, 13.22725, 13.345, 12.56, 13.345, 12.717, 12.089, 12.6385, 13.031, 13.345, 13.22725, 13.5805, 12.67775, 13.69825, 12.20675, 12.4815, 12.874, 12.91325, 12.44225, 12.67775, 13.816, 13.30575, 13.188, 13.07025, 12.59925, 12.91325, 13.22725, 12.59925",13.116565
"AUS","MCDONALD KATE","FX","11.65725, 11.618, 11.618, 11.65725, 11.775, 11.8535, 11.57875, 11.3825, 11.8535, 11.97125, 11.57875, 12.089, 12.246, 11.89275, 11.81425, 11.6965, 11.618, 11.73575, 12.04975, 12.1675, 12.1675, 11.97125, 12.12825, 11.6965, 12.12825, 11.3825, 11.34325, 11.775, 11.6965, 12.20675, 11.5395, 12.0105, 11.65725, 11.8535, 11.97125, 11.89275, 11.304, 12.4815, 12.1675, 11.461, 11.57875, 11.89275, 11.89275, 11.57875, 11.2255, 11.932, 12.089, 11.42175, 11.932, 11.6965, 11.18625, 11.8535, 11.73575, 11.97125, 11.81425, 11.0685, 11.775, 11.97125, 11.461, 11.461, 11.97125, 11.8535, 11.26475, 11.775, 12.44225, 11.73575, 12.403, 11.73575, 12.28525, 11.8535, 11.89275, 12.0105, 11.8535, 11.26475, 11.932, 11.5395, 11.42175, 11.932, 11.57875, 11.34325, 11.304, 11.6965, 11.932, 11.65725, 12.1675, 11.97125, 11.618, 11.73575, 11.618, 12.089, 11.8535, 11.3825, 11.461, 11.34325, 11.73575, 11.932, 12.04975, 12.089, 11.775, 12.36375",11.7808875
"AUS","PASS RUBY","FX","12.75625, 12.089, 12.28525, 12.91325, 12.089, 11.775, 12.246, 12.56, 11.6965, 12.717, 12.3245, 12.246, 12.75625, 13.14875, 12.75625, 13.07025, 12.83475, 12.28525, 12.36375, 11.775, 12.59925, 12.246, 12.56, 12.6385, 12.59925, 11.73575, 12.7955, 12.52075, 12.44225, 11.775, 11.97125, 12.9525, 11.8535, 12.3245, 12.403, 12.04975, 13.07025, 11.8535, 12.403, 12.6385, 12.52075, 12.99175, 11.97125, 12.91325, 12.52075, 12.246, 12.36375, 12.1675, 13.659, 12.874, 12.83475, 12.3245, 12.717, 12.246, 12.75625, 12.6385, 12.6385, 12.246, 12.874, 12.4815, 11.97125, 12.44225, 12.44225, 12.59925, 12.52075, 12.9525, 12.36375, 12.67775, 13.07025, 12.874, 12.3245, 12.4815, 13.188, 12.83475, 12.9525, 12.874, 12.1675, 12.6385, 12.52075, 12.91325, 12.67775, 12.52075, 13.14875, 12.246, 12.67775, 12.59925, 12.6385, 12.91325, 12.6385, 12.246, 12.12825, 12.6385, 12.3245, 12.59925, 12.4815, 12.3245, 12.3245, 13.188, 12.0105, 12.04975",12.5129
"AUS","ROSS EMMA","FX","12.717, 12.4815, 11.97125, 12.12825, 12.04975, 12.56, 12.99175, 12.36375, 12.56, 12.6385, 12.56, 12.403, 12.1675, 11.5395, 13.188, 11.3825, 12.717, 12.20675, 11.89275, 12.52075, 12.1675, 12.246, 12.20675, 12.56, 12.0105, 12.44225, 12.59925, 12.1675, 12.246, 12.403, 12.717, 12.1675, 11.932, 12.4815, 12.4815, 12.20675, 12.246, 12.717, 12.59925, 12.7955, 11.618, 12.91325, 12.403, 11.57875, 12.44225, 12.089, 12.12825, 12.6385, 12.12825, 12.59925, 12.59925, 12.75625, 12.6385, 12.91325, 12.12825, 12.9525, 12.44225, 13.07025, 12.56, 12.75625, 12.246, 12.3245, 12.67775, 12.56, 12.12825, 12.75625, 12.246, 12.52075, 12.28525, 12.52075, 12.6385, 12.403, 11.932, 11.932, 13.22725, 12.12825, 12.3245, 12.6385, 12.75625, 12.874, 12.7955, 12.52075, 12.59925, 12.44225, 11.65725, 12.7955, 12.83475, 12.52075, 12.52075, 12.6385, 12.83475, 12.3245, 11.932, 13.2665, 12.1675, 12.67775, 12.28525, 13.22725, 12.83475, 12.20675",12.439895
"AUS","SCOTT BREANNA","FX","12.7955, 12.67775, 12.12825, 12.59925, 12.089, 12.0105, 12.1675, 12.83475, 11.89275, 12.04975, 11.618, 12.75625, 12.67775, 12.4815, 12.403, 11.775, 12.12825, 11.57875, 11.5395, 11.42175, 13.031, 12.717, 12.91325, 12.36375, 12.9525, 12.403, 12.75625, 12.56, 12.59925, 12.0105, 12.12825, 11.18625, 12.52075, 13.1095, 12.83475, 12.717, 12.0105, 12.75625, 12.56, 12.04975, 12.3245, 12.28525, 12.3245, 12.20675, 11.81425, 12.56, 13.07025, 12.089, 11.775, 12.0105, 12.1675, 12.67775, 12.4815, 12.6385, 11.775, 11.81425, 12.246, 12.4815, 12.44225, 12.56, 12.089, 11.81425, 12.1675, 12.52075, 12.36375, 11.5395, 11.81425, 12.36375, 11.42175, 12.28525, 11.3825, 11.618, 11.81425, 12.56, 12.403, 12.99175, 12.36375, 11.461, 11.775, 13.031, 11.65725, 12.6385, 11.57875, 12.12825, 11.73575, 12.67775, 12.7955, 12.44225, 12.246, 12.6385, 12.59925, 12.246, 12.9525, 12.67775, 12.36375, 12.4815, 12.717, 12.3245, 11.461, 11.34325",12.270335
"AUS","WHITEHEAD EMILY","FX","11.8535, 12.99175, 13.30575, 12.83475, 11.65725, 12.7955, 12.59925, 12.717, 11.73575, 12.9525, 13.031, 11.73575, 12.9525, 12.0105, 13.188, 13.031, 12.67775, 12.7955, 12.52075, 12.56, 13.1095, 11.6965, 12.44225, 12.089, 12.7955, 12.874, 13.188, 13.22725, 13.2665, 13.14875, 12.67775, 12.75625, 12.6385, 13.188, 12.56, 12.874, 13.031, 12.67775, 12.9525, 13.14875, 11.89275, 12.56, 12.717, 13.031, 13.345, 13.2665, 12.7955, 12.91325, 11.932, 12.52075, 12.75625, 11.81425, 12.6385, 12.717, 12.52075, 12.20675, 11.73575, 12.59925, 13.14875, 13.2665, 12.3245, 11.73575, 11.73575, 12.91325, 12.717, 12.7955, 11.50025, 12.3245, 12.91325, 12.56, 13.14875, 12.91325, 12.83475, 12.99175, 12.59925, 12.4815, 12.9525, 12.56, 12.9525, 13.22725, 12.246, 12.56, 12.6385, 13.031, 12.9525, 12.717, 13.22725, 12.56, 12.717, 12.44225, 12.83475, 12.28525, 12.67775, 12.6385, 12.9525, 12.99175, 12.9525, 13.22725, 12.7955, 12.9525",12.68246
