"","Country","FullName","meanFX"
"1","ALG","NEMOUR KAYLIA",12.69819925
"2","AUS","BROWN GEORGIA",11.1156
"3","AUS","BROWN ROMI",12.157609
"4","AUS","BURROWS ANNABELLE",12.49409925
"5","AUS","GODWIN GEORGIA",13.052823
"6","AUS","MCDONALD KATE",11.833404
"7","AUS","PASS RUBY",12.53860875
"8","AUS","ROSS EMMA",12.445704
"9","AUS","SCOTT BREANNA",12.286977
"10","AUS","WHITEHEAD EMILY",12.5790755
"11","BRA","ANDRADE REBECA",14.19629325
"12","BRA","OLIVEIRA LORRANE",11.38505125
"13","BRA","PEDRO CAROLYNE",12.40515875
"14","BRA","SARAIVA FLAVIA",13.49104925
"15","BRA","SOARES JULIA",13.2014235
"16","CAN","BLACK ELLIE",13.18411425
"17","CAN","DENOMM'EE LAURIE",12.7194335
"18","CAN","DENOMMEE LAURIE",12.969456
"19","CAN","DOWLING JESSICA",12.056815
"20","CAN","HAJJAR MADDISON",12.5548975
"21","CAN","LEE CASSANDRA",12.8528835
"22","CAN","PEDRICK DENELLE",12.856887
"23","CAN","RAPOSO CLARA",12.6224075
"24","CAN","SPENCE EMMA",12.81689125
"25","CAN","STEWART AVA",12.4029215
"26","CAN","TRAN AURELIE",12.874314
"27","CAN","TURNER SYDNEY",12.778858
"28","CHN","DU SIYU",12.004691
"29","CHN","LUO HUAN",12.74526
"30","CHN","OU YUSHAN",13.33035975
"31","CHN","QIU QIYUAN",13.08595
"32","CHN","SUN XINYI",12.9626265
"33","CHN","TANG XIJING",12.9054785
"34","CHN","WEI XIAOYUAN",12.7167645
"35","CHN","WU RAN",13.7394625
"36","CHN","ZHANG JIN",12.90795125
"37","CHN","ZHOU YAQIN",13.61099725
"38","CZE","ARTAMONOVA SONA",12.1581585
"39","ESP","PETISCO ALBA",12.88314525
"40","FRA","BOYER MARINE",12.7293245
"41","FRA","CHARPY LORETTE",12.59928925
"42","FRA","DE MELANIE",13.75959775
"43","FRA","DEVILLARD COLINE",11.88815775
"44","FRA","FRANCERIES LEA",12.98480275
"45","FRA","FRIESS ALINE",12.783725
"46","FRA","HEDUIT CAROLANN",12.59088975
"47","FRA","LAROUI DJENNA",11.91414125
"48","FRA","MIELLE SILANE",12.827057
"49","FRA","OSYSSEK MORGANE",12.953442
"50","GBR","ACHAMPONG ONDINE",12.81767625
"51","GBR","ARCHER SHANNON",12.30789725
"52","GBR","BELBIN ELLIE",11.43246525
"53","GBR","DAVIES GRACE",12.03212675
"54","GBR","DOWNIE REBECCA",12.48412975
"55","GBR","EVANS RUBY",13.12206
"56","GBR","FENTON GEORGIA",12.9225915
"57","GBR","GADIROVA JENNIFER",13.40831025
"58","GBR","GADIROVA JESSICA",14.07658075
"59","GBR","GRANT SHANNA",12.68925025
"60","GBR","KINSELLA ALICE",13.23882875
"61","GBR","KRITSKI VERONIKA",11.70847125
"62","GBR","MARACHA JEA",11.44651675
"63","GBR","MICALLEF SOFIA",12.0378965
"64","GBR","MORGAN MALI",12.05512725
"65","GBR","ROPER EMILY",12.3000865
"66","GBR","SIMM KELLY",12.78235125
"67","GBR","STACEY RUBY",12.08283775
"68","GBR","STICKLER POPPY",12.80998325
"69","GBR","THORNTON KEIRA",11.732924
"70","GBR","WRIGHT TILLY",12.233754
"71","GER","KOENIG ANNA",12.74388625
"72","GER","MALEWSKI EMMA",12.28591725
"73","GER","QUAAS LEA",11.82096175
"74","GER","SCHAEFER PAULINE",12.612909
"75","GER","SCHOENMAIER KARINA",12.37948925
"76","GER","VOSS SARAH",12.39189225
"77","GER","ZHU AIYU",11.52694
"78","HUN","BACSKAY CSENGE",11.510769
"79","HUN","BOCZOGO DORINA",12.71256475
"80","HUN","CZIFRA BETTINA",12.1181235
"81","HUN","KOVACS ZSOFIA",12.897707
"82","HUN","MAKAI LILLA",11.4829015
"83","HUN","MAKOVITS MIRTILL",11.5519815
"84","HUN","MAYER GRETA",12.411321
"85","HUN","SCHERMANN BIANKA",11.559125
"86","HUN","SZEKELY ZOJA",12.126209
"87","ISR","RAZ LIHIE",12.3184555
"88","ITA","ANDREOLI ANGELA",13.50415875
"89","ITA","BELARDELLI ARIANNA",12.898492
"90","ITA","D ALICE",13.2488375
"91","ITA","D ASIA",12.924083
"92","ITA","ESPOSITO MANILA",12.91540875
"93","ITA","IORIO ELISA",12.9095605
"94","ITA","MAGGIO MARTINA",13.752258
"95","JPN","ASHIKAWA URARA",12.643681
"96","JPN","HATAKEDA CHIAKI",12.761588
"97","JPN","KASAHARA ARISA",9.9923435
"98","JPN","KOKUFUGATA AZUKI",13.5733565
"99","JPN","KUSUMOTO HIMA",10.77282975
"100","JPN","MIYATA SHOKO",13.247503
"101","JPN","SAKAGUCHI AYAKA",13.0175765
"102","JPN","USHIOKU KOHANE",12.85111725
"103","JPN","WATANABE HAZUKI",12.059484
"104","JPN","YAMADA CHIHARU",12.62715675
"105","KOR","KIM SEOHYEON",11.641393
