"","Country","FullName","meanVT"
"1","ALG","NEMOUR KAYLIA",12.8685835
"2","AUS","BROWN GEORGIA",12.97679575
"3","AUS","BROWN ROMI",13.14298025
"4","AUS","BURROWS ANNABELLE",12.77905425
"5","AUS","GODWIN GEORGIA",13.30618175
"6","AUS","PASS RUBY",11.8906305
"7","AUS","SCOTT BREANNA",13.195065
"8","AUS","WHITEHEAD EMILY",12.2554985
"9","BRA","ANDRADE REBECA",14.432382
"10","BRA","OLIVEIRA LORRANE",12.8900925
"11","BRA","PEDRO CAROLYNE",13.01596725
"12","BRA","SARAIVA FLAVIA",13.815843
"13","BRA","SOARES JULIA",12.802094
"14","CAN","BLACK ELLIE",13.892302
"15","CAN","DENOMM'EE LAURIE",12.78101675
"16","CAN","DENOMMEE LAURIE",13.050311
"17","CAN","DOWLING JESSICA",11.7449345
"18","CAN","LEE CASSANDRA",13.10498625
"19","CAN","PEDRICK DENELLE",13.06526525
"20","CAN","SPENCE EMMA",13.1563645
"21","CAN","STEWART AVA",12.7440825
"22","CAN","TRAN AURELIE",13.29299375
"23","CAN","TURNER SYDNEY",12.83227725
"24","CHN","DU SIYU",13.070564
"25","CHN","LUO HUAN",13.043089
"26","CHN","OU YUSHAN",13.03857525
"27","CHN","QIU QIYUAN",13.1018855
"28","CHN","TANG XIJING",13.03653425
"29","CHN","WEI XIAOYUAN",12.89955175
"30","CHN","YU LINMIN",12.99963925
"31","CHN","ZHANG JIN",13.574534
"32","CHN","ZHANG QINGYING",13.2006385
"33","CHN","ZHOU YAQIN",12.85567025
"34","CZE","ARTAMONOVA SONA",12.70973875
"35","ESP","PETISCO ALBA",12.9159975
"36","FRA","BOYER MARINE",13.268227
"37","FRA","DE MELANIE",14.20539925
"38","FRA","DEVILLARD COLINE",13.66210075
"39","FRA","FRANCERIES LEA",12.57110775
"40","FRA","FRIESS ALINE",13.4849655
"41","FRA","HEDUIT CAROLANN",13.780204
"42","FRA","LAROUI DJENNA",12.473964
"43","FRA","OSYSSEK MORGANE",12.9706335
"44","GBR","ACHAMPONG ONDINE",14.13945925
"45","GBR","ARCHER SHANNON",13.10420125
"46","GBR","BELBIN ELLIE",12.86085125
"47","GBR","DAVIES GRACE",12.64827325
"48","GBR","DOWNIE REBECCA",12.7852165
"49","GBR","EVANS RUBY",13.171829
"50","GBR","FENTON GEORGIA",13.2662645
"51","GBR","GADIROVA JENNIFER",12.101717
"52","GBR","GADIROVA JESSICA",13.8594105
"53","GBR","GRANT SHANNA",12.47836
"54","GBR","KINSELLA ALICE",13.821181
"55","GBR","KRITSKI VERONIKA",12.70840425
"56","GBR","MARACHA JEA",12.27225825
"57","GBR","MICALLEF SOFIA",12.80919825
"58","GBR","MORGAN MALI",12.4986915
"59","GBR","ROPER EMILY",12.926595
"60","GBR","SIMM KELLY",12.73368125
"61","GBR","STACEY RUBY",12.44574325
"62","GBR","STICKLER POPPY",12.492647
"63","GBR","THORNTON KEIRA",12.788435
"64","GBR","WRIGHT TILLY",12.477889
"65","GER","JAUCH MEOLIE",13.05969175
"66","GER","KOENIG ANNA",13.07664775
"67","GER","MALEWSKI EMMA",12.6643265
"68","GER","QUAAS LEA",13.04116575
"69","GER","SCHAEFER PAULINE",12.95144025
"70","GER","SCHOENMAIER KARINA",13.09886325
"71","GER","SEITZ ELISABETH",13.28757725
"72","GER","VOSS SARAH",13.30351275
"73","GER","ZHU AIYU",12.9271445
"74","HUN","BACSKAY CSENGE",13.030529
"75","HUN","BOCZOGO DORINA",12.43985575
"76","HUN","CZIFRA BETTINA",13.00348575
"77","HUN","KOVACS ZSOFIA",13.63705925
"78","HUN","MAKOVITS MIRTILL",12.0925325
"79","HUN","MAYER GRETA",12.931462
"80","HUN","SCHERMANN BIANKA",12.53068025
"81","HUN","SZEKELY ZOJA",12.950616
"82","ISR","RAZ LIHIE",12.69600125
"83","ITA","ANDREOLI ANGELA",12.7487925
"84","ITA","BELARDELLI ARIANNA",13.76470025
"85","ITA","D ALICE",14.038312
"86","ITA","D ASIA",13.5967495
"87","ITA","ESPOSITO MANILA",13.49513125
"88","ITA","IORIO ELISA",13.22281475
"89","ITA","MAGGIO MARTINA",13.85682
"90","JPN","HATAKEDA CHIAKI",12.96384325
"91","JPN","KUSUMOTO HIMA",12.99029775
"92","JPN","MIYATA SHOKO",13.810191
"93","JPN","SAKAGUCHI AYAKA",13.6878095
"94","JPN","SERITA MIKAKO",12.20985075
"95","JPN","USHIOKU KOHANE",12.98943425
"96","JPN","WATANABE HAZUKI",12.9776985
"97","JPN","YAMADA CHIHARU",13.1571495
"98","KOR","KIM SEOHYEON",12.7172355
"99","KOR","LEE DAYEONG",12.95395225
"100","KOR","LEE YUNSEO",12.9032805
"101","KOR","SHIN SOLYI",13.4948565
"102","KOR","YEO SEOJEONG",14.17054525
"103","MEX","ESCALERA NATALIA",13.167747
"104","MEX","LOUSTALOT CASSANDRA",12.61553875
"105","MEX","MORENO ALEXA",13.86023475
"106","MEX","SANDOVAL AHTZIRI",13.31034225
"107","NED","GEURTS ELISABETH",13.98481425
"108","NED","POL VERA",13.47236625
"109","NED","SLIPPENS MARA",12.967572
"110","NED","SLOOFF FLOOR",12.57558225
"111","NED","THORSDOTTIR EYTHORA",13.5507485
"112","NED","VEERMAN SANNA",13.1513405
"113","NED","VISSER NAOMI",13.189256
"114","NED","VOLLEMAN TISHA",13.00623325
"115","PAN","HERON HILLARY",12.83392575
"116","PHI","FINNEGAN ALEAH",12.98511675
"117","POR","MARTINS FILIPA",13.09007125
"118","ROU","BARBOSU ANA",12.8550815
"119","ROU","DUTA ANTONIA",12.41944575
"120","ROU","GHIGOARTA AMALIA",13.057062
"121","ROU","MANECA SABRINA",12.72622375
"122","ROU","PREDA ANDREEA",12.608984
"123","ROU","SFIRINGU SILVIANA",12.85629825
"124","ROU","STANCIULESCU IOANA",12.71421325
"125","RSA","ROOSKRANTZ CAITLIN",12.8349855
"126","SLO","HRIBAR LUCIJA",13.05325475
"127","SUI","BICKEL LENA",13.256766
"128","UKR","LASHCHEVSKA ANNA",12.76044975
"129","USA","BILES SIMONE",14.8850915
"130","USA","BLAKELY SKYE",14.1305495
"131","USA","BOOTH CHARLOTTE",13.56680175
"132","USA","CAREY JADE",14.434109
"133","USA","CHILES JORDAN",14.17674675
"134","USA","DIAZ STELLA",12.03613025
"135","USA","DISIDORE AMELIA",13.807836
"136","USA","EICHMAN JORDIS",13.033512
"137","USA","FATTA ADDISON",13.48264975
"138","USA","JONES SHILESE",14.27444
"139","USA","JONG KATELYN",13.76313025
"140","USA","JUNG LEVI",13.30516125
"141","USA","LEW MYLI",13.08724525
"142","USA","LINCOLN KALIYA",13.87774025
"143","USA","LITTLE LAUREN",12.7968345
"144","USA","MATTHEWS NOLA",13.045601
"145","USA","MCCLAIN KONNOR",14.26286125
"146","USA","MILLER ZOE",13.5557725
"147","USA","MUELLER ELLE",13.46537975
"148","USA","NEAL MARISSA",13.588193
"149","USA","PIERSON BROOKE",13.41702375
"150","USA","ROBERSON JOSCELYN",14.005656
"151","USA","ROSEN KATELYN",13.61547175
"152","USA","SULLIVAN ASHLEE",13.42283275
"153","USA","SUMANASEKERA TIANA",14.093576
"154","USA","WALKER PAITYN",12.628766
"155","USA","WONG LEANNE",13.76674125
"156","USA","ZEISS LEXI",13.550199
