"","Country","FullName","mean","avg_result","Apparatus"
"1","USA","BILES SIMONE",58.4511,2.9,"All-Around"
"2","USA","JONES SHILESE",55.872375,0.8,"All-Around"
"3","USA","MCCLAIN KONNOR",55.63295,0.5,"All-Around"
"4","USA","BLAKELY SKYE",54.726275,0.1,"All-Around"
"5","USA","CHILES JORDAN",54.7302,0.1,"All-Around"
"6","USA","WONG LEANNE",54.793,0.1,"All-Around"
"7","USA","BOOTH CHARLOTTE",51.0407,0,"All-Around"
"8","USA","CAREY JADE",54.56535,0,"All-Around"
"9","USA","DIAZ STELLA",46.43275,0,"All-Around"
"10","USA","DISIDORE AMELIA",50.895475,0,"All-Around"
