"","Combo","BB_Result","FX_Result","UB_Result","VT_Result","AllAround_Result","Total_Result"
"1","MCCLAIN KONNOR, BILES SIMONE, JONES SHILESE, BLAKELY SKYE, BOOTH CHARLOTTE",2.3,3.3,0.6,3,4.3,13.5
"2","MCCLAIN KONNOR, BILES SIMONE, JONES SHILESE, BLAKELY SKYE, CAREY JADE",2.3,3.4,0.6,3.6,4.3,14.2
"3","MCCLAIN KONNOR, BILES SIMONE, JONES SHILESE, BLAKELY SKYE, CHILES JORDAN",2.3,3.4,0.6,3.1,4.4,13.8
"4","MCCLAIN KONNOR, BILES SIMONE, JONES SHILESE, BLAKELY SKYE, DIAZ STELLA",2.3,3.3,0.6,3,4.3,13.5
"5","MCCLAIN KONNOR, BILES SIMONE, JONES SHILESE, BLAKELY SKYE, DISIDORE AMELIA",2.3,3.3,0.6,3,4.3,13.5
"6","MCCLAIN KONNOR, BILES SIMONE, JONES SHILESE, BLAKELY SKYE, EICHMAN JORDIS",2.3,3.3,0.6,3,4.3,13.5
"7","MCCLAIN KONNOR, BILES SIMONE, JONES SHILESE, BLAKELY SKYE, LINCOLN KALIYA",2.3,3.9,0.6,3,4.3,14.1
"8","MCCLAIN KONNOR, BILES SIMONE, JONES SHILESE, BLAKELY SKYE, ROBERSON JOSCELYN",2.3,3.4,0.6,3,4.3,13.6
"9","MCCLAIN KONNOR, BILES SIMONE, JONES SHILESE, BLAKELY SKYE, WONG LEANNE",2.3,3.4,0.6,3.5,4.4,14.2
"10","MCCLAIN KONNOR, BILES SIMONE, JONES SHILESE, BLAKELY SKYE, MILLER ZOE",2.3,3.3,1.2,3,4.3,14.1
"11","MCCLAIN KONNOR, BILES SIMONE, JONES SHILESE, BLAKELY SKYE, SUMANASEKERA TIANA",2.3,3.3,0.6,3.1,4.3,13.6
"12","MCCLAIN KONNOR, BILES SIMONE, JONES SHILESE, BOOTH CHARLOTTE, CAREY JADE",2.3,3.4,0.6,3.3,4.2,13.8
"13","MCCLAIN KONNOR, BILES SIMONE, JONES SHILESE, BOOTH CHARLOTTE, CHILES JORDAN",2.3,3.4,0.6,2.8,4.3,13.4
