"","Country","FullName","mean","avg_result","Apparatus"
"1","USA","MALONE BRODY",84.48456525,0.454,"All-Around"
"2","USA","JUDA PAUL",83.509399,0.063,"All-Around"
"3","USA","WALKER COLT",82.089962,0.034,"All-Around"
"4","USA","RICHARD FRED",82.353251,0.033,"All-Around"
"5","USA","HONG ASHER",82.41247925,0.027,"All-Around"
"6","USA","MOLDAUER YUL",82.46366125,0.024,"All-Around"
"7","USA","YOUNG KHOI",82.540866,0.02,"All-Around"
"8","USA","WISKUS SHANE",82.449335,0.018,"All-Around"
"9","USA","GUIMARAES VITALIY",83.8311705,0.011,"All-Around"
"10","USA","BOCK CAMERON",81.217042,0.004,"All-Around"
