"","Country","FullName","mean","avg_result","Apparatus"
"1","USA","WHITTENBURG DONNELL",14.540555,0.257,"SR"
"2","USA","HONG ASHER",14.15669,0.042,"SR"
"3","USA","DIAB ALEX",14.16497175,0.006,"SR"
"4","USA","MALONE BRODY",13.85230625,0.005,"SR"
"5","USA","BRIONES BRANDON",14.1708985,0.002,"SR"
"6","USA","WISKUS SHANE",13.8882985,0.002,"SR"
"7","USA","MOLDAUER YUL",13.95310025,0.001,"SR"
"8","USA","WALKER COLT",13.869066,0.001,"SR"
"9","USA","ALFONSO JAVIER",13.789938,0,"SR"
"10","USA","BLIXT LANDEN",12.64607525,0,"SR"
