"","Country","FullName","mean","avg_result","Apparatus"
"1","USA","YOUNG KHOI",14.63612875,0.329,"VT"
"2","USA","HONG ASHER",14.4216275,0.296,"VT"
"3","USA","HALE DALLAS",14.68578,0.189,"VT"
"4","USA","WHITTENBURG DONNELL",14.2504975,0.119,"VT"
"5","USA","PHILLIPS CURRAN",14.4516145,0.102,"VT"
"6","USA","LOOS RILEY",14.26749275,0.074,"VT"
"7","USA","JUDA PAUL",14.435208,0.072,"VT"
"8","USA","BURKHART TAYLOR",14.2842525,0.057,"VT"
"9","USA","WALKER COLT",14.24731825,0.043,"VT"
"10","USA","BRIONES BRANDON",14.45063325,0.037,"VT"
