"","Country","FullName","mean","avg_result","Apparatus"
"1","USA","BILES SIMONE",58.600564,2.962,"All-Around"
"2","USA","JONES SHILESE",55.644725,0.592,"All-Around"
"3","USA","MCCLAIN KONNOR",55.6495135,0.504,"All-Around"
"4","USA","CHILES JORDAN",54.60197025,0.108,"All-Around"
"5","USA","BLAKELY SKYE",54.43209625,0.09,"All-Around"
"6","USA","CAREY JADE",54.27336925,0.035,"All-Around"
"7","USA","WONG LEANNE",54.14949625,0.031,"All-Around"
"8","USA","ROBERSON JOSCELYN",51.713602,0.001,"All-Around"
"9","USA","BOOTH CHARLOTTE",50.67861875,0,"All-Around"
"10","USA","DIAZ STELLA",46.223783,0,"All-Around"
