"","Country","FullName","mean","avg_result","Apparatus"
"1","USA","BILES SIMONE",14.604611,1.515,"BB"
"2","USA","MCCLAIN KONNOR",14.501305,1.246,"BB"
"3","USA","BLAKELY SKYE",13.4314285,0.049,"BB"
"4","USA","JONES SHILESE",13.22038125,0.034,"BB"
"5","USA","ROBERSON JOSCELYN",13.0550995,0.027,"BB"
"6","USA","SUMANASEKERA TIANA",13.47346525,0.009,"BB"
"7","USA","SULLIVAN ASHLEE",12.98448875,0.002,"BB"
"8","USA","WONG LEANNE",13.1609175,0.001,"BB"
"9","USA","BOOTH CHARLOTTE",11.8705345,0,"BB"
"10","USA","CAREY JADE",12.90002275,0,"BB"
