"","Country","FullName","mean","avg_result","Apparatus"
"1","USA","BILES SIMONE",14.88356075,2.747,"FX"
"2","USA","LINCOLN KALIYA",13.96515,0.401,"FX"
"3","USA","CAREY JADE",13.774395,0.233,"FX"
"4","USA","JONES SHILESE",13.70590375,0.195,"FX"
"5","USA","CHILES JORDAN",13.78165625,0.155,"FX"
"6","USA","ROBERSON JOSCELYN",13.482375,0.11,"FX"
"7","USA","MCCLAIN KONNOR",13.607818,0.087,"FX"
"8","USA","WONG LEANNE",13.45148525,0.049,"FX"
"9","USA","ROSEN KATELYN",12.875099,0.014,"FX"
"10","USA","SUMANASEKERA TIANA",13.25554925,0.01,"FX"
