"","Country","FullName","mean","avg_result","Apparatus"
"1","USA","JONES SHILESE",14.442744,0.567,"UB"
"2","USA","MILLER ZOE",13.8220445,0.354,"UB"
"3","USA","BILES SIMONE",14.21740975,0.064,"UB"
"4","USA","BLAKELY SKYE",13.78047875,0.039,"UB"
"5","USA","CHILES JORDAN",13.84673275,0.008,"UB"
"6","USA","WONG LEANNE",13.76689825,0.003,"UB"
"7","USA","MATTHEWS NOLA",13.7210935,0.001,"UB"
"8","USA","BOOTH CHARLOTTE",13.18788225,0,"UB"
"9","USA","CAREY JADE",13.118449,0,"UB"
"10","USA","DIAZ STELLA",12.02019475,0,"UB"
