"","Country","FullName","mean","avg_result","Apparatus"
"1","USA","BILES SIMONE",14.8949825,1.94,"VT"
"2","USA","CAREY JADE",14.4805025,0.779,"VT"
"3","USA","JONES SHILESE",14.275696,0.26,"VT"
"4","USA","MCCLAIN KONNOR",14.26136975,0.18,"VT"
"5","USA","ROBERSON JOSCELYN",13.96817225,0.175,"VT"
"6","USA","CHILES JORDAN",14.1787485,0.118,"VT"
"7","USA","BLAKELY SKYE",14.12564325,0.114,"VT"
"8","USA","SUMANASEKERA TIANA",14.09502825,0.043,"VT"
"9","USA","WONG LEANNE",13.77019525,0.041,"VT"
"10","USA","DISIDORE AMELIA",13.859175,0.04,"VT"
