"","Country","FullName","AllAroundScore"
"1","USA","BILES SIMONE",58.5871405
"2","BRA","ANDRADE REBECA",56.19316525
"3","USA","JONES SHILESE",55.6926885
"4","FRA","DE MELANIE",55.14228575
"5","GBR","GADIROVA JESSICA",54.571002
"6","ITA","D ALICE",54.29189525
"7","CAN","BLACK ELLIE",54.1586415
"8","CHN","OU YUSHAN",54.153853
"9","ITA","D ASIA",53.80566625
"10","ALG","NEMOUR KAYLIA",53.803429
"11","BRA","SARAIVA FLAVIA",53.76696575
"12","CHN","ZHANG JIN",53.70950375
"13","GBR","KINSELLA ALICE",53.48436575
"14","HUN","KOVACS ZSOFIA",53.231635
"15","JPN","MIYATA SHOKO",53.06556825
"16","AUS","GODWIN GEORGIA",52.913553
"17","NED","VISSER NAOMI",52.65108825
"18","JPN","SAKAGUCHI AYAKA",52.594529
"19","NED","THORSDOTTIR EYTHORA",52.473639
"20","KOR","LEE YUNSEO",52.4215935
"21","KOR","YEO SEOJEONG",52.1948855
"22","FRA","BOYER MARINE",52.0735245
"23","GER","SCHAEFER PAULINE",51.7154075
"24","ROU","BARBOSU ANA",51.677806
"25","CAN","TURNER SYDNEY",51.37302975
"26","MEX","MORENO ALEXA",51.17819275
"27","GER","VOSS SARAH",50.96514375
"28","PHI","FINNEGAN ALEAH",50.87863675
"29","MEX","ESCALERA NATALIA",50.66221225
"30","ESP","PETISCO ALBA",50.628261
"31","AUS","BROWN ROMI",50.48700025
"32","POR","MARTINS FILIPA",50.35888825
"33","HUN","CZIFRA BETTINA",50.13924525
"34","ROU","GHIGOARTA AMALIA",50.01615725
"35","UKR","LASHCHEVSKA ANNA",49.71652275
"36","SUI","BICKEL LENA",49.06214675
"37","RSA","ROOSKRANTZ CAITLIN",49.0065295
"38","CZE","ARTAMONOVA SONA",48.84956875
"39","PAN","HERON HILLARY",48.6939425
"40","ISR","RAZ LIHIE",48.1091175
"41","SLO","HRIBAR LUCIJA",47.9486635
