"","Combo","BB_Result","FX_Result","UB_Result","VT_Result","AllAround_Result","Total_Result"
"1","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, JONES SHILESE, ROBERSON JOSCELYN",2.761,2.942,0.631,2.2,3.554,12.088
"2","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, JONES SHILESE, SUMANASEKERA TIANA",2.761,2.942,0.631,2.2,3.554,12.088
"3","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, JONES SHILESE, SULLIVAN ASHLEE",2.761,2.942,0.631,2.2,3.554,12.088
"4","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, JONES SHILESE, WONG LEANNE",2.761,2.942,0.631,2.2,3.554,12.088
"5","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, JONES SHILESE, BOOTH CHARLOTTE",2.761,2.942,0.631,2.2,3.554,12.088
"6","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, JONES SHILESE, CAREY JADE",2.761,2.98,0.631,2.719,3.554,12.645
"7","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, JONES SHILESE, LINCOLN KALIYA",2.761,3.148,0.631,2.2,3.554,12.294
"8","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, JONES SHILESE, CHILES JORDAN",2.761,2.942,0.631,2.2,3.554,12.088
"9","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, JONES SHILESE, ROSEN KATELYN",2.761,2.942,0.631,2.2,3.554,12.088
"10","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, JONES SHILESE, MILLER ZOE",2.761,2.942,0.921,2.2,3.554,12.378
"11","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, JONES SHILESE, MATTHEWS NOLA",2.761,2.942,0.631,2.2,3.554,12.088
"12","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, JONES SHILESE, DIAZ STELLA",2.761,2.942,0.631,2.2,3.554,12.088
"13","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, JONES SHILESE, DISIDORE AMELIA",2.761,2.942,0.631,2.2,3.554,12.088
"14","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, ROBERSON JOSCELYN, SUMANASEKERA TIANA",2.761,2.857,0.103,2.12,3.466,11.307
"15","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, ROBERSON JOSCELYN, SULLIVAN ASHLEE",2.761,2.857,0.103,2.12,3.466,11.307
"16","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, ROBERSON JOSCELYN, WONG LEANNE",2.761,2.857,0.103,2.12,3.466,11.307
"17","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, ROBERSON JOSCELYN, BOOTH CHARLOTTE",2.761,2.857,0.103,2.12,3.466,11.307
"18","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, ROBERSON JOSCELYN, CAREY JADE",2.761,2.98,0.103,2.719,3.466,12.029
"19","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, ROBERSON JOSCELYN, LINCOLN KALIYA",2.761,3.148,0.103,2.12,3.466,11.598
"20","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, ROBERSON JOSCELYN, CHILES JORDAN",2.761,2.902,0.103,2.12,3.466,11.352
"21","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, ROBERSON JOSCELYN, ROSEN KATELYN",2.761,2.857,0.103,2.12,3.466,11.307
"22","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, ROBERSON JOSCELYN, MILLER ZOE",2.761,2.857,0.418,2.12,3.466,11.622
"23","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, ROBERSON JOSCELYN, MATTHEWS NOLA",2.761,2.857,0.103,2.12,3.466,11.307
"24","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, ROBERSON JOSCELYN, DIAZ STELLA",2.761,2.857,0.103,2.12,3.466,11.307
"25","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, ROBERSON JOSCELYN, DISIDORE AMELIA",2.761,2.857,0.103,2.12,3.466,11.307
"26","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, SUMANASEKERA TIANA, SULLIVAN ASHLEE",2.761,2.834,0.103,2.12,3.466,11.284
"27","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, SUMANASEKERA TIANA, WONG LEANNE",2.761,2.834,0.103,2.12,3.466,11.284
"28","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, SUMANASEKERA TIANA, BOOTH CHARLOTTE",2.761,2.834,0.103,2.12,3.466,11.284
"29","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, SUMANASEKERA TIANA, CAREY JADE",2.761,2.98,0.103,2.719,3.466,12.029
"30","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, SUMANASEKERA TIANA, LINCOLN KALIYA",2.761,3.148,0.103,2.12,3.466,11.598
"31","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, SUMANASEKERA TIANA, CHILES JORDAN",2.761,2.902,0.103,2.12,3.466,11.352
"32","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, SUMANASEKERA TIANA, ROSEN KATELYN",2.761,2.834,0.103,2.12,3.466,11.284
"33","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, SUMANASEKERA TIANA, MILLER ZOE",2.761,2.834,0.418,2.12,3.466,11.599
"34","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, SUMANASEKERA TIANA, MATTHEWS NOLA",2.761,2.834,0.103,2.12,3.466,11.284
"35","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, SUMANASEKERA TIANA, DIAZ STELLA",2.761,2.834,0.103,2.12,3.466,11.284
"36","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, SUMANASEKERA TIANA, DISIDORE AMELIA",2.761,2.834,0.103,2.12,3.466,11.284
"37","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, SULLIVAN ASHLEE, WONG LEANNE",2.761,2.834,0.103,2.12,3.466,11.284
"38","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, SULLIVAN ASHLEE, BOOTH CHARLOTTE",2.761,2.834,0.103,2.12,3.466,11.284
"39","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, SULLIVAN ASHLEE, CAREY JADE",2.761,2.98,0.103,2.719,3.466,12.029
"40","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, SULLIVAN ASHLEE, LINCOLN KALIYA",2.761,3.148,0.103,2.12,3.466,11.598
"41","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, SULLIVAN ASHLEE, CHILES JORDAN",2.761,2.902,0.103,2.12,3.466,11.352
"42","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, SULLIVAN ASHLEE, ROSEN KATELYN",2.761,2.834,0.103,2.12,3.466,11.284
"43","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, SULLIVAN ASHLEE, MILLER ZOE",2.761,2.834,0.418,2.12,3.466,11.599
"44","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, SULLIVAN ASHLEE, MATTHEWS NOLA",2.761,2.834,0.103,2.12,3.466,11.284
"45","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, SULLIVAN ASHLEE, DIAZ STELLA",2.761,2.834,0.103,2.12,3.466,11.284
"46","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, SULLIVAN ASHLEE, DISIDORE AMELIA",2.761,2.834,0.103,2.12,3.466,11.284
"47","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, WONG LEANNE, BOOTH CHARLOTTE",2.761,2.834,0.103,2.12,3.466,11.284
"48","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, WONG LEANNE, CAREY JADE",2.761,2.98,0.103,2.719,3.466,12.029
"49","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, WONG LEANNE, LINCOLN KALIYA",2.761,3.148,0.103,2.12,3.466,11.598
"50","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, WONG LEANNE, CHILES JORDAN",2.761,2.902,0.103,2.12,3.466,11.352
"51","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, WONG LEANNE, ROSEN KATELYN",2.761,2.834,0.103,2.12,3.466,11.284
"52","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, WONG LEANNE, MILLER ZOE",2.761,2.834,0.418,2.12,3.466,11.599
"53","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, WONG LEANNE, MATTHEWS NOLA",2.761,2.834,0.103,2.12,3.466,11.284
"54","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, WONG LEANNE, DIAZ STELLA",2.761,2.834,0.103,2.12,3.466,11.284
"55","BILES SIMONE, MCCLAIN KONNOR, BLAKELY SKYE, WONG LEANNE, DISIDORE AMELIA",2.761,2.834,0.103,2.12,3.466,11.284
