"","sim9.X1","sim9.X2","sim9.X3","sim9.X4","sim9.X5","sim9.Country","sim9.score","sim9.rank","sim9.weight"
"1","DOI RYOSUKE","HASHIMOTO DAIKI","CHIBA KENTA","KAYA KAZUMA","TANIGAWA WATARU","JPN",262.46475,1,3
"2","SHI CONG","SU WEIDE","ZHANG BOHENG","LAN XINGYU","YANG JIAXING","CHN",260.34525,2,2
"3","MALONE BRODY","RICHARD FRED","WHITTENBURG DONNELL","WISKUS SHANE","HONG ASHER","USA",257.794,3,1
"4","FRASER JOE","NATHAN JOSHUA","HEPWORTH HARRY","HALL JAMES","JARMAN JAKE","GBR",252.6915,4,0
"5","ABBADINI YUMIN","BARTOLINI NICOLA","LEVANTESI MATTEO","SARRUGERIO MARCO","LODADIO MARCO","ITA",249.74775,5,0
"6","ASIL ADEM","OENDER AHMET","ONDER AHMET","ARICAN FERHAT","COLAK IBRAHIM","TUR",249.66925,6,0
"7","SEIFERT NOE","TAMSEL DOMINIC","LANGENEGGER FLORIAN","SERHANI TAHA","RAUBAL IAN","SUI",249.002,7,0
"8","COURNOYER RENE","EMARD WILLIAM","DOLCI FELIX","CLAY ZACHARY","RAMPERSAD JAYSON","CAN",248.09925,8,0
"9","KOCHAN LUCAS","SISSAKIS DARIO","DAUSER LUKAS","DUNKEL NILS","TREBING GLENN","GER",247.0395,9,0
"10","ABAD NESTOR","JIMENEZ PAU","MIR NICOLAU","PLATA JOEL","DIALLO THIERNO","ESP",245.6265,10,0
"11","CHEPURNYI NAZAR","KOVTUN ILLIA","PAKHNIUK PETRO","STELMAKH RADOMYR","RADIVILOV IGOR","UKR",244.64525,11,0
