"","Simulation","Member1","Member2","Member3","Member4","Member5","Score","Rank","Weight"
"data","sim301","MALONE BRODY","RICHARD FRED","WHITTENBURG DONNELL","SUN BLAKE","YOUNG KHOI","259.79575","3","1"
"data.1","sim302","MALONE BRODY","JUDA PAUL","WALKER COLT","YOUNG KHOI","WHITTENBURG DONNELL","259.1285","3","1"
"data.2","sim303","BRIONES BRANDON","MALONE BRODY","HONG ASHER","MOLDAUER YUL","RICHARD FRED","256.73425","4","0"
"data.3","sim304","MALONE BRODY","PHILLIPS CURRAN","HONG ASHER","WALKER COLT","YOUNG KHOI","258.93225","2","2"
"data.4","sim305","MALONE BRODY","JUDA PAUL","WISKUS SHANE","WALKER COLT","NEDOROSCIK STEPHEN","258.893","3","1"
"data.5","sim306","JUDA PAUL","MALONE BRODY","GUIMARAES VITALIY","WALKER COLT","WISKUS SHANE","256.65575","3","1"
"data.6","sim307","BOCK CAMERON","MALONE BRODY","GUIMARAES VITALIY","RICHARD FRED","YOUNG KHOI","257.67625","3","1"
"data.7","sim308","JUDA PAUL","MALONE BRODY","WALKER COLT","WHITTENBURG DONNELL","YOUNG KHOI","260.3845","2","2"
"data.8","sim309","MALONE BRODY","GUIMARAES VITALIY","WISKUS SHANE","WHITTENBURG DONNELL","HALE DALLAS","257.009","4","0"
"data.9","sim310","MALONE BRODY","RICHARD FRED","JUDA PAUL","SUN BLAKE","HONG ASHER","260.2275","2","2"
"data.10","sim311","MALONE BRODY","RICHARD FRED","WISKUS SHANE","WALKER COLT","YOUNG KHOI","259.05","2","2"
"data.11","sim312","JUDA PAUL","MALONE BRODY","WISKUS SHANE","WALKER COLT","WHITTENBURG DONNELL","259.95275","2","2"
"data.12","sim313","JUDA PAUL","RICHARD FRED","MALONE BRODY","HONG ASHER","WHITTENBURG DONNELL","259.48175","2","2"
"data.13","sim314","JAROH MICHAEL","JUDA PAUL","RICHARD FRED","MOLDAUER YUL","HONG ASHER","258.85375","3","1"
"data.14","sim315","MALONE BRODY","MOLDAUER YUL","WISKUS SHANE","WALKER COLT","JUDA PAUL","259.1285","2","2"
"data.15","sim316","JUDA PAUL","MALONE BRODY","GUIMARAES VITALIY","MOLDAUER YUL","WALKER COLT","258.6575","3","1"
"data.16","sim317","MALONE BRODY","RICHARD FRED","MOLDAUER YUL","GUIMARAES VITALIY","HONG ASHER","257.5585","3","1"
"data.17","sim318","JUDA PAUL","MALONE BRODY","RICHARD FRED","MOLDAUER YUL","HONG ASHER","259.56025","3","1"
"data.18","sim319","MALONE BRODY","PHILLIPS CURRAN","JUDA PAUL","WISKUS SHANE","GUIMARAES VITALIY","259.05","2","2"
"data.19","sim320","MALONE BRODY","RICHARD FRED","GUIMARAES VITALIY","JUDA PAUL","WHITTENBURG DONNELL","258.61825","3","1"
"data.20","sim321","JUDA PAUL","MALONE BRODY","WALKER COLT","GUIMARAES VITALIY","WHITTENBURG DONNELL","257.951","2","2"
"data.21","sim322","BOCK CAMERON","MALONE BRODY","WALKER COLT","HONG ASHER","YOUNG KHOI","259.521","2","2"
"data.22","sim323","MALONE BRODY","WALKER COLT","HONG ASHER","GUIMARAES VITALIY","WHITTENBURG DONNELL","259.01075","2","2"
"data.23","sim324","MALONE BRODY","RICHARD FRED","YOUNG KHOI","LOOS RILEY","WHITTENBURG DONNELL","258.61825","2","2"
"data.24","sim325","RICHARD FRED","WHITTENBURG DONNELL","WALKER COLT","GUIMARAES VITALIY","HONG ASHER","259.16775","1","3"
"data.25","sim326","CHOU J.R.","BOCK CAMERON","WHITTENBURG DONNELL","SUN BLAKE","WALKER COLT","257.0875","3","1"
"data.26","sim327","MALONE BRODY","RICHARD FRED","MOLDAUER YUL","HALE DALLAS","YOUNG KHOI","259.207","2","2"
"data.27","sim328","MALONE BRODY","RICHARD FRED","GUIMARAES VITALIY","YOUNG KHOI","MOLDAUER YUL","258.85375","1","3"
"data.28","sim329","JUDA PAUL","MALONE BRODY","MOLDAUER YUL","HONG ASHER","BRIONES BRANDON","257.04825","3","1"
"data.29","sim330","MALONE BRODY","WISKUS SHANE","BOCK CAMERON","KARNES JOSHUA","WHITTENBURG DONNELL","257.5585","3","1"
"data.30","sim331","MALONE BRODY","RICHARD FRED","WHITTENBURG DONNELL","HONG ASHER","YOUNG KHOI","258.893","3","1"
"data.31","sim332","MALONE BRODY","JUDA PAUL","WALKER COLT","NEDOROSCIK STEPHEN","YOUNG KHOI","259.56025","3","1"
"data.32","sim333","MALONE BRODY","RICHARD FRED","WALKER COLT","YOUNG KHOI","BRIONES BRANDON","256.89125","3","1"
"data.33","sim334","MALONE BRODY","RICHARD FRED","MOLDAUER YUL","YOUNG KHOI","BRIONES BRANDON","259.678","2","2"
"data.34","sim335","JUDA PAUL","MALONE BRODY","WHITTENBURG DONNELL","WALKER COLT","WISKUS SHANE","258.46125","3","1"
"data.35","sim336","MALONE BRODY","RICHARD FRED","GUIMARAES VITALIY","JUDA PAUL","WALKER COLT","257.44075","3","1"
"data.36","sim337","MALONE BRODY","CHOU J.R.","BRIONES BRANDON","GUIMARAES VITALIY","WALKER COLT","260.81625","2","2"
"data.37","sim338","MALONE BRODY","RICHARD FRED","WALKER COLT","GUIMARAES VITALIY","MOLDAUER YUL","258.6575","2","2"
"data.38","sim339","JUDA PAUL","MALONE BRODY","YOUNG KHOI","LASIC IAN","WHITTENBURG DONNELL","259.32475","3","1"
"data.39","sim340","JUDA PAUL","MALONE BRODY","RICHARD FRED","HALE DALLAS","WALKER COLT","260.463","2","2"
"data.40","sim341","JUDA PAUL","MALONE BRODY","RICHARD FRED","WISKUS SHANE","HONG ASHER","260.62","1","3"
"data.41","sim342","HONG ASHER","MALONE BRODY","WISKUS SHANE","NEDOROSCIK STEPHEN","BRIONES BRANDON","257.44075","3","1"
"data.42","sim343","MALONE BRODY","GUIMARAES VITALIY","WALKER COLT","WISKUS SHANE","HONG ASHER","257.99025","3","1"
"data.43","sim344","MALONE BRODY","RICHARD FRED","HONG ASHER","MOLDAUER YUL","PHILLIPS CURRAN","260.463","2","2"
"data.44","sim345","PHILLIPS CURRAN","GUIMARAES VITALIY","MOLDAUER YUL","BRIONES BRANDON","WALKER COLT","258.0295","3","1"
"data.45","sim346","MALONE BRODY","PHILLIPS CURRAN","GUIMARAES VITALIY","HALE DALLAS","MOLDAUER YUL","257.48","3","1"
"data.46","sim347","MALONE BRODY","RICHARD FRED","GUIMARAES VITALIY","MOLDAUER YUL","WHITTENBURG DONNELL","260.03125","1","3"
"data.47","sim348","MALONE BRODY","GUIMARAES VITALIY","MOLDAUER YUL","CHOU J.R.","LOOS RILEY","255.39975","4","0"
"data.48","sim349","MALONE BRODY","PHILLIPS CURRAN","WALKER COLT","GUIMARAES VITALIY","YOUNG KHOI","259.56025","3","1"
"data.49","sim350","BRIONES BRANDON","JUDA PAUL","MALONE BRODY","MOLDAUER YUL","NEDOROSCIK STEPHEN","257.04825","3","1"
"data.50","sim351","CHOU J.R.","JUDA PAUL","MALONE BRODY","MOLDAUER YUL","NEDOROSCIK STEPHEN","258.46125","3","1"
"data.51","sim352","MALONE BRODY","RICHARD FRED","MOLDAUER YUL","WALKER COLT","NEDOROSCIK STEPHEN","257.637","3","1"
"data.52","sim353","BRIONES BRANDON","MALONE BRODY","GUIMARAES VITALIY","SUN BLAKE","WALKER COLT","257.28375","3","1"
"data.53","sim354","BRIONES BRANDON","JUDA PAUL","RICHARD FRED","YOUNG KHOI","HONG ASHER","259.521","3","1"
"data.54","sim355","MALONE BRODY","WISKUS SHANE","JUDA PAUL","GUIMARAES VITALIY","RICHARD FRED","257.166","4","0"
"data.55","sim356","MALONE BRODY","GUIMARAES VITALIY","MOLDAUER YUL","YOUNG KHOI","BURKHART TAYLOR","261.6405","3","1"
"data.56","sim357","MALONE BRODY","WALKER COLT","GUIMARAES VITALIY","WISKUS SHANE","YOUNG KHOI","259.16775","3","1"
"data.57","sim358","MALONE BRODY","WHITTENBURG DONNELL","SUN BLAKE","DANG BRANDON","HONG ASHER","256.73425","3","1"
"data.58","sim359","HONG ASHER","MALONE BRODY","GUIMARAES VITALIY","RICHARD FRED","WISKUS SHANE","262.4255","1","3"
"data.59","sim360","MALONE BRODY","RICHARD FRED","LOOS RILEY","YOUNG KHOI","GUIMARAES VITALIY","258.06875","3","1"
"data.60","sim361","RICHARD FRED","HONG ASHER","WALKER COLT","YOUNG KHOI","GUIMARAES VITALIY","256.81275","3","1"
"data.61","sim362","JUDA PAUL","RICHARD FRED","GUIMARAES VITALIY","HONG ASHER","MALONE BRODY","259.1285","3","1"
"data.62","sim363","MALONE BRODY","RICHARD FRED","WHITTENBURG DONNELL","YOUNG KHOI","JUDA PAUL","259.16775","2","2"
"data.63","sim364","MALONE BRODY","WHITTENBURG DONNELL","YOUNG KHOI","BOCK CAMERON","WALKER COLT","259.5995","3","1"
"data.64","sim365","JUDA PAUL","MALONE BRODY","PHILLIPS CURRAN","YOUNG KHOI","WHITTENBURG DONNELL","260.10975","3","1"
"data.65","sim366","JUDA PAUL","MALONE BRODY","GUIMARAES VITALIY","NEDOROSCIK STEPHEN","LOOS RILEY","258.265","3","1"
"data.66","sim367","JUDA PAUL","MALONE BRODY","RICHARD FRED","HONG ASHER","YOUNG KHOI","259.48175","3","1"
"data.67","sim368","GUIMARAES VITALIY","MALONE BRODY","BOCK CAMERON","MOLDAUER YUL","WHITTENBURG DONNELL","253.98675","4","0"
"data.68","sim369","MALONE BRODY","RICHARD FRED","WALKER COLT","PHILLIPS CURRAN","GUIMARAES VITALIY","256.42025","3","1"
"data.69","sim370","JUDA PAUL","PHILLIPS CURRAN","MOLDAUER YUL","HONG ASHER","YOUNG KHOI","262.033","1","3"
"data.70","sim371","MALONE BRODY","RICHARD FRED","MOLDAUER YUL","YOUNG KHOI","HONG ASHER","259.9135","2","2"
"data.71","sim372","CORMIER MATT","MALONE BRODY","RICHARD FRED","WALKER COLT","HONG ASHER","260.42375","3","1"
"data.72","sim373","JUDA PAUL","MALONE BRODY","MOLDAUER YUL","PHILLIPS CURRAN","SKIRKEY IAN","261.44425","2","2"
"data.73","sim374","MALONE BRODY","GUIMARAES VITALIY","MOLDAUER YUL","YOUNG KHOI","WALKER COLT","258.69675","2","2"
"data.74","sim375","MALONE BRODY","BURKHART TAYLOR","BOCK CAMERON","WALKER COLT","NEDOROSCIK STEPHEN","258.1865","3","1"
"data.75","sim376","WALKER COLT","PHILLIPS CURRAN","SUN BLAKE","GUIMARAES VITALIY","JUDA PAUL","257.794","3","1"
"data.76","sim377","JUDA PAUL","MALONE BRODY","CHOU J.R.","WHITTENBURG DONNELL","WALKER COLT","258.53975","2","2"
"data.77","sim378","JUDA PAUL","MALONE BRODY","YOUNG KHOI","WALKER COLT","WHITTENBURG DONNELL","259.01075","3","1"
"data.78","sim379","MALONE BRODY","RICHARD FRED","WHITTENBURG DONNELL","WISKUS SHANE","YOUNG KHOI","256.57725","3","1"
"data.79","sim380","JAROH MICHAEL","MALONE BRODY","HONG ASHER","NEDOROSCIK STEPHEN","WHITTENBURG DONNELL","260.50225","2","2"
"data.80","sim381","JUDA PAUL","MALONE BRODY","RICHARD FRED","HONG ASHER","LOOS RILEY","256.7735","3","1"
"data.81","sim382","MALONE BRODY","RICHARD FRED","JUDA PAUL","WALKER COLT","YOCKERS IGNACIO","258.69675","3","1"
"data.82","sim383","JUDA PAUL","MALONE BRODY","LASIC IAN","BOCK CAMERON","HONG ASHER","259.678","3","1"
"data.83","sim384","JUDA PAUL","MALONE BRODY","SUN BLAKE","WHITTENBURG DONNELL","RICHARD FRED","259.24625","3","1"
"data.84","sim385","MALONE BRODY","YOUNG KHOI","MOLDAUER YUL","PHILLIPS CURRAN","WALKER COLT","260.6985","2","2"
"data.85","sim386","CHOU J.R.","MALONE BRODY","GUIMARAES VITALIY","RICHARD FRED","YOUNG KHOI","260.03125","3","1"
"data.86","sim387","PHILLIPS CURRAN","HONG ASHER","WALKER COLT","YOUNG KHOI","WHITTENBURG DONNELL","257.009","3","1"
