"","Simulation","Member1","Member2","Member3","Member4","Member5","Score","Rank","Weight"
"data","sim601","MALONE BRODY","WISKUS SHANE","JUDA PAUL","WHITTENBURG DONNELL","YOUNG KHOI","258.69675","3","1"
"data.1","sim602","MALONE BRODY","RICHARD FRED","GUIMARAES VITALIY","WHITTENBURG DONNELL","LOOS RILEY","259.521","3","1"
"data.2","sim603","MALONE BRODY","HONG ASHER","MOLDAUER YUL","GUIMARAES VITALIY","HOOPES PATRICK","258.422","3","1"
"data.3","sim604","MALONE BRODY","PHILLIPS CURRAN","RICHARD FRED","HONG ASHER","BRIONES BRANDON","259.63875","3","1"
"data.4","sim605","MALONE BRODY","WISKUS SHANE","JUDA PAUL","HALE DALLAS","WALKER COLT","258.61825","3","1"
"data.5","sim606","MALONE BRODY","RICHARD FRED","WHITTENBURG DONNELL","PHILLIPS CURRAN","GUIMARAES VITALIY","257.166","3","1"
"data.6","sim607","MALONE BRODY","JUDA PAUL","WISKUS SHANE","GUIMARAES VITALIY","YOUNG KHOI","256.7735","3","1"
"data.7","sim608","MALONE BRODY","GUIMARAES VITALIY","JUDA PAUL","RICHARD FRED","MOLDAUER YUL","258.9715","3","1"
"data.8","sim609","RICHARD FRED","WALKER COLT","YOUNG KHOI","WHITTENBURG DONNELL","GUIMARAES VITALIY","257.44075","3","1"
"data.9","sim610","JUDA PAUL","MALONE BRODY","MOLDAUER YUL","WALKER COLT","RICHARD FRED","258.69675","3","1"
"data.10","sim611","MALONE BRODY","RICHARD FRED","MOLDAUER YUL","BOCK CAMERON","GUIMARAES VITALIY","259.56025","3","1"
"data.11","sim612","JUDA PAUL","MALONE BRODY","MOLDAUER YUL","SUN BLAKE","YOUNG KHOI","257.59775","3","1"
"data.12","sim613","MALONE BRODY","PHILLIPS CURRAN","JUDA PAUL","WISKUS SHANE","MOLDAUER YUL","258.0295","3","1"
"data.13","sim614","MALONE BRODY","RICHARD FRED","WALKER COLT","SKIRKEY IAN","WHITTENBURG DONNELL","259.87425","3","1"
"data.14","sim615","MALONE BRODY","RICHARD FRED","JUDA PAUL","WALKER COLT","NEDOROSCIK STEPHEN","258.8145","3","1"
"data.15","sim616","MALONE BRODY","RICHARD FRED","GUIMARAES VITALIY","HONG ASHER","WHITTENBURG DONNELL","257.83325","3","1"
"data.16","sim617","MALONE BRODY","RICHARD FRED","WALKER COLT","YOUNG KHOI","HONG ASHER","258.422","3","1"
"data.17","sim618","GUIMARAES VITALIY","RICHARD FRED","MALONE BRODY","MOLDAUER YUL","WHITTENBURG DONNELL","259.32475","3","1"
"data.18","sim619","JUDA PAUL","MALONE BRODY","WHITTENBURG DONNELL","WALKER COLT","NEDOROSCIK STEPHEN","257.51925","3","1"
"data.19","sim620","GUIMARAES VITALIY","JUDA PAUL","MALONE BRODY","HONG ASHER","YOUNG KHOI","259.01075","2","2"
"data.20","sim621","MALONE BRODY","MOLDAUER YUL","YOUNG KHOI","SKIRKEY IAN","HONG ASHER","260.6985","2","2"
"data.21","sim622","RICHARD FRED","CHOU J.R.","JUDA PAUL","YOUNG KHOI","HONG ASHER","257.75475","3","1"
"data.22","sim623","JUDA PAUL","MALONE BRODY","RICHARD FRED","WHITTENBURG DONNELL","HONG ASHER","258.77525","2","2"
"data.23","sim624","JUDA PAUL","MALONE BRODY","CHOU J.R.","MOLDAUER YUL","YOUNG KHOI","261.91525","1","3"
"data.24","sim625","MALONE BRODY","JUDA PAUL","MOLDAUER YUL","YOUNG KHOI","HONG ASHER","259.2855","3","1"
"data.25","sim626","RICHARD FRED","WISKUS SHANE","GUIMARAES VITALIY","HONG ASHER","MOLDAUER YUL","258.85375","2","2"
"data.26","sim627","JUDA PAUL","MALONE BRODY","BOCK CAMERON","HONG ASHER","BRIONES BRANDON","258.46125","3","1"
"data.27","sim628","JUDA PAUL","MALONE BRODY","RICHARD FRED","WHITTENBURG DONNELL","NEDOROSCIK STEPHEN","257.7155","3","1"
"data.28","sim629","JUDA PAUL","MALONE BRODY","PHILLIPS CURRAN","GUIMARAES VITALIY","WALKER COLT","258.736","3","1"
"data.29","sim630","BRIONES BRANDON","MALONE BRODY","HONG ASHER","MOLDAUER YUL","WHITTENBURG DONNELL","259.364","3","1"
"data.30","sim631","RICHARD FRED","HONG ASHER","WALKER COLT","GUIMARAES VITALIY","NEDOROSCIK STEPHEN","260.42375","2","2"
"data.31","sim632","JAROH MICHAEL","HONG ASHER","YOUNG KHOI","GUIMARAES VITALIY","WHITTENBURG DONNELL","255.63525","3","1"
"data.32","sim633","JUDA PAUL","MALONE BRODY","GUIMARAES VITALIY","HONG ASHER","WALKER COLT","258.8145","3","1"
"data.33","sim634","MALONE BRODY","RICHARD FRED","JUDA PAUL","MOLDAUER YUL","NEDOROSCIK STEPHEN","258.579","2","2"
"data.34","sim635","MALONE BRODY","RICHARD FRED","WHITTENBURG DONNELL","WALKER COLT","JUDA PAUL","260.42375","2","2"
"data.35","sim636","MALONE BRODY","MOLDAUER YUL","HONG ASHER","PHILLIPS CURRAN","WHITTENBURG DONNELL","258.5005","3","1"
"data.36","sim637","RICHARD FRED","WISKUS SHANE","YOUNG KHOI","CHOU J.R.","MOLDAUER YUL","259.678","2","2"
"data.37","sim638","JUDA PAUL","RICHARD FRED","WALKER COLT","MOLDAUER YUL","HONG ASHER","260.65925","3","1"
"data.38","sim639","JUDA PAUL","MALONE BRODY","RICHARD FRED","HONG ASHER","MOLDAUER YUL","258.38275","4","0"
"data.39","sim640","JUDA PAUL","MALONE BRODY","WALKER COLT","MOLDAUER YUL","LOOS RILEY","256.6165","3","1"
"data.40","sim641","BRIONES BRANDON","WALKER COLT","YOUNG KHOI","MALONE BRODY","GUIMARAES VITALIY","257.7155","3","1"
"data.41","sim642","GUIMARAES VITALIY","RICHARD FRED","PHILLIPS CURRAN","YOUNG KHOI","WHITTENBURG DONNELL","257.91175","3","1"
"data.42","sim643","MALONE BRODY","GUIMARAES VITALIY","JUDA PAUL","HONG ASHER","WALKER COLT","258.8145","3","1"
"data.43","sim644","MALONE BRODY","RICHARD FRED","MOLDAUER YUL","HONG ASHER","WALKER COLT","257.951","2","2"
"data.44","sim645","JUDA PAUL","MALONE BRODY","WHITTENBURG DONNELL","HONG ASHER","YOUNG KHOI","259.01075","3","1"
"data.45","sim646","JUDA PAUL","MALONE BRODY","PHILLIPS CURRAN","WHITTENBURG DONNELL","WALKER COLT","260.306","3","1"
"data.46","sim647","MALONE BRODY","JUDA PAUL","PHILLIPS CURRAN","YOUNG KHOI","HONG ASHER","260.934","1","3"
"data.47","sim648","JUDA PAUL","MALONE BRODY","WHITTENBURG DONNELL","HONG ASHER","PHILLIPS CURRAN","259.63875","2","2"
"data.48","sim649","HONG ASHER","MALONE BRODY","WALKER COLT","NEDOROSCIK STEPHEN","YOUNG KHOI","260.149","2","2"
"data.49","sim650","JUDA PAUL","MALONE BRODY","WISKUS SHANE","WALKER COLT","GUIMARAES VITALIY","260.0705","2","2"
"data.50","sim651","MALONE BRODY","JUDA PAUL","SUN BLAKE","YOUNG KHOI","HONG ASHER","260.0705","2","2"
"data.51","sim652","GUIMARAES VITALIY","YOUNG KHOI","WALKER COLT","NEDOROSCIK STEPHEN","WHITTENBURG DONNELL","257.951","3","1"
"data.52","sim653","JUDA PAUL","GUIMARAES VITALIY","WALKER COLT","WHITTENBURG DONNELL","YOUNG KHOI","258.0295","3","1"
"data.53","sim654","PHILLIPS CURRAN","WALKER COLT","WISKUS SHANE","YOUNG KHOI","WHITTENBURG DONNELL","258.22575","3","1"
