"","Simulation","Member1","Member2","Member3","Member4","Member5","Score","Rank","Weight"
"data","sim901","JUDA PAUL","MALONE BRODY","PHILLIPS CURRAN","HONG ASHER","NEDOROSCIK STEPHEN","256.42025","3","1"
"data.1","sim902","MALONE BRODY","JUDA PAUL","WHITTENBURG DONNELL","YOUNG KHOI","NEDOROSCIK STEPHEN","259.79575","3","1"
"data.2","sim903","HONG ASHER","JUDA PAUL","MALONE BRODY","WHITTENBURG DONNELL","SUN BLAKE","257.12675","3","1"
"data.3","sim904","JUDA PAUL","MALONE BRODY","YOUNG KHOI","WHITTENBURG DONNELL","WALKER COLT","257.8725","3","1"
"data.4","sim905","JUDA PAUL","MALONE BRODY","WALKER COLT","HONG ASHER","WHITTENBURG DONNELL","258.9715","3","1"
"data.5","sim906","JUDA PAUL","MALONE BRODY","WALKER COLT","HONG ASHER","NEDOROSCIK STEPHEN","258.61825","3","1"
"data.6","sim907","JUDA PAUL","MALONE BRODY","WALKER COLT","WHITTENBURG DONNELL","SUN BLAKE","258.69675","3","1"
"data.7","sim908","JUDA PAUL","MALONE BRODY","PHILLIPS CURRAN","WALKER COLT","WHITTENBURG DONNELL","258.77525","3","1"
"data.8","sim909","JUDA PAUL","WALKER COLT","HONG ASHER","WHITTENBURG DONNELL","PHILLIPS CURRAN","259.01075","2","2"
"data.9","sim910","HONG ASHER","MALONE BRODY","WALKER COLT","JUDA PAUL","PHILLIPS CURRAN","255.94925","3","1"
"data.10","sim911","JUDA PAUL","MALONE BRODY","HONG ASHER","WALKER COLT","NEDOROSCIK STEPHEN","259.9135","3","1"
"data.11","sim912","MALONE BRODY","YOUNG KHOI","JUDA PAUL","WALKER COLT","WHITTENBURG DONNELL","254.183","4","0"
"data.12","sim913","JUDA PAUL","MALONE BRODY","PHILLIPS CURRAN","HONG ASHER","YOUNG KHOI","257.951","2","2"
"data.13","sim914","JUDA PAUL","MALONE BRODY","WHITTENBURG DONNELL","HONG ASHER","SUN BLAKE","257.323","4","0"
"data.14","sim915","MALONE BRODY","WALKER COLT","YOUNG KHOI","HONG ASHER","WHITTENBURG DONNELL","256.81275","3","1"
"data.15","sim916","JUDA PAUL","MALONE BRODY","PHILLIPS CURRAN","WALKER COLT","WHITTENBURG DONNELL","259.16775","2","2"
"data.16","sim917","JUDA PAUL","WALKER COLT","YOUNG KHOI","WHITTENBURG DONNELL","MALONE BRODY","256.73425","3","1"
"data.17","sim918","JUDA PAUL","MALONE BRODY","HONG ASHER","YOUNG KHOI","NEDOROSCIK STEPHEN","256.538","3","1"
"data.18","sim919","JUDA PAUL","MALONE BRODY","HONG ASHER","WHITTENBURG DONNELL","WALKER COLT","259.56025","1","3"
"data.19","sim920","JUDA PAUL","MALONE BRODY","PHILLIPS CURRAN","YOUNG KHOI","WALKER COLT","259.207","3","1"
"data.20","sim921","JUDA PAUL","MALONE BRODY","YOUNG KHOI","PHILLIPS CURRAN","WALKER COLT","259.992","2","2"
"data.21","sim922","HONG ASHER","JUDA PAUL","MALONE BRODY","WALKER COLT","YOUNG KHOI","258.85375","3","1"
"data.22","sim923","MALONE BRODY","WALKER COLT","HONG ASHER","YOUNG KHOI","WHITTENBURG DONNELL","258.46125","3","1"
"data.23","sim924","JUDA PAUL","MALONE BRODY","HONG ASHER","YOUNG KHOI","WHITTENBURG DONNELL","258.579","2","2"
"data.24","sim925","HONG ASHER","MALONE BRODY","YOUNG KHOI","WALKER COLT","WHITTENBURG DONNELL","256.067","4","0"
"data.25","sim926","JUDA PAUL","WALKER COLT","HONG ASHER","MALONE BRODY","NEDOROSCIK STEPHEN","255.71375","4","0"
"data.26","sim927","MALONE BRODY","PHILLIPS CURRAN","WHITTENBURG DONNELL","WALKER COLT","YOUNG KHOI","256.42025","3","1"
"data.27","sim928","JUDA PAUL","MALONE BRODY","YOUNG KHOI","HONG ASHER","WALKER COLT","257.637","3","1"
"data.28","sim929","JUDA PAUL","MALONE BRODY","PHILLIPS CURRAN","HONG ASHER","YOUNG KHOI","260.0705","3","1"
"data.29","sim930","JUDA PAUL","MALONE BRODY","HONG ASHER","WHITTENBURG DONNELL","YOUNG KHOI","256.695","3","1"
"data.30","sim931","JUDA PAUL","MALONE BRODY","HONG ASHER","YOUNG KHOI","WALKER COLT","259.2855","2","2"
"data.31","sim932","JUDA PAUL","MALONE BRODY","HONG ASHER","YOUNG KHOI","WALKER COLT","256.7735","3","1"
"data.32","sim933","JUDA PAUL","MALONE BRODY","PHILLIPS CURRAN","HONG ASHER","YOUNG KHOI","257.166","3","1"
"data.33","sim934","HONG ASHER","MALONE BRODY","JUDA PAUL","YOUNG KHOI","WALKER COLT","255.9885","3","1"
"data.34","sim935","JUDA PAUL","MALONE BRODY","PHILLIPS CURRAN","YOUNG KHOI","NEDOROSCIK STEPHEN","255.94925","3","1"
"data.35","sim936","MALONE BRODY","HONG ASHER","WALKER COLT","WHITTENBURG DONNELL","YOUNG KHOI","258.108","3","1"
"data.36","sim937","JUDA PAUL","MALONE BRODY","PHILLIPS CURRAN","HONG ASHER","WHITTENBURG DONNELL","258.0295","3","1"
"data.37","sim938","MALONE BRODY","WHITTENBURG DONNELL","YOUNG KHOI","PHILLIPS CURRAN","WALKER COLT","259.05","3","1"
"data.38","sim939","MALONE BRODY","WALKER COLT","HONG ASHER","YOUNG KHOI","WHITTENBURG DONNELL","255.08575","3","1"
"data.39","sim940","JUDA PAUL","MALONE BRODY","PHILLIPS CURRAN","HONG ASHER","YOUNG KHOI","255.2035","4","0"
"data.40","sim941","JUDA PAUL","MALONE BRODY","YOUNG KHOI","HONG ASHER","WALKER COLT","258.736","2","2"
"data.41","sim942","JUDA PAUL","MALONE BRODY","PHILLIPS CURRAN","YOUNG KHOI","WALKER COLT","259.364","3","1"
